Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   674.543798   1920.124938   3241.595013   4512.585541
0.034375   614.676460   1817.021604   3211.660497   3523.571682
0.040625   568.116958   1944.708661   2477.904480   3498.355256
0.046875   424.739682   1576.787703   2487.143354   3811.404091
0.053125   400.746103   1787.167163   2968.546135   4067.655869
0.059375   799.812823   2133.675051   3212.696885   4281.629671
0.065625   829.185713   2400.694629   3638.857926   4912.194265
0.071875   830.840236   2407.569858   3447.463272   5223.893837
0.078125   652.450682   2204.458178   3513.605033   5027.274694
0.084375   716.418016   2146.204930   3350.780410   4554.389513
0.090625   806.639801   2162.201764   3250.027301   4337.196144
0.096875   556.886628   2026.108515   3199.775392   4427.313884
0.103125   609.835667   1878.989294   3431.579947   4650.059341
0.109375   790.234129   2206.054437   3281.165048   4537.933789
0.115625   787.791079   2182.286548   3093.738627   4264.976571
0.121875   711.322941   2009.511030   2946.516302   4246.832967
0.128125   803.142940   2503.555147   3071.037597   4554.956739
0.134375   804.340399   2345.665230   3558.302041   4708.834667
0.140625   813.607283   2457.054777   3248.224459   4464.033122
0.146875   212.342863   1030.432256   2676.918045   3911.157454
0.153125   856.509949   2309.459705   3262.607838   4563.551764
0.159375   855.510853   2632.627698   3196.000820   4380.172957
0.165625   869.893860   2168.930622   2861.021115   4282.118860
0.171875   828.951361   2186.605367   3317.639487   4289.567595
0.178125   175.022833   1101.635870   2389.047767   3982.290868
0.184375   1232.726430   2535.154798   --undefined--   --undefined--
0.190625   1020.839667   2496.946080   --undefined--   --undefined--
0.196875   877.355037   2311.878792   3281.999968   4397.182011
0.203125   982.161725   2527.323287   3883.030450   4902.436105
0.209375   1143.186958   2469.517925   3761.876031   4843.970338
0.215625   733.561643   2297.565976   3676.243747   4860.148197
0.221875   797.257902   2206.051459   3474.229819   4857.705915
0.228125   808.587477   2560.989242   3897.081758   4938.799275
0.234375   291.072705   1142.353429   2587.924806   4055.219218
0.240625   730.767288   2337.924247   3828.164213   4981.899828
0.246875   806.588519   2379.135072   3760.430814   5011.994820
0.253125   773.474402   2333.472091   3764.737967   4852.535176
0.259375   337.526841   1313.939503   2481.619058   3979.151470
0.265625   257.694713   1479.287382   2706.053525   4078.906386
0.271875   158.314922   1696.789345   3158.192800   4224.248892
0.278125   824.282433   2227.401529   3397.870680   5048.929292
0.284375   803.316581   2691.416535   3475.390062   4760.728319
0.290625   756.434222   1974.809429   3018.208721   4438.246656
0.296875   1306.742819   2754.682194   --undefined--   --undefined--
0.303125   867.239230   2192.935650   3402.924563   4281.616057
0.309375   908.826288   2559.860856   3672.437189   4931.259233
0.315625   1174.990036   2526.275302   3704.114694   5041.966326
0.321875   929.328196   2465.615276   2929.392617   4005.175137
0.328125   962.044741   2344.530290   3005.159310   4189.500199
0.334375   659.877323   1839.368638   3084.279759   4237.386395
0.340625   568.936993   1784.506209   3076.521989   4340.949684
0.346875   650.822886   1391.993111   2821.437764   4338.818217
0.353125   600.262139   2177.402803   2879.124724   4303.099076
0.359375   781.776963   2290.113883   3313.726270   4376.540933
0.365625   756.024035   2182.021918   3200.817994   4275.766678
0.371875   610.197984   2007.005863   3189.547961   4165.459450
0.378125   342.385548   1922.513411   3294.771207   4190.871537
0.384375   355.309758   1800.540982   3438.402055   4675.564924
0.390625   893.806990   2142.097475   3551.478140   4289.433224
0.396875   888.950044   1980.596049   3025.060378   4278.229287
0.403125   868.274844   2127.516944   2973.555514   4381.450379
0.409375   877.950974   2434.884105   3115.557673   4321.851735
0.415625   852.267521   2416.049813   3144.814496   4198.438296
0.421875   829.108550   2159.460853   2804.054998   4222.304648
0.428125   704.220350   1869.292367   3155.557612   4256.048724
0.434375   809.075282   2045.048310   3169.571359   4335.339612
0.440625   789.422522   2207.781911   3227.753060   4413.485923
0.446875   882.259038   2352.171649   3820.086928   5021.172795
0.453125   912.792223   2279.144283   3810.039214   4998.317491
0.459375   693.406775   2077.666279   3301.053041   4251.126993
0.465625   537.064155   1498.488573   2734.394695   4324.117803
0.471875   763.370851   2119.358723   3025.737235   4464.426078
0.478125   813.606053   2011.881946   3226.456188   4406.540017
0.484375   804.258348   2087.905495   3306.912391   4400.162506
0.490625   792.304462   2019.185665   3204.875133   4393.174194
0.496875   799.826338   2209.125336   3625.767231   4494.329243
0.503125   777.210251   2163.518288   3119.990121   4346.750446
0.509375   803.945770   2301.195641   3059.898197   4291.987308
0.515625   783.198736   2393.394420   3261.581495   4409.775161
0.521875   833.871923   2441.706218   3260.156341   4396.802828
0.528125   866.475564   2363.323135   3140.066186   4236.671070
0.534375   777.155584   2313.764821   3123.267997   4179.903680
0.540625   780.832274   2166.448493   3203.239675   4328.979005
0.546875   881.900457   2419.619892   3403.529032   4728.443726
0.553125   847.261298   2345.340319   3354.902895   4768.625168
0.559375   851.405601   2481.193977   3494.724549   4897.972510
0.565625   235.948184   1277.492810   2303.095398   3689.096017
0.571875   708.915107   1994.803932   3508.188025   4998.966184
0.578125   740.227123   1616.879009   3227.548699   4494.700210
0.584375   246.221810   1475.730081   3205.444188   3315.647854
0.590625   391.145689   1289.654464   2727.678032   3737.187622
0.596875   549.206765   2464.152004   3819.375155   5019.421729
0.603125   724.011389   2351.864413   3497.625134   4917.008645
0.609375   738.987452   2327.644531   3326.009947   4724.062791
0.615625   756.820318   2185.691181   3352.906577   4564.539952
0.621875   611.507256   1978.866347   3143.010903   4257.303291
0.628125   681.664040   2560.333866   2821.116667   4443.082070
0.634375   892.302479   2367.936930   3420.993828   4592.567820
0.640625   871.517281   2342.854614   3582.095200   4520.052398
0.646875   734.367551   2176.923892   3441.976118   4399.076529
0.653125   734.139754   2145.508255   3257.792828   4435.344248
0.659375   866.516418   2367.856583   3579.976735   4830.904476
0.665625   844.231329   2146.669721   3654.316433   4795.495627
0.671875   778.678418   2170.715487   3725.497710   4457.039088
0.678125   702.001040   2316.957721   3430.853104   4587.047163
0.684375   656.874657   2442.256845   3491.507823   4831.119157
0.690625   500.680897   2574.423851   3885.935125   4654.548184
0.696875   770.827101   2602.965002   3238.270089   4202.966356
0.703125   779.555899   2701.974672   4076.043790   5018.304677
0.709375   437.325935   1397.194146   2787.478454   4105.784191
0.715625   442.910126   2359.122153   3672.149402   5001.129882
0.721875   742.222552   2219.971109   3558.008536   4470.424182
0.728125   754.828529   2155.771149   3555.663570   4480.125820
0.734375   743.997507   2201.688081   3533.432316   4182.113029
0.740625   827.453296   2373.401603   3731.824702   4496.276917
0.746875   873.250699   2460.139331   3885.190467   4158.436121
0.753125   932.473034   2221.167986   3168.457490   4294.624992
0.759375   886.932378   2265.556134   3020.979883   4282.645175
0.765625   841.294568   1966.338533   2800.569746   4314.020183
0.771875   854.730228   2635.566423   2860.253371   4220.144990
0.778125   859.901192   2455.618298   3645.121646   4215.043335
0.784375   810.946456   2142.282575   3348.062456   4290.400081
0.790625   797.181472   2163.519110   3460.362238   4316.643268
0.796875   855.744353   2243.854436   3561.082243   4156.127712
0.803125   711.153494   2358.254406   3488.496819   4083.189646
0.809375   359.808361   1457.807586   2728.995272   4168.320792
0.815625   374.492199   1393.466915   2730.555907   4170.671915
0.821875   805.033742   2515.819215   3702.753188   4864.340127
0.828125   1152.053042   2467.036858   3725.884286   4987.266396
0.834375   294.084079   1166.039610   2769.375911   3836.019684
0.840625   570.056751   1876.511707   3121.264129   4200.076265
0.846875   800.269725   1965.165767   3046.578683   4440.891337
0.853125   842.289720   2526.493970   4005.384031   4604.265215
0.859375   885.168213   2521.359970   --undefined--   --undefined--
0.865625   842.305161   2447.346019   3076.459739   4024.725561
0.871875   885.275981   2374.213595   3301.911721   4041.692356
0.878125   950.975080   2376.875225   3702.959181   5001.505098
0.884375   717.012558   2192.994644   3280.667034   4399.189834
0.890625   789.306326   2211.833174   3269.098358   4182.433501
0.896875   818.541437   2297.656522   3682.406768   4881.647525
0.903125   751.235319   2211.698978   3650.780723   4337.623728
0.909375   368.885253   1344.006666   2788.036629   3810.265836
0.915625   358.924910   1341.588466   2664.377715   4120.326378
0.921875   400.914046   1608.485996   2981.115003   4304.296363
0.928125   317.622304   1716.983994   3002.935156   4118.913806
0.934375   2011.949583   2928.088082   --undefined--   --undefined--
0.940625   909.079835   2673.708107   --undefined--   --undefined--
0.946875   327.893653   1157.357596   2631.106657   3550.380228
0.953125   756.291752   2624.204344   3338.322928   4895.503262
0.959375   769.505267   2180.091903   3127.019301   4215.315844
0.965625   433.274251   1982.806476   3601.181966   3836.582611
0.971875   833.851779   1934.328813   3244.779938   4372.474053
0.978125   819.100911   2135.583739   3280.477886   4371.730664
0.984375   766.986222   2203.357263   3449.808172   4282.122509
0.990625   755.766473   2199.742258   3211.535254   4437.319840
0.996875   831.925392   2096.747928   3240.654995   4423.866355
1.003125   872.887051   2087.948679   3218.597765   4368.188981
1.009375   867.962586   2221.338021   3318.461537   4344.579460
1.015625   905.793237   2371.353266   3762.478001   4395.130971
1.021875   878.404084   2399.215037   3250.740155   4277.465918
1.028125   677.026461   2695.267913   2912.651664   4580.939133
1.034375   644.947723   2159.926303   3243.726794   4433.667196
1.040625   759.630482   2109.577104   3473.028435   4404.373739
1.046875   431.608337   1984.935769   3692.182261   4308.570875
1.053125   2103.366979   2988.495461   --undefined--   --undefined--
1.059375   732.728249   2544.088257   2729.878637   4113.835361
1.065625   833.947435   2519.863732   2914.707468   4472.163180
1.071875   950.585195   2219.989452   3382.972448   4446.191579
1.078125   976.178503   2149.065192   3311.405660   4406.897958
1.084375   948.936474   2084.151684   3270.171485   4434.531573
1.090625   866.388554   2222.667809   3346.155428   4409.229473
1.096875   791.317157   2135.993710   3180.617453   4349.295331
1.103125   795.360733   2052.830441   3067.818946   4280.771012
1.109375   907.252788   2305.432308   3280.231691   4162.605958
1.115625   917.082022   2603.746155   --undefined--   --undefined--
1.121875   768.232379   2147.977251   --undefined--   --undefined--
1.128125   428.770831   2064.010002   2621.727715   3885.779236
1.134375   1042.198656   2639.943581   --undefined--   --undefined--
1.140625   363.527161   1451.210612   2807.406332   3820.874231
1.146875   406.702581   1480.825549   2612.222558   3902.087023
1.153125   896.919243   2342.469481   3367.720629   4523.465997
1.159375   1064.919362   2505.684602   3391.737945   4400.359050
1.165625   1163.493685   2773.529028   --undefined--   --undefined--
1.171875   1090.071352   2598.779351   3697.881610   4956.300823
1.178125   1520.860647   2634.637729   3864.779414   4903.257897
1.184375   1748.304341   2780.813736   3816.958573   4872.651826
1.190625   240.673465   1817.989439   2480.120087   3573.883271
1.196875   341.689927   2056.713718   3339.640712   4812.644306
1.203125   764.052691   2070.940877   3248.285654   4309.453961
1.209375   856.626658   2051.945172   3177.083407   4323.414359
1.215625   718.558959   1887.061053   3143.736494   4322.171285
1.221875   915.711983   2023.027477   3208.621892   4410.259961
1.228125   1018.651362   2022.414401   3208.922922   4463.377164
1.234375   925.108345   2038.513564   3211.643808   4372.815088
1.240625   997.592103   2016.594492   3220.630803   4284.653797
1.246875   1045.464830   1970.400375   3230.808010   4232.386270
1.253125   697.858998   1894.596448   3234.732411   4420.279240
1.259375   707.518577   1863.585304   3240.502981   4326.767062
1.265625   831.091806   1930.876145   3200.569649   4379.325917
1.271875   819.771472   1931.356373   3234.850399   4387.634512
1.278125   686.153722   1871.897089   3218.307467   4437.705893
1.284375   541.240506   1874.591596   3176.361007   4456.778171
1.290625   957.941333   1884.224450   3204.145520   4449.953406
1.296875   1008.388260   1846.825980   3240.524678   4298.089161
1.303125   841.151235   1871.548720   3189.104740   4135.449502
1.309375   764.439255   1747.702113   3171.594868   4238.780291
1.315625   463.146106   1704.014886   3076.411854   4303.951395
1.321875   900.993676   1822.714177   3066.689773   4357.326262
1.328125   818.526090   1806.010778   3037.065233   4209.336996
1.334375   810.380628   1733.178270   3013.151877   4232.783461
1.340625   861.717829   1800.271295   3052.899054   4181.807633
1.346875   846.459527   1777.714345   3051.025704   4251.527811
1.353125   718.025143   1663.957638   2993.710789   4208.454009
1.359375   334.574317   1659.799543   2941.632619   4256.290085
1.365625   551.955843   1673.192793   3193.469077   4381.532471
1.371875   720.458762   1755.854251   3287.485199   4367.271790
1.378125   744.017121   1709.999452   3153.597821   4279.334440
1.384375   812.666512   1682.978414   3068.276876   4309.456623
1.390625   874.728941   1814.111306   3102.815196   4410.871216
1.396875   790.036689   1896.323902   3183.762631   4438.552856
1.403125   794.553894   2038.779635   3284.676748   4517.448905
1.409375   788.454634   2179.385748   3372.293516   4428.226931
1.415625   625.123452   1972.591767   3226.968736   4372.806520
1.421875   754.375614   2075.996791   3093.569537   4313.501062
1.428125   691.555878   2527.893070   2537.707375   4132.616535
1.434375   697.807026   2158.687510   3007.579029   4174.338412
1.440625   691.309588   2400.020695   2947.442600   4185.152915
1.446875   365.616935   1869.698082   2799.955412   4234.687442
1.453125   687.493703   2227.984402   3241.918876   4387.771844
1.459375   651.796911   2235.734177   3365.508235   4474.358740
1.465625   421.028577   1921.168009   2501.905470   3918.424198
1.471875   322.237005   1928.980921   2692.705520   4122.356721
1.478125   362.696629   1895.171211   3059.551978   4413.418457
1.484375   452.462468   2027.210161   3284.674025   4420.490730
1.490625   463.519337   1986.724753   3294.007456   4456.947304
1.496875   425.387599   1999.412333   3326.072955   4513.575477
1.503125   577.860567   2212.949921   3424.258250   4321.394374
1.509375   800.667374   2343.783430   3545.938168   4361.427080
1.515625   693.627380   2261.741834   2473.667199   3690.317396
1.521875   654.857113   1923.343776   2939.664049   3675.353209
1.528125   1630.483400   2613.481235   3645.795987   5208.330999
1.534375   366.491703   760.884079   2232.504206   3602.267578
1.540625   1468.873921   2290.458829   3533.703368   5285.848151
1.546875   1620.003467   2887.007189   3560.445655   5269.969237
1.553125   1693.572511   2885.341375   3639.551386   5224.493958
1.559375   333.049390   1770.759762   2851.100113   3747.682387
1.565625   321.179389   1969.634039   2855.236801   4083.940869
1.571875   372.900399   2198.172305   2896.083208   4577.954918
1.578125   424.640810   2224.854646   2874.417818   4690.142484
1.584375   413.630316   2283.909138   2894.442411   4648.106448
1.590625   373.578499   2348.697997   2939.498139   4538.116241
1.596875   331.594745   2345.943903   2955.999281   4573.937030
1.603125   362.321432   2406.773271   2997.286264   4544.733503
1.609375   415.930698   2510.649188   3098.426178   4479.736769
1.615625   444.765931   2539.654702   3282.023688   4504.784471
1.621875   444.957513   2498.498433   3202.114337   4551.912253
1.628125   438.092956   2405.908808   3173.435978   4521.130168
