Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   775.854321   1822.453725   2919.980285   3856.948418
0.034375   733.972085   1862.572393   2885.581691   3590.383758
0.040625   694.743593   2018.486200   2819.464165   3738.702291
0.046875   644.446660   1873.058178   2522.475788   3767.529443
0.053125   545.546484   1782.348817   3008.258739   3851.059213
0.059375   538.203287   1788.464917   2926.129032   3860.210241
0.065625   578.874194   1767.268964   2857.854902   3758.053683
0.071875   537.382964   1763.111683   2920.580363   3621.179793
0.078125   326.563108   1534.256144   2514.079365   3577.625913
0.084375   575.026366   1835.662724   3363.285276   3516.963406
0.090625   504.409841   1666.508731   3048.939222   4144.068006
0.096875   504.772467   1739.922032   2987.271576   3825.328714
0.103125   529.519423   1847.973612   2417.093697   3651.845142
0.109375   772.863388   2141.502807   3415.783341   4484.932348
0.115625   602.499909   1951.677751   3297.655856   4205.351074
0.121875   601.368506   1892.862365   2742.329069   3744.319609
0.128125   575.656108   1820.137391   2947.630814   4071.350170
0.134375   495.023616   2092.903523   3157.066310   4138.107068
0.140625   402.146106   1909.019378   2945.330453   3726.281627
0.146875   455.316013   1950.857649   3248.536099   3775.344677
0.153125   551.221260   1989.404436   3056.582199   4294.752070
0.159375   586.130857   1907.889753   3020.181832   4330.079743
0.165625   635.826784   1970.343593   2981.163073   3718.334409
0.171875   667.510398   2131.381995   3380.320425   4883.986839
0.178125   517.601192   1990.450164   3233.186679   4659.690304
0.184375   500.573249   1958.986681   3236.751390   4479.138015
0.190625   535.374244   1795.095187   2901.501543   3528.796885
0.196875   511.704081   1719.160461   3000.745556   3964.464857
0.203125   479.268088   1682.381374   2992.457760   4069.791415
0.209375   486.102678   1868.581621   3065.091354   4402.411359
0.215625   526.468351   1787.138809   3045.383547   4110.981676
0.221875   490.438357   1727.115591   3014.669499   3508.267968
0.228125   470.896365   1725.984691   2773.059894   3939.153554
0.234375   498.259514   1774.450099   3351.334803   3772.491494
