Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1080.755665   2153.626862   3554.563837   4213.570052
0.034375   1113.441053   2155.106529   3568.789878   4378.593575
0.040625   1085.449013   2138.530073   3403.033034   4564.803625
0.046875   962.895982   2166.027392   3240.355943   4606.597910
0.053125   889.632092   1977.154692   3044.287931   3788.894101
0.059375   1033.997518   1992.679662   2921.544858   3746.485699
0.065625   896.178491   1983.275382   2921.738802   3785.860482
0.071875   952.407743   1920.830966   2493.543598   3834.741674
0.078125   1323.761538   2436.871912   3744.228397   5006.539370
0.084375   734.362855   1641.653653   2644.233931   3821.858330
0.090625   424.950475   1756.696739   2792.767745   3864.832349
0.096875   343.689940   1904.704986   3111.269392   4395.490211
0.103125   549.381452   1885.759896   3020.611243   4136.444244
0.109375   737.063979   1746.627865   2922.939923   4453.606390
0.115625   1077.925866   1989.482054   3162.154109   4525.196819
0.121875   954.040384   2030.653574   3070.893245   4507.941420
0.128125   1031.541168   2021.622120   3107.972006   4543.813270
0.134375   1327.968686   1956.857509   3161.955193   4680.768914
0.140625   1788.211083   2215.517439   3280.011800   4440.777643
0.146875   1781.153776   1812.391868   3318.831164   4477.521426
0.153125   1734.375099   1950.596392   3310.151828   4497.068207
0.159375   915.486629   1759.196362   3097.189432   4058.504404
0.165625   830.594103   1707.421602   2983.250661   3968.148845
0.171875   730.617033   1714.053854   3014.363455   4037.913203
0.178125   961.415587   1752.518961   2964.801353   3921.150438
0.184375   1240.060567   2100.192420   3169.433998   4436.947747
0.190625   1387.811583   2200.715559   3489.175437   4627.401253
0.196875   1393.716079   2182.602160   3531.509843   4741.636563
0.203125   852.266862   1664.406276   3407.449291   3702.626633
0.209375   799.174421   1638.389400   2996.752880   3927.031515
0.215625   1306.962424   1697.973378   3007.402778   4242.957750
0.221875   868.311301   1553.694370   2376.982503   4124.441362
0.228125   1357.482365   2395.350735   3544.746278   4268.346241
0.234375   1263.492642   2374.461879   3352.296836   4536.581817
0.240625   1148.975718   1906.687950   2619.498138   3776.884853
0.246875   925.366804   1777.202430   2923.281960   4064.679575
