Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   730.632575   2132.365378   3533.358255   4954.110960
0.034375   692.005995   1943.268305   2107.114679   3541.346937
0.040625   688.263619   2104.291835   2110.624032   3545.467813
0.046875   678.888895   2135.241629   2519.401104   3492.740185
0.053125   745.600146   2174.593781   3226.537012   4589.751008
0.059375   640.723409   2024.697505   2880.549658   3714.817475
0.065625   706.039695   1927.614056   2668.676692   3844.338059
0.071875   764.965174   1769.202278   2726.709955   4134.031324
0.078125   777.332349   2047.569988   2808.253264   3843.613808
0.084375   651.182684   1757.810731   2769.808254   3678.440057
0.090625   538.895255   1484.845570   2866.160381   3761.674940
0.096875   661.398518   1232.088240   2831.028460   3819.347970
0.103125   819.502496   1733.685328   2775.935455   3859.563127
0.109375   745.399561   2002.614216   3066.729601   4330.932670
0.115625   820.937211   1382.055394   2664.216845   3791.473230
0.121875   714.539220   1923.274552   2760.828680   3621.909437
0.128125   690.557387   2107.038631   3124.517536   4304.817000
0.134375   697.995024   1934.537956   3049.067971   4008.639832
0.140625   718.796342   1705.216082   2743.121560   3878.375345
0.146875   982.325481   2473.053273   3970.243279   4931.941971
0.153125   689.873925   2063.872703   2549.449010   3775.261130
0.159375   1086.672689   2257.187333   3662.535807   4814.040265
0.165625   1091.572703   2352.784854   3753.780441   4937.719789
0.171875   661.941170   1589.415044   2755.485309   3712.669735
0.178125   693.973761   1522.843150   2950.138557   3993.609028
0.184375   956.687698   1220.680142   2850.475842   4054.234518
0.190625   851.144748   1385.102569   2860.935336   4014.292956
0.196875   641.085706   1345.757986   2654.214344   3780.780481
0.203125   708.270377   1602.574607   2793.241290   3784.930461
0.209375   764.682449   1728.235706   2922.353313   3959.846685
0.215625   798.197576   1729.867913   2746.390738   3872.611892
0.221875   785.775693   1406.953073   2665.653530   3752.244467
0.228125   1133.849482   1156.018533   2604.582706   3698.039406
0.234375   778.648957   1931.737456   2971.842862   4202.596949
0.240625   706.933306   1764.809202   2871.903004   4176.831332
0.246875   679.415663   1806.860983   2830.485841   4066.572281
0.253125   773.891077   1812.232392   2903.350998   4195.634526
0.259375   803.372079   1838.945738   3054.041534   4238.334969
0.265625   733.656869   1840.896553   3044.027050   4143.187895
0.271875   714.447294   1881.038090   3008.072623   4301.138704
0.278125   708.430601   1909.510767   2959.174608   3867.528576
0.284375   728.134559   1792.669451   2891.900682   3772.095645
0.290625   731.003435   1665.956674   2790.686433   3902.301782
0.296875   754.957841   1754.926638   2971.547812   4315.308727
0.303125   683.425234   1633.935598   2968.828936   3820.575530
0.309375   1149.043293   2121.792529   3462.595864   4426.654746
0.315625   1169.118570   2396.713320   3761.031905   4813.722172
0.321875   709.430276   1350.414808   2640.529589   4027.156955
0.328125   819.553085   1496.297668   2409.202045   3710.815843
0.334375   782.853128   1842.502756   2631.303424   4110.811195
0.340625   712.817262   1716.009811   2817.674613   3775.820901
0.346875   784.166969   1625.589389   2800.511525   3742.106329
0.353125   805.747449   1816.985573   2914.210220   4217.906576
0.359375   750.328179   1816.719845   2845.229075   4177.807164
0.365625   691.716406   1718.365036   3042.624335   4162.629057
0.371875   774.226453   1744.789158   3032.402293   4032.104318
0.378125   813.198529   1763.285178   2487.767316   3671.370601
0.384375   667.766088   1761.804412   2589.314536   3743.672396
0.390625   545.612800   1726.267205   3170.502283   3523.537508
0.396875   517.812097   1702.437493   2819.143605   3592.537481
0.403125   532.229630   1639.414642   2870.052990   3640.528487
0.409375   688.047304   1666.751282   3042.629355   4110.965804
0.415625   792.097047   1699.158554   2930.786603   4128.161316
0.421875   775.509967   1848.190395   2871.796521   4149.424634
0.428125   739.918417   1751.194638   2669.554416   3768.651456
0.434375   736.854698   1719.766664   2774.181850   3825.188895
0.440625   698.954027   1754.609679   3013.705516   3969.247337
0.446875   665.499416   1811.494120   3052.297283   4502.508970
0.453125   716.346935   1658.855403   2811.700723   3739.351506
0.459375   770.785293   1664.838690   2738.537071   3782.734719
0.465625   749.496492   1682.973182   2859.933947   3885.297580
0.471875   762.593319   1709.705204   2899.114071   3836.995429
0.478125   744.269264   1686.543063   2968.162194   3741.052357
0.484375   724.001125   1670.769301   2882.291173   3758.173150
0.490625   734.904446   1767.121087   2879.017239   3917.408917
0.496875   705.524223   1766.860202   2909.923395   4074.834429
0.503125   736.334370   1665.519249   2908.416334   4003.459967
0.509375   729.523934   1710.527418   2827.706104   3838.535255
0.515625   661.593319   1758.295330   2886.283254   3922.828894
0.521875   708.326832   1789.402228   3037.045046   4346.962908
0.528125   691.052732   1790.019322   2923.868178   4138.766171
0.534375   738.423165   1776.057386   3001.841709   4050.077387
0.540625   683.384439   1633.377871   2978.600574   3823.856241
0.546875   628.558823   1559.578030   2901.081014   3892.074132
0.553125   202.874536   1617.584793   3020.448347   4123.436630
0.559375   679.837424   1691.011774   3042.819345   3761.888818
0.565625   720.635786   1634.120135   2927.168132   4047.208272
0.571875   603.439638   1638.340211   2939.516042   3999.238213
0.578125   747.546110   1643.944761   2910.401399   3550.382375
0.584375   809.608312   1564.340893   2985.681863   3729.442283
0.590625   755.571699   1568.718630   2953.972515   3945.066472
0.596875   705.709044   1640.765670   2943.120442   3964.795122
0.603125   699.515602   1612.016538   3020.693992   3799.545568
0.609375   675.885359   1625.004949   2887.559454   3762.505979
0.615625   829.225478   1580.489139   2993.321965   4408.881995
0.621875   1042.407444   2080.445311   3206.685911   4400.902465
0.628125   868.778604   1725.398922   3111.286724   4336.520514
0.634375   728.140187   1850.238858   2992.925804   4342.063774
0.640625   745.535789   1858.137549   2984.143544   4246.412366
0.646875   761.799583   1827.983886   2943.984578   4135.552320
0.653125   717.746175   1646.635536   2892.452439   4131.296483
0.659375   762.628393   1540.135942   2789.949182   4083.657300
0.665625   763.137947   1865.274954   2841.706215   4291.717190
0.671875   741.401849   1900.752498   2966.166842   3855.353508
0.678125   702.977926   1763.277136   2836.024958   3896.002958
0.684375   664.213255   1672.574667   2997.340528   3931.361812
0.690625   699.036005   1690.279221   2983.921019   4344.851375
0.696875   737.610751   1674.053668   2922.528925   4006.163990
