Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   499.631345   1695.593433   2793.663267   4274.161992
0.034375   572.090731   1765.084497   2851.837917   4241.044311
0.040625   710.578099   1807.148468   2803.333345   4236.946571
0.046875   1121.145207   1799.601841   2675.333816   4166.191153
0.053125   1073.264043   1765.111808   2725.025869   4081.373584
0.059375   1017.832635   1869.314126   3026.346389   4095.627246
0.065625   953.911938   1941.053055   3171.623547   3965.722674
0.071875   992.039631   1907.813095   2859.350822   3925.292215
0.078125   1021.011925   1821.100966   2899.866328   3876.624852
0.084375   989.566016   1804.910274   2829.526497   3741.646935
0.090625   948.825330   1895.805456   3415.014953   4269.219418
0.096875   1387.914762   1928.843987   3306.073423   4362.499949
0.103125   1665.611104   1947.184063   3240.472276   4352.323981
0.109375   1075.429645   1779.487784   3301.088533   4462.023146
0.115625   954.935707   1873.252529   2800.573802   3710.313901
0.121875   888.136265   1906.898047   2947.637384   3683.460158
0.128125   847.311926   1873.146279   3003.761030   3990.440072
0.134375   897.986656   1881.137792   2863.023385   4044.729757
0.140625   870.092243   1896.586347   2913.737112   3915.929216
0.146875   900.647513   1909.971896   3033.075053   3942.877292
0.153125   946.443399   2053.574553   3157.571609   4078.601413
0.159375   929.609220   2034.812870   2935.805568   3977.918038
0.165625   938.391503   1983.829030   2807.258764   3823.686477
0.171875   877.936872   2113.839246   3172.337451   3902.353295
0.178125   818.141876   2150.703876   2363.323873   3962.820121
0.184375   987.863097   2289.338374   3565.715847   4496.692183
0.190625   902.732048   2084.980902   3430.039882   4358.185702
0.196875   979.123559   1993.397432   3380.555949   4243.148649
0.203125   954.933888   1962.483431   3139.131939   4156.384798
0.209375   855.199077   1912.087436   3128.096657   4342.580245
0.215625   793.882567   1825.027494   2999.567715   3932.367584
0.221875   824.786715   1734.005670   2930.896091   3940.726171
0.228125   920.802292   1877.478725   2985.475619   3840.576218
0.234375   947.758611   1992.667180   3012.192027   3892.394760
0.240625   966.941741   2021.634899   2992.114903   3918.560527
0.246875   937.263205   1979.403557   2841.684568   3886.378341
0.253125   1560.087234   2721.017748   3854.120378   4800.764210
0.259375   1462.286715   2548.118963   3659.383179   4608.175084
0.265625   1288.601806   2411.586414   3272.435589   4403.814059
0.271875   1319.359821   2513.705585   3527.400095   4559.266238
0.278125   1368.938101   2518.879485   3709.896485   4567.802893
0.284375   966.484455   1960.356359   3131.740892   4020.320388
0.290625   816.128218   1952.270883   3066.135631   3942.884624
0.296875   688.845674   1796.449651   2797.703086   3915.570260
0.303125   806.740054   1827.183765   2876.787279   3952.445125
0.309375   838.679493   1824.777463   2963.315745   3933.439325
0.315625   945.625342   1881.132511   2953.824864   3936.989822
0.321875   979.652924   1994.867597   2974.414429   3959.883911
0.328125   901.904476   1951.395583   2808.565453   4019.091523
0.334375   507.954287   1797.193942   2666.632365   3985.031908
0.340625   387.972981   1916.889266   2755.021936   3894.383349
0.346875   649.370175   1960.861552   3295.610353   4523.794065
0.353125   732.920209   1885.585919   3011.753676   4128.079471
0.359375   884.097759   2013.238445   3188.851024   4166.340766
0.365625   885.060154   2055.658635   3073.423645   4198.027606
0.371875   706.214944   1961.624139   3006.257405   4164.460157
0.378125   613.080173   1756.227559   2846.911320   4047.990527
0.384375   1368.762802   1705.477483   2510.584737   4009.183715
0.390625   1287.621208   1731.777902   2418.357395   3987.854028
0.396875   1761.033343   2438.653974   4035.397616   4985.363729
0.403125   1658.936242   2431.829597   4103.704228   4864.769345
0.409375   2015.610559   2282.307410   3540.299347   4197.698332
0.415625   1913.589510   2358.396665   3588.063577   4206.795694
0.421875   2115.423930   2535.230743   4153.277513   4761.829549
0.428125   1983.213466   2771.552304   4167.575577   4571.703368
0.434375   284.827480   2006.027044   2778.122672   3967.669044
0.440625   319.224123   1996.770663   2873.104059   3991.508049
0.446875   374.347438   2093.482120   2878.804510   3948.927854
0.453125   507.506850   2132.725826   2770.648291   3988.275519
0.459375   562.027657   2105.281954   2850.034790   3939.369151
0.465625   551.059064   2145.698561   2817.004102   4031.226800
0.471875   569.758797   2170.516519   2868.315119   3722.745845
