Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1591.220700   2401.055465   3311.513183   4205.788285
0.034375   1597.648447   2380.218409   3166.923972   4156.431079
0.040625   1506.767497   2405.432283   3111.463641   4103.202612
0.046875   1384.797488   2274.142658   2889.863615   4077.161733
0.053125   1186.846415   2102.117381   2848.365249   4039.708259
0.059375   1146.584554   2115.706540   2914.933019   3984.792037
0.065625   1248.399058   2121.083227   3127.830511   4316.678063
0.071875   1505.836038   2386.084189   3128.144910   4732.687913
0.078125   1555.306568   2394.613303   3099.540075   4542.085154
0.084375   1222.898345   2258.967676   2963.977256   4438.616022
0.090625   1144.396141   2167.649815   2971.049280   4387.959669
0.096875   1167.663051   2154.613331   2676.540546   4248.750896
0.103125   1199.498687   1990.423307   2666.835069   4253.011065
0.109375   1242.286798   2014.179232   2746.323021   4424.207880
0.115625   1128.442916   2301.708484   3044.584531   5268.130418
0.121875   993.364272   2158.928677   3176.167042   4915.094009
0.128125   1067.429420   2096.673279   3188.376811   3430.324746
0.134375   1151.323756   2092.898147   3142.015243   4082.725678
0.140625   1205.101185   2364.143147   3326.994446   5109.439951
0.146875   1151.151317   2333.581807   --undefined--   --undefined--
0.153125   1122.146670   2158.132469   2907.646478   4251.244109
0.159375   1091.718762   2080.242737   2896.902989   4126.240808
0.165625   1150.641454   2157.072955   2892.927993   4115.487887
0.171875   1205.142483   2118.431558   2756.203249   4040.272857
0.178125   1227.922273   2249.882647   3033.987519   3922.028964
0.184375   1166.254513   2186.935157   3066.211912   3776.729143
0.190625   967.336136   2002.048106   2849.421379   4068.691938
0.196875   1061.358274   1684.169393   2537.109861   4102.047298
0.203125   770.477623   1712.327282   2694.991579   4281.645981
0.209375   1160.194074   1777.070141   2794.742120   4259.177762
0.215625   1192.530813   1966.053372   2840.711204   4183.349658
0.221875   1065.216095   1947.812002   2790.058427   4184.334536
0.228125   1091.206265   2098.717188   --undefined--   --undefined--
0.234375   1152.782999   1984.271614   3081.943979   5293.914077
0.240625   1332.331114   1986.665087   3148.056656   4866.741940
0.246875   1142.764515   1970.519954   3090.102238   4368.220145
0.253125   655.331148   1737.660914   3279.208046   3420.125004
0.259375   621.860253   1718.447204   3201.159834   4087.896317
0.265625   606.076433   1615.453735   3065.641390   3464.415218
0.271875   571.886655   1443.091214   2858.299915   3593.248211
0.278125   542.390961   1347.079383   2721.008404   3737.180979
0.284375   589.903030   1348.421532   2719.213349   3646.697091
0.290625   717.460259   1368.447964   2865.972680   3644.154656
0.296875   620.156948   1631.868112   3011.533032   3772.444777
0.303125   653.387858   1416.810659   3154.488192   3970.270374
0.309375   568.325441   1436.321658   3058.066302   3925.698084
0.315625   559.481150   1506.340489   2950.564222   3921.526732
0.321875   616.019688   1461.255291   2958.444819   3929.814202
0.328125   880.484727   1143.896588   2691.745310   3791.797974
0.334375   1005.569949   2055.831369   3444.600071   3986.396707
0.340625   955.252720   1967.498357   3284.658514   4062.986413
0.346875   754.305537   1793.997698   2995.821820   4093.473824
0.353125   594.706564   1564.012661   2817.310607   3931.126819
0.359375   645.068514   1496.590669   2906.336209   3833.651224
0.365625   996.799551   1131.331427   2506.367213   3797.565927
0.371875   906.469856   1765.222222   3064.705640   4012.112729
0.378125   876.673637   1694.153137   3204.702450   4293.812924
0.384375   1073.953819   2035.643113   3341.809322   4249.256273
0.390625   1147.432853   2191.129808   3336.065446   4132.990717
0.396875   1183.329494   2079.772872   3035.155322   4214.167685
0.403125   1234.816347   1333.878103   2636.167453   4007.704963
0.409375   666.684006   1472.709466   2753.634555   3725.952022
0.415625   1065.619956   1473.015152   2581.153767   3973.944134
0.421875   1064.744559   1201.542804   2379.771168   3759.507932
0.428125   1085.170964   2265.653502   3596.556721   4427.023034
0.434375   1010.367861   1873.267885   3169.217599   4263.449096
0.440625   1269.883886   2244.246172   2731.191291   4335.996991
0.446875   1298.664421   2424.864804   2729.418433   4358.836062
0.453125   1434.496030   2254.756749   3198.594606   4282.497554
0.459375   1689.527529   2369.282204   3231.667670   3757.132343
0.465625   1719.869363   2544.845679   3206.088923   4742.274205
0.471875   1669.049362   2537.420610   3145.065357   4406.349764
0.478125   1692.652607   2574.026738   3215.397799   4697.859642
0.484375   218.646063   2003.972152   2744.722818   3227.694830
0.490625   245.188171   1996.867044   2825.016278   3266.753634
0.496875   307.305291   2003.166352   3110.497388   3393.767601
0.503125   370.358154   1949.116402   3122.797872   3622.330929
0.509375   404.998252   1942.961287   3012.755837   3629.509192
0.515625   422.862259   2059.286209   2937.013658   3567.989561
0.521875   421.572613   2271.152072   2916.192212   3798.520283
0.528125   416.619642   2334.116463   2983.836456   3962.802344
0.534375   410.146110   2382.190531   2983.137662   3942.394520
0.540625   411.242676   2433.434083   2973.327837   3888.821957
0.546875   409.124586   2465.822065   2978.170593   3927.545141
0.553125   414.321795   2465.054655   2970.973576   3926.811943
0.559375   416.566387   2499.480212   3042.641137   3686.449046
0.565625   412.837459   2562.334998   3107.134632   3422.110114
0.571875   407.450076   2607.043743   3126.031442   3218.836117
0.578125   413.038108   2612.188629   3129.741568   3245.364989
0.584375   412.230184   2555.140760   3089.989038   3639.900999
0.590625   409.145426   2499.449335   3096.556173   3828.400579
0.596875   409.173976   2503.602558   3159.773675   3663.750175
0.603125   411.528706   2512.443022   3175.928254   3271.877785
0.609375   413.137995   2401.482378   3170.510886   3183.659385
0.615625   413.345181   2356.660145   3178.457735   3210.142469
0.621875   415.698075   2305.734011   3173.216013   3290.326402
0.628125   413.406975   2292.928790   3165.966620   3170.686096
0.634375   408.448152   2330.791783   2727.645165   3111.879165
0.640625   403.148263   2305.256912   3041.109045   4842.640001
0.646875   397.938714   2215.553708   3061.628892   4618.065019
0.653125   393.709668   2206.456272   2983.635672   4330.924590
0.659375   399.859000   2180.170261   3028.104473   4571.827979
