Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1097.276514   2281.218840   3210.996939   4507.702174
0.034375   1123.564513   2327.119133   3246.519519   4487.716395
0.040625   1217.185914   2429.408530   3201.172893   4450.978624
0.046875   1676.153941   2876.332382   3092.642530   4402.278024
0.053125   1605.095651   2581.862753   3378.680237   4651.298064
0.059375   1566.687098   2517.300100   3559.379881   4647.901781
0.065625   1491.049762   2517.532351   3709.285706   4732.419669
0.071875   1424.791542   2619.406363   3662.736153   4587.437358
0.078125   1532.740758   2682.305740   3634.347548   4500.386723
0.084375   1653.523109   2567.244735   3664.591407   4541.471648
0.090625   1624.500446   2568.524617   3853.703993   4782.790397
0.096875   1527.226404   2476.401480   3770.872823   4539.741975
0.103125   1658.415333   2522.131398   3838.609367   4729.857982
0.109375   1745.732664   2652.792300   3951.023420   4991.567946
0.115625   1645.828174   2607.436416   3807.499038   4978.152441
0.121875   1584.154266   2753.710710   3822.538662   5031.556569
0.128125   1395.030062   2789.373165   3869.328066   4720.006834
0.134375   1462.340109   2757.819527   3831.994590   5020.500878
0.140625   1636.447962   2763.797573   3862.082426   5036.062831
0.146875   1578.888185   2362.384432   3725.385730   4891.428148
0.153125   1675.298440   2668.074475   3853.122079   5117.061155
0.159375   1695.822302   2674.373039   3610.766670   4632.758767
0.165625   1763.438281   2536.024291   3426.665677   4570.283204
0.171875   1536.031598   2586.264330   3526.225559   4491.482706
0.178125   1384.372192   2646.608455   3649.703336   4457.070889
0.184375   1393.582719   2776.822860   3623.465871   4583.641322
0.190625   1584.984865   2823.672424   3535.232268   4601.886412
0.196875   1531.967480   2774.085448   3469.911328   4390.657540
0.203125   1559.780006   2643.593951   3515.847689   4312.076507
0.209375   1549.953379   2642.972287   3637.490217   4379.369448
0.215625   1520.286742   2671.872598   3683.541219   4651.756615
0.221875   1579.630662   2743.089338   3709.019211   4841.027967
0.228125   1749.042661   2752.720996   3946.113528   5022.390954
0.234375   1672.288194   2541.506804   3618.638750   4557.338595
0.240625   1795.898438   2826.998307   3524.655238   4376.389766
0.246875   1899.930068   2874.781822   3897.185905   4285.059490
0.253125   1674.747168   2648.066154   3692.629858   4419.466919
0.259375   1565.056228   2521.186485   3553.262315   4567.561322
0.265625   1566.067006   2466.004938   3527.904231   4605.719971
0.271875   1548.343907   2365.576163   3503.651880   4533.797131
0.278125   1590.782431   2484.630139   3589.957516   4538.689696
0.284375   1582.114436   2597.447929   3608.391916   4599.597317
0.290625   1558.758478   2553.672049   3735.376330   4621.385675
0.296875   1644.884330   2529.567757   3869.721008   4501.559131
0.303125   1811.145817   2520.373188   3717.034832   4316.186499
0.309375   1622.901700   2556.598561   3580.056042   4546.118979
0.315625   1528.627994   2599.425634   3681.704904   4618.772366
0.321875   1532.073181   2590.884399   3631.543298   4707.815114
0.328125   1596.548306   2532.186281   3516.614133   4658.436763
0.334375   1502.982910   2576.888819   3547.419097   4632.244006
0.340625   1464.648454   2728.464556   3503.145418   4437.425931
0.346875   1468.845132   2336.961934   3276.311118   4539.689952
0.353125   1682.588832   2495.877769   3481.671935   4561.417451
0.359375   1664.078162   2534.552433   3583.231893   4571.766949
0.365625   1543.734389   2458.404131   3537.398704   4583.748074
0.371875   1495.538496   2517.598737   3583.200724   4460.270943
0.378125   1481.031790   2519.094887   3601.395515   4415.221517
0.384375   1593.248576   2427.874865   3435.717609   4539.133688
0.390625   1809.547986   2149.290592   3354.762534   4543.748356
0.396875   1664.917884   2627.626864   3452.712279   4384.347038
0.403125   1461.871734   2630.321289   3526.989559   4447.676987
0.409375   1416.599965   2605.480620   3525.872587   4597.398588
0.415625   1502.213341   2535.337887   3533.924656   4477.900219
0.421875   813.995909   2016.344090   3700.240353   4070.170025
0.428125   492.310760   1788.695179   2307.551069   3988.732881
0.434375   513.859794   1720.763084   2391.008266   4006.320402
0.440625   539.414312   1621.535315   2646.817224   4002.501900
0.446875   600.097996   2091.739140   2370.732245   3845.731795
0.453125   669.829919   2167.157300   2315.829944   3938.026837
0.459375   683.918046   1629.978808   2400.213333   3980.300281
0.465625   712.903085   1578.587027   2489.480084   3929.486788
0.471875   1374.218701   2414.164063   3854.099343   4924.900514
0.478125   1314.343732   2317.551161   3704.789706   4742.442954
0.484375   1074.888177   2140.772943   3179.389608   4294.265485
0.490625   565.451288   2011.011967   2909.318756   3844.003431
0.496875   521.895617   1961.063237   2764.929901   4062.434169
0.503125   569.291721   1823.178310   2430.976637   3579.661322
0.509375   785.452979   1605.540355   2276.020447   3587.128407
0.515625   595.125157   1477.267039   2370.228605   3659.968473
0.521875   1272.398733   2306.229112   4162.793463   4860.568766
0.528125   1039.349642   2093.254908   3028.733967   4549.065884
0.534375   971.778310   2252.655387   3076.815195   4541.245250
0.540625   1401.635470   2543.840711   --undefined--   --undefined--
0.546875   1401.334279   2537.094633   3659.342635   4710.590532
0.553125   1347.514172   2497.536404   3610.257566   4703.157898
0.559375   1316.212674   2449.793754   3542.081850   4662.209392
0.565625   1165.216831   2454.949340   3527.954581   4687.994187
0.571875   985.618461   2540.781899   3565.647169   4466.375809
0.578125   1255.399777   2593.664321   3653.614984   4650.262176
0.584375   1347.743861   2843.317169   3753.334679   4827.370406
0.590625   1443.483989   2960.457341   4042.675845   4913.046377
