Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   696.754563   1845.187557   3330.745826   4209.293463
0.034375   946.137777   1886.503801   3339.724010   4198.025420
0.040625   1555.516190   1944.137684   3393.745805   4132.785704
0.046875   1799.052391   2004.023138   3486.005931   4114.156402
0.053125   1677.928999   2021.601929   3533.882699   4082.097887
0.059375   566.314192   1977.743305   3234.736267   3788.520806
0.065625   1291.772298   2050.331474   3550.042390   4097.448117
0.071875   1208.968282   1992.549918   3446.630249   4209.846226
0.078125   193.844524   1995.841625   3457.434556   4516.330920
0.084375   448.573607   1992.484215   3561.100150   3912.266692
0.090625   237.487891   1997.720986   3765.157347   3774.225163
0.096875   542.597842   2025.020468   3679.258723   3826.352362
0.103125   730.440942   2115.595226   2688.581481   3707.876717
0.109375   368.758764   2061.687442   2845.663119   3740.441349
0.115625   1772.480351   1951.205109   3588.350271   4304.339183
0.121875   1585.465646   1950.979412   3566.312692   4403.338216
0.128125   1746.272951   2147.086233   3525.106256   4446.576658
0.134375   1755.089870   2146.369626   3602.119070   4283.987377
0.140625   1638.554294   2081.866446   3521.600890   4247.721730
0.146875   1402.410188   2098.164772   3500.850393   4240.059142
0.153125   1609.744894   2047.815532   3569.173017   4319.944903
0.159375   1547.337831   2065.385495   3573.326520   4226.885342
0.165625   1439.933889   2060.415359   3478.220489   4279.793096
0.171875   1601.371561   2043.738441   3533.041966   4371.454441
0.178125   1916.298084   1997.030834   3513.701729   4621.821910
0.184375   1502.861013   1988.130566   3517.075560   4383.048390
0.190625   1405.589983   2122.826407   3627.523336   4223.175517
0.196875   1657.970535   2040.240488   3611.071722   4258.182050
0.203125   1702.818574   2144.755235   3549.829819   4249.436494
0.209375   1660.038392   2179.354014   3525.762192   4317.800442
0.215625   1616.137736   1982.417717   3531.257711   4304.573781
0.221875   1672.076571   2134.008513   3515.878302   4569.224633
0.228125   1774.992349   2026.878350   3563.233191   4485.484407
0.234375   1700.399581   2109.060413   3476.109463   4035.267201
0.240625   1661.953415   2070.646941   3529.359031   4114.583196
0.246875   1564.190537   1995.418650   3545.781894   4001.254922
0.253125   1045.865786   1863.352011   3504.469729   3688.122743
0.259375   1296.453014   1878.805406   3470.465383   4293.445371
0.265625   1283.985824   1762.321833   3255.701360   4309.779811
0.271875   1416.811045   1714.309548   3323.816830   4313.596838
0.278125   1660.399691   2319.895442   3643.076039   4731.823688
0.284375   1566.057491   2493.913617   3812.143662   4844.730431
0.290625   500.761039   1640.746749   2889.194217   3763.373294
0.296875   387.352145   1701.610752   3021.194597   3876.371191
0.303125   286.885979   1774.044630   3186.185421   3812.084740
0.309375   1779.369217   3035.934430   --undefined--   --undefined--
0.315625   1637.789554   2905.461041   --undefined--   --undefined--
0.321875   1301.640925   2651.188430   3783.848072   4693.777864
0.328125   1300.043383   2214.967480   3680.065662   4703.363017
0.334375   1538.278953   2266.002507   4037.217262   4776.879763
0.340625   1485.843816   2245.727774   3516.527138   4530.633593
0.346875   1491.216191   2228.889551   3352.673075   4517.618689
0.353125   1637.462605   2769.782791   3960.546826   4722.305824
0.359375   1866.883556   2597.672878   3567.226510   4784.733000
0.365625   529.762506   1919.569811   2824.550565   3821.778411
0.371875   502.548208   1785.420664   2853.802096   3928.968027
0.378125   528.173743   1684.709994   2829.736402   3794.775991
0.384375   559.221523   1955.721357   2715.447309   3972.884203
0.390625   1750.050470   1952.530920   3240.333949   4310.390506
0.396875   1380.890987   2237.097138   3317.036205   4294.054353
0.403125   1271.650727   2372.153580   3287.358765   4308.507795
0.409375   488.891792   1865.087083   3441.102342   3741.239863
0.415625   577.198256   1882.469920   3541.185114   3788.672805
0.421875   661.911871   1762.495780   3691.776133   3845.041898
0.428125   1038.767070   1785.685287   2821.552576   3822.371165
0.434375   1057.233153   1124.823335   2215.670544   3904.755274
0.440625   1065.805792   1340.139761   2165.728276   3925.170869
0.446875   1013.287743   1885.910186   2807.308672   3869.349260
0.453125   978.584232   1903.439915   2778.578335   3785.424278
0.459375   1000.438015   1950.500591   2475.670729   3690.827666
0.465625   1194.463585   2126.596810   3602.755171   5120.599182
0.471875   1156.423146   2120.936327   3609.169191   4922.875299
0.478125   1155.913615   2098.720018   2360.638870   3788.119391
0.484375   1293.109602   2103.044546   3652.935055   5277.060378
0.490625   1286.183292   2082.719729   2240.547600   3680.697983
0.496875   1435.065071   2071.065988   3539.496146   4067.189100
0.503125   371.974957   1720.729216   2988.375912   4115.826074
0.509375   403.520401   1806.241232   3090.348087   4172.156341
0.515625   433.433304   2083.867276   2959.510149   4238.269543
0.521875   444.974552   2199.253224   2876.142132   4286.568082
0.528125   445.071068   2314.497389   2804.338475   3933.607099
0.534375   442.676681   2336.671563   2836.390974   3955.920320
0.540625   441.571461   2431.863041   2781.299517   3910.368082
0.546875   438.282517   2535.202371   2802.194272   4063.103669
0.553125   437.489028   2484.498861   3032.436565   3480.408447
0.559375   439.957618   2447.439045   3058.434396   4611.456681
0.565625   440.740379   2433.256842   3095.425232   3584.150323
0.571875   442.928487   2419.328330   3059.756981   4301.455000
0.578125   430.219044   2171.052421   2505.188446   3114.476141
0.584375   425.213541   2054.888906   2552.232882   3141.557364
0.590625   425.493867   2373.328913   2401.432917   3102.218171
0.596875   420.838210   2149.048424   2452.510177   3146.673113
0.603125   417.630604   2053.732223   2414.517965   3143.729821
0.609375   411.355077   1412.705339   2412.998950   3146.768292
0.615625   423.237553   2415.579846   3124.726171   4336.275445
0.621875   429.594547   2411.580162   3027.374445   4048.074795
0.628125   425.589706   2405.311084   3118.642043   4064.849132
0.634375   418.401648   2380.084029   3035.992635   4054.296141
0.640625   406.467302   2306.013289   2916.996755   4316.890279
0.646875   411.906753   2199.614075   2991.838426   4465.105787
0.653125   366.199074   2160.116234   2978.965930   4186.407420
0.659375   343.218912   2043.492983   2449.616263   3790.933529
0.665625   309.916008   2006.949030   2800.075901   3796.841939
0.671875   1919.171430   3084.205542   3605.878081   5189.073343
0.678125   1897.306719   3384.665319   3488.488353   5233.352582
0.684375   1904.336436   3141.660810   3664.666044   5235.903029
0.690625   1837.817709   2198.263415   3598.490295   5175.478504
0.696875   1786.499142   2180.978018   3593.545478   5106.657561
0.703125   1804.401612   2248.176702   3582.321839   5061.901430
0.709375   1902.515936   2380.293895   3384.564992   5016.729783
0.715625   1868.810391   2274.034223   3261.050951   4981.281158
0.721875   1804.737776   2363.122874   3406.976648   5235.819476
0.728125   1634.100079   2202.470756   --undefined--   --undefined--
0.734375   1511.720064   2200.114662   3393.859481   4451.666590
0.740625   1489.614008   2055.074498   3403.903798   4080.102863
0.746875   1354.204611   2024.559166   3425.221237   4106.807623
0.753125   1441.216975   2422.919414   3477.115382   4415.277996
