Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1543.112770   2647.189952   --undefined--   --undefined--
0.034375   1425.310992   2658.788329   --undefined--   --undefined--
0.040625   1355.138008   2626.639910   2869.670197   3941.175133
0.046875   1393.714438   2319.943610   3139.549777   4251.920671
0.053125   1662.363565   2906.361712   3084.943618   4187.404488
0.059375   1787.605627   2560.415078   3350.295345   4057.318454
0.065625   1819.045619   2935.397297   --undefined--   --undefined--
0.071875   2117.862093   2976.471396   --undefined--   --undefined--
0.078125   2004.575534   3021.744913   --undefined--   --undefined--
0.084375   1900.646085   2997.216609   --undefined--   --undefined--
0.090625   1879.416092   3067.130537   --undefined--   --undefined--
0.096875   1472.077400   2186.939024   3354.540498   4518.942783
0.103125   1350.655653   2150.999126   3221.993997   4583.899425
0.109375   934.284942   2431.221377   3310.884513   4488.348729
0.115625   2177.289853   3252.104610   --undefined--   --undefined--
0.121875   2216.021830   2920.755323   --undefined--   --undefined--
0.128125   2154.001974   3340.702450   --undefined--   --undefined--
0.134375   1818.910405   2799.130993   --undefined--   --undefined--
0.140625   1283.843668   2418.706145   3718.723315   4722.798570
0.146875   1105.433938   2213.121083   3745.873528   4218.645026
0.153125   2090.591526   2970.170297   --undefined--   --undefined--
0.159375   2163.837632   2912.577087   --undefined--   --undefined--
0.165625   2092.415881   3155.291999   --undefined--   --undefined--
0.171875   1759.871632   3160.319569   --undefined--   --undefined--
0.178125   1818.359403   3094.093674   --undefined--   --undefined--
0.184375   1892.302233   2992.503324   --undefined--   --undefined--
0.190625   1926.716028   3124.188172   --undefined--   --undefined--
0.196875   2008.306159   3276.431627   --undefined--   --undefined--
0.203125   2098.391948   3197.246786   --undefined--   --undefined--
0.209375   1917.534732   2773.643362   --undefined--   --undefined--
0.215625   1819.086799   2820.124694   --undefined--   --undefined--
0.221875   1961.853364   3104.335553   --undefined--   --undefined--
0.228125   1279.133869   2173.619512   3300.425893   4092.062715
0.234375   2102.520959   2618.793723   --undefined--   --undefined--
0.240625   1180.712907   2268.285110   3297.638774   4298.972680
0.246875   1700.189703   2940.216994   --undefined--   --undefined--
0.253125   1491.863291   2681.284699   3813.848953   4904.374355
0.259375   1703.375045   3050.204276   --undefined--   --undefined--
0.265625   1878.494484   3190.482976   --undefined--   --undefined--
0.271875   2015.372226   3276.045505   --undefined--   --undefined--
0.278125   2040.886391   3300.961327   --undefined--   --undefined--
0.284375   2006.112873   3261.048436   --undefined--   --undefined--
0.290625   1985.568539   3231.894214   --undefined--   --undefined--
0.296875   2032.818124   3346.094488   --undefined--   --undefined--
0.303125   1260.036708   2056.481991   3476.356416   4369.237461
0.309375   2053.942930   3317.621799   --undefined--   --undefined--
0.315625   2017.125800   3057.840170   --undefined--   --undefined--
0.321875   1965.751340   2999.242243   --undefined--   --undefined--
0.328125   2019.298410   3130.515371   --undefined--   --undefined--
0.334375   1188.919658   2244.904174   3316.799021   4367.798691
0.340625   1539.156390   2209.515272   3376.238597   4390.099384
0.346875   1391.683745   2318.483614   3531.690887   4451.134617
0.353125   1348.887628   2186.756383   3314.939460   4338.576458
0.359375   2348.487549   3535.616789   --undefined--   --undefined--
0.365625   2382.495158   2558.060682   --undefined--   --undefined--
0.371875   1596.232256   2847.310271   --undefined--   --undefined--
0.378125   1922.068470   3302.702687   --undefined--   --undefined--
0.384375   2064.769913   3198.934671   --undefined--   --undefined--
0.390625   2117.700458   2905.070627   --undefined--   --undefined--
0.396875   2010.171900   2991.418631   --undefined--   --undefined--
0.403125   1981.924756   3115.778307   --undefined--   --undefined--
0.409375   940.342977   2230.952224   3233.531673   4420.317370
0.415625   2135.304186   2947.632008   --undefined--   --undefined--
0.421875   2238.491269   2846.491271   --undefined--   --undefined--
0.428125   2016.465111   2685.016886   4195.113703   5365.977059
0.434375   2033.751095   2697.175900   --undefined--   --undefined--
0.440625   1949.065579   2978.210469   --undefined--   --undefined--
0.446875   1854.776599   2938.174791   4396.045241   5078.553409
0.453125   1879.111530   2963.874113   --undefined--   --undefined--
0.459375   1891.152520   3136.787521   --undefined--   --undefined--
0.465625   2033.039178   3229.138667   --undefined--   --undefined--
0.471875   1481.711194   2263.456676   3685.034581   4930.230455
0.478125   1346.224329   2176.219322   3506.308963   4488.023696
0.484375   1985.073589   2878.478884   4015.255517   5004.255776
0.490625   2015.870354   3108.796706   3998.538786   4990.740256
0.496875   1983.403804   3038.208823   4162.864478   4943.197476
0.503125   1889.261800   3345.050908   3953.142602   4898.870058
0.509375   1918.122804   3075.200741   4038.407842   5001.888057
0.515625   1998.992895   3028.723887   4003.574752   4928.658852
0.521875   1638.191230   2817.175410   3914.619440   4862.849961
0.528125   1340.422892   2615.579844   2828.788527   4667.974370
0.534375   739.595198   1471.143991   2824.825524   3736.862691
0.540625   768.940334   1560.461459   2862.974490   3906.919690
0.546875   717.907269   1483.135418   2639.061079   3684.841257
0.553125   673.038115   1678.667334   2823.836071   4207.986515
0.559375   703.820687   1878.798812   2922.160041   3828.622840
0.565625   828.177005   1811.426574   3330.410736   3487.061703
0.571875   855.598405   1321.331170   3000.963871   3996.699677
0.578125   1045.091794   2906.669961   3029.499751   4192.801211
0.584375   923.225685   2323.763788   3328.934953   4423.998421
0.590625   885.787539   2414.851548   3369.879561   4769.947779
0.596875   774.308319   2542.132040   3492.151487   4560.387303
0.603125   803.645703   2418.203460   3236.327341   4303.997525
0.609375   415.180971   1340.925958   2448.062530   3796.330406
0.615625   866.821172   2161.383616   2708.947433   3392.923320
0.621875   867.347027   2209.418403   3199.765067   4809.541702
0.628125   901.964305   2253.943953   3362.984014   4787.314961
0.634375   791.511257   1530.765526   2632.182396   3691.602989
0.640625   729.981009   1599.089030   2668.840933   3797.757840
0.646875   713.107620   1706.153801   2887.811190   4071.716811
0.653125   712.166796   1428.938173   2805.101789   4050.475542
0.659375   497.015307   1464.413131   2817.620429   3787.995106
0.665625   491.896869   1708.424916   2823.199122   3817.922116
0.671875   383.293116   1595.208174   2722.263069   3733.291707
0.678125   561.137160   1516.739230   2832.893957   3776.908107
0.684375   886.366259   2196.990530   3039.410101   4247.852506
0.690625   556.277073   1214.429128   2674.964716   4005.178244
0.696875   1100.764350   2655.198605   3527.056233   4348.272402
0.703125   1115.909784   2518.559154   3424.174061   4291.238585
0.709375   1113.173890   2362.517168   3417.821060   4353.245362
0.715625   1082.499868   2108.799679   3105.214295   4242.864251
0.721875   800.831108   1641.721818   2949.432808   4261.953566
0.728125   829.528394   2207.047056   3003.654059   4299.351404
0.734375   776.456371   2208.474269   3110.381253   4205.884188
0.740625   850.153714   2263.634806   3485.043036   4033.052616
0.746875   1153.733342   2709.141700   2903.862703   3987.473741
0.753125   1020.898580   1780.327484   2801.583790   4410.303156
0.759375   1763.035562   2725.008648   3848.111955   4525.329413
0.765625   1764.561512   2732.951164   3132.595928   4528.303063
0.771875   1772.357445   2734.742671   2957.878999   4548.943163
0.778125   1757.731498   2668.324874   3388.203441   4658.676722
0.784375   1914.384497   2844.039086   3655.255293   4574.475190
0.790625   294.323554   2177.501199   3004.285101   3610.406149
0.796875   349.575833   1965.535082   2977.171820   3618.853166
0.803125   377.932023   1924.420685   2900.254272   3864.572757
0.809375   390.902756   2090.644704   2870.863392   3900.012636
0.815625   388.651710   2127.082357   2902.327263   3931.840757
0.821875   392.671305   2292.833779   2957.944629   3967.725473
0.828125   404.849407   2581.445382   2923.764331   3938.406991
0.834375   407.034345   2528.760189   2888.224782   4011.997486
0.840625   411.677895   2665.115444   2847.513509   3921.831240
0.846875   423.412829   2750.560704   2956.536133   4025.486254
0.853125   422.787226   2770.170756   3003.478937   4011.915279
0.859375   420.692317   2867.175393   2892.542410   3770.198319
0.865625   416.223322   2887.548158   2936.656261   3512.876135
0.871875   411.239893   2880.898777   3153.068520   3226.221225
0.878125   403.319331   2925.460036   3147.989748   3233.343797
