Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1228.568807   2493.467073   3548.264393   4730.929573
0.034375   1223.684663   2458.163945   3495.042310   4992.651420
0.040625   963.577639   2460.236247   3435.332166   4896.774295
0.046875   438.629118   2012.669221   3034.172062   4177.222081
0.053125   569.095129   2113.518607   3112.823855   4416.679901
0.059375   570.167478   2132.057723   3237.151430   4859.357091
0.065625   668.308819   2165.015270   3270.510068   4709.422376
0.071875   976.572358   2233.292790   3343.578162   4298.880992
0.078125   822.853271   2245.596886   3228.798324   4225.126998
0.084375   514.255904   2056.613983   3233.956000   4324.183632
0.090625   893.606120   2089.460305   3197.903365   4395.943655
0.096875   998.994359   2085.129053   3296.075828   4377.389639
0.103125   1038.502787   2108.213894   3368.744111   4327.110759
0.109375   979.433989   1972.259522   3206.976507   4245.113698
0.115625   1142.444345   2154.068276   3172.308762   4340.628614
0.121875   951.001548   2234.241585   3266.735928   4432.609667
0.128125   829.448386   2454.808646   3452.491139   4952.162008
0.134375   420.774089   1489.799807   3238.220230   3241.947599
0.140625   1008.619970   2161.138853   3235.529238   4185.880657
0.146875   942.420942   2355.640635   3272.302862   4191.844338
0.153125   849.619834   2384.489698   3343.273324   4234.206822
0.159375   939.359297   2281.574575   3262.575488   4304.280860
0.165625   777.073367   2090.299823   3228.420057   4345.366474
0.171875   667.421359   2011.270969   3255.504721   4555.385128
0.178125   200.275203   1879.593622   3241.832945   4136.834317
0.184375   438.797533   1998.394414   3326.341522   4319.832039
0.190625   431.731486   1987.152451   3276.700395   3348.065821
0.196875   687.056073   1951.937242   3092.251126   4159.514282
0.203125   688.583885   1859.904516   3243.847771   4137.433128
0.209375   675.526288   1808.994468   3287.388124   4214.142275
0.215625   1108.447868   2058.508336   3207.391772   4169.121148
0.221875   449.988015   1992.087092   2850.264686   3464.783279
0.228125   490.283931   2131.629499   3354.961518   4160.282709
0.234375   485.025770   1989.989272   3231.855598   3891.817376
0.240625   403.556534   1934.039961   3263.660807   4111.560080
0.246875   462.943484   1932.035167   3255.470644   4257.194791
0.253125   421.064978   1852.942844   3221.699570   4359.540223
0.259375   1844.564559   3221.868367   --undefined--   --undefined--
0.265625   1756.073227   3135.352539   --undefined--   --undefined--
0.271875   1209.088409   1745.322743   3191.552413   4000.776072
0.278125   882.709117   2293.136583   3283.510036   4264.235707
0.284375   650.161098   2227.769927   3229.115234   4298.151383
0.290625   324.724074   2067.147009   3188.632325   4205.236995
0.296875   477.856975   1811.867300   3034.388487   4068.983071
0.303125   575.191949   2006.552560   3119.046715   4131.461930
0.309375   804.898038   2199.852976   3224.154622   4110.636226
0.315625   575.043040   1676.878134   3000.690934   3881.000818
0.321875   587.398569   1725.450969   2963.192498   3840.616795
0.328125   581.326586   2061.241259   3179.250676   3926.165005
0.334375   548.117483   1981.668375   3129.809758   4005.237697
0.340625   501.735341   1969.576885   3038.801315   3998.014118
0.346875   477.605949   1788.237344   2980.252798   3755.277731
0.353125   489.687117   1921.610988   3070.025063   3811.112511
0.359375   417.466933   1959.885439   3055.123462   3884.156964
0.365625   357.134112   1725.321184   2965.615699   4000.912099
0.371875   443.815317   1759.533162   3013.538358   4003.122651
0.378125   1126.455107   2046.393658   3207.070553   4152.376204
0.384375   812.634003   2206.509482   3423.502122   4028.532834
0.390625   357.180589   2027.584872   3097.720592   3911.362082
0.396875   303.353280   2001.724931   3082.634495   4067.444057
0.403125   1847.778225   3139.470391   --undefined--   --undefined--
0.409375   1054.134450   2051.796724   3199.794525   4287.721187
0.415625   742.934377   2149.662519   3260.447051   4366.679771
0.421875   484.158852   2090.612253   3232.895530   4383.701182
0.428125   1029.793655   2181.599320   3303.421298   4257.722890
0.434375   1022.727577   2122.256882   3213.384987   4269.917857
0.440625   808.993499   2031.669339   3198.535911   4234.633585
0.446875   334.639488   1942.199180   3055.805570   4273.525074
0.453125   516.798084   1950.192156   3097.067453   3842.762224
0.459375   375.303537   1935.898051   3140.470262   4172.510901
0.465625   850.867971   2164.004677   3238.132343   4399.390930
0.471875   568.800056   2145.836866   3284.185202   4474.735082
0.478125   560.516400   2081.904898   3129.043532   4208.944791
0.484375   572.488534   1942.278236   2844.602658   3767.510399
0.490625   1645.559488   2865.474701   3512.598383   4880.853553
0.496875   1484.283061   2833.415441   3383.164872   4889.644017
0.503125   1164.424099   2247.123065   3187.319026   4621.493041
0.509375   1080.997686   2163.713070   3128.754166   4190.781974
0.515625   1029.602781   2178.932692   3232.131895   4196.126866
0.521875   305.865866   1562.703072   2812.125884   3652.229046
0.528125   509.295108   1898.664815   3064.026689   4201.172584
0.534375   819.339647   2035.618045   3042.316610   4084.717384
0.540625   1016.979286   2069.660436   3053.086368   4079.108999
0.546875   895.385320   2157.388114   3159.757187   4314.458553
0.553125   767.009113   2081.916209   3271.017072   4396.145183
0.559375   616.982850   1979.653570   3210.947110   4195.725191
