Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   645.121394   1710.659377   2720.443636   3570.380457
0.031250   837.769517   1889.165852   3278.479860   4050.308295
0.037500   1112.881376   1933.865044   3253.648618   4074.859107
0.043750   1299.769025   2198.032094   3331.797410   4148.576196
0.050000   1351.018540   2283.947071   3276.930648   3996.263195
0.056250   1595.485473   2271.356661   3081.143468   3990.213417
0.062500   1637.413437   2200.761432   3175.686150   4147.930782
0.068750   1363.552763   2348.824165   3271.714151   4186.825713
0.075000   1445.072454   2372.580320   3405.064619   4091.950938
0.081250   1403.817596   2335.777707   3387.860612   4031.328069
0.087500   1258.975881   2309.054630   3436.089283   3929.200045
0.093750   1380.380514   2380.591757   3054.267935   3945.013567
0.100000   1189.941146   2324.290415   3054.952246   4047.731563
0.106250   1318.274292   2355.940658   3212.696147   4088.963077
0.112500   1365.434298   2441.071815   3363.547756   4096.334902
0.118750   1455.086690   2288.875912   3287.712005   4173.938821
0.125000   1367.118106   2263.528082   3256.459407   4098.191029
0.131250   1273.206700   2208.284097   3298.864625   4066.306762
0.137500   1224.497093   2212.987765   3248.322735   3884.403483
0.143750   1170.001913   2276.919893   3173.208663   3844.704778
0.150000   1198.041963   2346.525186   3214.944459   3829.326196
0.156250   1236.846025   2171.344126   3093.535094   4031.193765
0.162500   1459.824061   2249.903284   3174.674651   4063.312036
0.168750   1345.304293   2366.853836   3216.483603   4075.570593
0.175000   1416.595492   2187.299310   3134.219947   4123.877522
0.181250   1379.994395   2266.902385   3150.911326   4145.037226
0.187500   1487.029916   2450.952073   3391.313305   3994.472539
0.193750   1654.586807   2581.402339   3563.494230   3758.248781
0.200000   1631.584952   2422.379221   3157.511098   3949.664914
0.206250   1382.897611   2253.980329   3236.713908   4153.936683
0.212500   1425.125715   2347.694124   3283.019978   4104.870726
0.218750   1492.919545   2483.324879   3488.218624   4082.168821
0.225000   1501.321032   2322.980786   3439.849129   4094.887160
0.231250   1326.186044   2263.777640   3255.790346   4157.950138
0.237500   1255.545807   2334.804816   3273.587584   4152.741562
0.243750   1242.309582   2317.770748   3138.340388   4051.082009
0.250000   1219.025252   2211.268502   3160.917720   4144.041729
0.256250   1458.618893   2151.010962   3348.859086   4072.988473
0.262500   1543.078203   2836.056938   3572.235654   3694.528337
0.268750   1521.280849   2704.616370   2927.399497   3949.108454
0.275000   1507.579168   2369.871819   3129.119773   4066.531308
0.281250   1357.341329   2226.275937   3333.114763   4161.017007
0.287500   1346.155818   2315.553567   3235.111318   4135.335253
0.293750   1250.414416   2399.683104   3086.407771   4114.511895
0.300000   1350.083496   2323.833319   3067.360678   3989.092016
0.306250   1555.174021   2342.899774   3240.299339   4003.211550
0.312500   1481.782447   2409.321604   3259.826067   4172.875265
0.318750   1539.514304   2500.753133   3305.938987   4133.026674
0.325000   1500.694159   2373.503798   3306.733472   4129.108670
0.331250   1488.771883   2394.278940   3183.080462   4229.515258
0.337500   1544.687543   2413.014106   2950.403421   4116.893184
0.343750   1555.656229   2216.444643   2969.983689   4026.402900
0.350000   1341.847885   2357.852272   3078.980213   4044.159776
0.356250   1364.985534   2290.378706   3125.091739   4117.802065
0.362500   1430.092793   2657.629781   3136.223515   3991.853060
0.368750   1672.183368   2411.595854   3189.474782   3870.720317
0.375000   1554.554503   2108.490301   3151.859283   4117.749001
0.381250   1430.774658   2276.671455   3185.912908   4139.858344
0.387500   1526.460182   2370.986190   3275.341759   4053.656276
0.393750   1459.128675   2354.791453   3243.965883   4145.581314
0.400000   1404.748807   2390.169084   3286.274874   4178.880930
0.406250   1330.562195   2391.068101   3414.760779   4107.666400
0.412500   1309.879587   2282.936283   3400.396347   4122.207209
