Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1397.861306   2512.372752   --undefined--   --undefined--
0.031250   1089.364606   2093.240265   3355.237069   3788.014973
0.037500   1085.724648   2070.605821   3207.026643   3931.253578
0.043750   1268.124093   2190.998827   3101.151646   4082.316449
0.050000   1493.710252   2260.924327   3146.992873   4071.102246
0.056250   1451.938993   2213.685027   3333.803701   4130.742796
0.062500   1490.240397   2369.178769   3217.878785   4083.444593
0.068750   1417.179338   2417.153585   3087.996273   4068.865524
0.075000   1372.420164   2338.483208   3011.518927   4086.600504
0.081250   1402.098984   2308.663384   3147.195640   4089.995927
0.087500   1405.625768   2269.508941   3248.256451   4176.110296
0.093750   1428.542567   2249.615243   3212.452544   4215.798419
0.100000   1444.812569   2194.281224   3168.186831   4178.380226
0.106250   1448.527417   2166.868130   3153.646096   4224.657025
0.112500   1496.997327   2281.156129   3145.079070   4170.117178
0.118750   1534.195312   2327.645060   3348.151130   3932.570012
0.125000   1380.693675   2266.013076   3421.954859   3999.057604
0.131250   1326.633461   2423.147812   3249.879211   4145.178059
0.137500   1422.433428   2507.752748   3358.189169   4008.205748
0.143750   1472.446252   2471.604864   3317.738352   4085.344607
0.150000   1499.724926   2356.226315   3246.794861   4156.583205
0.156250   1582.137305   2388.634571   3182.076691   4085.326807
0.162500   1624.561348   2791.911684   3211.936506   3787.957098
0.168750   1586.445273   2709.795581   3212.585266   3959.070746
0.175000   1488.473184   2580.918098   3282.393433   4055.884508
0.181250   1473.305675   2647.903189   3014.877625   4034.211040
0.187500   1452.659567   2320.239453   3145.187605   4067.126696
0.193750   1261.061848   2304.042277   3162.451749   4254.524722
0.200000   1377.664941   2445.901011   3094.117490   4238.538433
0.206250   1535.972577   2592.364167   3421.716825   4086.170022
0.212500   1440.829090   2406.693037   3152.947735   4201.657992
0.218750   1442.395081   2370.427636   3307.777007   4175.809217
0.225000   1430.026541   2442.517060   3384.095167   4211.771694
0.231250   1308.588857   2373.888968   3268.364122   4220.955120
0.237500   1372.965148   2385.674115   3261.892224   4267.545853
0.243750   1587.943800   2502.133681   3455.131122   4236.171480
0.250000   1539.675470   2299.941608   3254.483007   4202.652150
0.256250   1399.974069   2332.757008   3332.905555   4164.150233
0.262500   1469.121267   2542.409596   3337.890451   4036.817030
0.268750   1386.629244   2597.354212   3186.876306   4084.174865
0.275000   1237.057148   2469.669880   3276.668209   4036.826569
0.281250   1378.832717   2412.965782   3298.429319   4117.950024
0.287500   1392.248579   2431.502642   3240.487417   4065.420042
0.293750   1512.399019   2357.207026   3087.400035   3999.259485
0.300000   1358.345775   2311.881568   3140.627253   4059.586069
0.306250   1440.899545   2280.739785   3100.252584   4068.865650
0.312500   1483.326205   2432.404279   3022.130800   4062.573717
0.318750   1321.552545   2475.463945   3162.728326   4054.026105
0.325000   1449.868116   2425.369546   3349.334327   3999.147014
0.331250   1429.827996   2448.892202   3184.113115   4031.676229
0.337500   1479.112780   2417.032639   3172.513380   4105.955101
0.343750   1377.867618   2331.854089   3230.975106   4224.863148
0.350000   1332.392578   2333.808204   3264.292611   4272.202086
0.356250   1493.090048   2483.036318   3406.341649   4146.488439
0.362500   1505.396953   2621.570312   3636.064367   3802.218351
0.368750   1547.605442   2417.217867   3288.220047   4105.257395
0.375000   1515.988211   2311.689859   3195.646297   4163.005230
0.381250   1555.432669   2225.693174   3188.198845   4253.316234
0.387500   1551.224147   2153.142515   3171.095044   4158.992557
0.393750   1313.996272   2333.609216   3009.762368   4121.352914
0.400000   1575.178294   2784.156862   2816.697677   4028.584439
0.406250   1554.610797   2349.227851   3177.405617   4152.251165
0.412500   1480.153845   2243.183454   3214.146749   4166.194744
0.418750   1462.674044   2304.987013   3515.822171   3972.937796
0.425000   1464.319754   2357.885608   3226.140887   4044.375339
0.431250   1490.508229   2303.645115   3269.247292   4127.419349
0.437500   1466.894557   2341.167231   3263.882377   4054.279236
0.443750   1484.888574   2420.324989   3344.562806   3936.658254
0.450000   1479.330447   2383.465168   3261.558888   4056.425043
0.456250   1467.452131   2207.175127   3229.791459   4219.844777
0.462500   1597.939369   2101.512725   3202.486956   4163.041011
0.468750   1674.959390   2164.113492   3189.410638   4083.348705
0.475000   1392.190544   2310.609751   3167.671195   4081.940244
0.481250   1364.070471   2221.523136   3247.055186   4102.588777
0.487500   1371.012592   2307.981330   3149.054509   4145.148073
0.493750   1424.582169   2502.669986   3251.517165   4005.823199
0.500000   1508.084219   2546.288288   3557.021559   4049.569410
0.506250   1579.323286   2639.824548   3339.283727   3968.383475
0.512500   1606.957425   2501.760828   2844.541497   4097.384621
0.518750   1491.658661   2334.246515   2992.877820   4086.810484
0.525000   670.810173   1660.097602   2704.419916   3763.557129
0.531250   603.766959   1597.665209   2662.780277   3580.077409
0.537500   503.464409   1560.229505   2574.016878   3385.234646
0.543750   375.322947   1645.771571   2404.021190   3331.971973
0.550000   1541.564393   2347.374806   3296.856403   4414.474832
0.556250   1507.746649   2328.044504   3309.925768   4383.523312
0.562500   141.146525   1586.069444   2335.592467   3380.595651
0.568750   348.866789   1538.358154   2371.179862   3442.648939
0.575000   393.518660   1569.533131   2340.360567   3439.431698
0.581250   440.087863   1566.958172   2261.804839   3367.105319
0.587500   250.091653   1508.090256   2372.145506   3319.297152
0.593750   286.461873   494.239925   2290.314166   3237.722372
0.600000   433.853734   1136.491531   2344.228922   3281.690394
0.606250   360.284604   1415.970966   2406.934478   3437.262238
0.612500   451.952332   1301.607036   2400.687740   3448.872098
0.618750   1027.430528   2321.165385   3318.655035   4362.265059
0.625000   1102.914892   2286.745631   3131.128483   4316.924819
0.631250   446.478817   1783.678754   2847.354890   3750.304560
0.637500   547.718149   1984.469850   2796.750385   3824.605024
0.643750   843.570379   2084.130337   2912.062226   3797.677137
0.650000   984.514426   2150.512567   3302.002064   4394.618090
0.656250   843.876473   2056.628236   --undefined--   --undefined--
0.662500   774.572888   1998.184500   3215.988675   4012.811726
0.668750   359.180671   1184.406184   2279.977287   3371.944589
0.675000   391.825937   1271.191556   2330.749677   3407.898977
0.681250   415.631200   1052.163904   1938.265787   3296.058030
0.687500   612.805373   1916.819681   3204.444224   4351.325563
0.693750   429.372397   1265.328168   3016.969582   3583.134633
0.700000   415.826839   1247.237830   3040.568969   3957.806849
0.706250   1005.840028   2281.201847   3342.697717   4633.112470
0.712500   652.371969   1225.078294   2452.945297   3454.065187
