Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   856.173500   1858.624901   2762.110014   3889.270225
0.031250   1076.457284   1657.670170   2788.435755   3764.876262
0.037500   1214.999836   1891.559957   3055.507353   3830.357667
0.043750   1339.915533   2041.578375   3206.772611   4023.418274
0.050000   1391.256653   2206.624569   3231.335259   4083.348304
0.056250   1450.955210   2437.864944   3165.294052   4346.190840
0.062500   1516.754009   2637.136275   3196.401968   4432.731778
0.068750   1585.028050   2785.763796   3167.743973   4003.895004
0.075000   1426.772756   2454.007833   3072.105678   4071.347086
0.081250   910.321317   2014.658594   2907.319012   3917.944398
0.087500   872.736406   2050.893280   2937.143799   3871.810161
0.093750   884.071784   2055.101697   2934.216647   3863.297106
0.100000   882.391042   2068.544385   2858.677062   3811.748637
0.106250   517.007086   2155.384640   2520.691241   3759.109970
0.112500   363.778582   1436.326275   2422.698067   3422.990311
0.118750   372.534670   1365.688709   2238.950589   3445.330282
0.125000   218.056972   1491.304313   2342.491184   3647.874351
0.131250   1352.608584   2263.256330   3584.838175   4608.073601
0.137500   1094.324520   2171.715804   3333.356320   4564.804231
0.143750   1356.755836   1888.193202   3227.083129   4699.518215
0.150000   1315.641434   2225.730220   3343.243758   4606.874247
0.156250   1131.815890   2072.527341   3125.952637   4002.445179
0.162500   1768.112502   2743.286495   3942.570047   4465.606294
0.168750   355.100750   1637.134999   2471.377092   3568.776646
0.175000   611.233550   1625.843698   2523.485401   3564.949217
0.181250   409.942517   1766.222058   2577.105064   3581.278690
0.187500   381.736971   1737.439152   2722.711346   3557.737578
0.193750   349.022743   1697.348869   2522.129091   3472.909456
0.200000   1552.893090   2460.411690   3601.368632   4407.557187
0.206250   1497.067048   2288.226594   3403.542800   4467.358615
0.212500   1242.397198   2185.601131   3326.571195   4490.793186
0.218750   327.443760   1498.197687   2373.861259   3437.769345
0.225000   705.241397   1563.378720   2528.964831   3531.344258
0.231250   671.194540   1480.110496   2643.150722   3689.365535
0.237500   1398.894941   2235.079339   2688.241821   3855.293275
0.243750   1560.426738   1588.753780   2594.636357   3789.923709
0.250000   658.017573   1349.426816   2430.422077   3340.238895
0.256250   1449.326997   2560.080406   3656.553460   4452.746743
0.262500   1402.773787   2146.840335   2770.415180   4178.359608
0.268750   1103.687335   1703.413684   2660.892532   4203.705787
0.275000   985.279644   1922.604373   2778.819916   4162.620334
0.281250   1174.266800   2327.092595   3277.091917   4416.525013
0.287500   800.708904   1296.598973   2398.044866   3401.303209
0.293750   1180.866848   2013.609847   3027.205270   4161.668383
0.300000   1073.777401   1938.980659   3023.854261   4000.187002
0.306250   802.548018   2003.455977   2845.928680   4035.396345
0.312500   1009.350992   2512.929619   2647.994792   4111.659748
0.318750   1099.669620   2271.753862   2569.723789   4155.525641
0.325000   1052.203431   2126.495349   2640.748755   4034.339463
0.331250   999.598897   1907.874698   2748.554295   3987.388994
0.337500   880.409528   2054.062186   2932.460939   4060.982811
0.343750   1238.655519   2232.017366   3155.763000   4321.670656
0.350000   1117.649597   1672.166368   2617.405198   3557.803163
0.356250   923.944015   1790.395717   2620.350749   3942.382329
0.362500   886.229663   1812.673798   2621.509472   3953.473405
0.368750   820.951548   1719.854237   2571.791429   3914.306240
0.375000   779.493866   1669.627414   2641.171110   3816.384756
0.381250   1139.626320   1479.210982   2278.098160   3753.806609
0.387500   794.953528   1739.166033   2468.229997   3727.463680
0.393750   617.312662   1743.249690   2662.690225   3909.424751
0.400000   587.020276   1631.955998   2546.857027   3919.415786
0.406250   914.874643   1443.236567   2578.892582   3893.771574
0.412500   944.047911   1553.290662   2581.829719   3607.739729
0.418750   814.529479   1566.022739   2715.091605   3784.998610
0.425000   925.512157   1712.513661   2702.378164   3966.918445
