Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1458.783572   2448.602701   --undefined--   --undefined--
0.031250   1256.835523   2381.635297   3302.695792   4869.401095
0.037500   1425.857305   2457.436882   --undefined--   --undefined--
0.043750   863.752954   1711.990500   2864.672404   3829.176953
0.050000   954.059357   1780.357505   2901.406329   4004.428169
0.056250   1143.494418   2324.985667   3081.818153   4020.286909
0.062500   1250.583979   2348.179177   3241.565937   4109.534668
0.068750   1353.167715   2253.946976   3287.858750   4169.276255
0.075000   1053.432474   1977.189864   3174.554938   3911.988461
0.081250   1233.528323   2332.655771   3262.556089   4188.082378
0.087500   1307.352927   2256.898582   3176.956954   4126.191581
0.093750   1272.203913   2151.353326   3279.070815   4116.303895
0.100000   1261.033793   2089.289106   3363.224139   4211.072562
0.106250   1295.300130   2198.667096   3232.780417   4186.010411
0.112500   1316.800042   2350.705169   3280.813330   4119.163977
0.118750   946.412649   2147.431266   3182.695070   4032.558194
0.125000   856.831541   2158.552749   2820.057828   3775.912932
0.131250   861.255042   1918.973536   2686.854523   3631.693333
0.137500   1121.786688   1850.502520   2544.720221   3808.237957
0.143750   1350.701453   2530.936407   2785.933752   4076.036903
0.150000   1457.874788   2485.679648   3273.889934   4041.725231
0.156250   1558.930999   2401.146978   2931.255266   3921.132390
0.162500   1431.106086   1638.977440   2782.397185   3979.360642
0.168750   876.399926   1849.853388   2751.648497   3679.221967
0.175000   825.122912   1800.976889   2623.076179   3680.458101
0.181250   1027.664246   1628.511277   2756.929359   3734.433183
0.187500   1063.416397   1832.246472   2701.293660   3830.928214
0.193750   994.803676   1589.384650   2673.365687   3907.762653
0.200000   807.948882   1891.591405   2804.267136   3793.118945
0.206250   867.497370   1921.827837   2966.092476   3838.021779
0.212500   1187.742353   2009.832781   3327.327816   4143.002576
0.218750   1147.240242   1685.326849   3318.827339   3328.515347
0.225000   869.290943   1792.330797   3037.592682   3806.542776
0.231250   945.482900   1938.739047   3239.774511   4013.210417
0.237500   861.570914   1850.544405   2894.747925   3727.883604
0.243750   929.413986   1956.559243   3051.654650   3610.978880
0.250000   974.926880   1985.571936   3068.553595   3360.951173
0.256250   750.382407   1694.786528   2722.021623   3572.768513
0.262500   715.579391   1357.502267   2606.717991   3726.296430
0.268750   1232.542625   1995.538920   2657.795546   3916.438688
0.275000   1187.865068   2319.231767   3036.749353   4432.436049
0.281250   1022.705269   2149.968682   3053.489084   4366.326588
0.287500   970.309756   2209.755997   2925.369543   3984.222727
0.293750   772.671537   2146.399727   2770.980434   3918.611333
0.300000   603.930405   2026.387043   2781.212201   3765.786304
0.306250   1079.871366   2518.257924   3058.474060   4469.715841
0.312500   911.579653   2191.629223   2988.655128   3794.767861
0.318750   515.358345   1543.784874   2310.266380   3357.696260
0.325000   332.415150   1159.084599   2497.702068   3388.830356
0.331250   547.602876   1032.800514   2398.724896   3383.121893
0.337500   769.018659   1199.901531   2414.088688   3277.077869
0.343750   787.727192   2090.002839   2793.016926   3904.872111
0.350000   883.382295   1970.130275   2843.958016   3741.745118
0.356250   599.315409   1624.503136   3071.142004   3277.676980
0.362500   785.605793   1936.834043   3202.614799   4431.134537
0.368750   702.939164   1644.522577   2013.138865   3374.624866
0.375000   554.429929   1308.351849   2279.375394   3319.906978
0.381250   456.581387   1255.246130   2486.041811   3592.365523
0.387500   607.439788   1973.806239   2684.340618   3836.406045
0.393750   558.648266   1207.107382   2278.905298   3514.732949
