Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1100.297123   2427.904471   --undefined--   --undefined--
0.031250   415.482342   1550.046639   2737.438077   3515.809842
0.037500   396.024719   1613.652533   2630.481582   3512.607449
0.043750   1523.457597   2305.582935   --undefined--   --undefined--
0.050000   352.980443   1799.090169   2770.904480   3661.245967
0.056250   209.555039   1804.574763   2944.336942   3565.548474
0.062500   585.978038   1943.740376   2769.167379   3490.890868
0.068750   1263.212188   2262.004653   --undefined--   --undefined--
0.075000   1006.191346   2220.539101   --undefined--   --undefined--
0.081250   1109.354417   2310.192104   3254.118874   4736.212937
0.087500   1489.813661   2436.282808   --undefined--   --undefined--
0.093750   684.846877   1705.897608   2763.652541   3761.113320
0.100000   570.786455   1565.029216   2816.341334   3786.364907
0.106250   1524.844642   2557.324365   --undefined--   --undefined--
0.112500   1699.583247   2457.380703   --undefined--   --undefined--
0.118750   649.837385   1868.601821   2401.630973   3679.938399
0.125000   800.128944   2212.536195   2978.791634   3463.283635
0.131250   844.415904   1843.200784   2858.021327   3655.946705
0.137500   1677.432373   2471.260325   --undefined--   --undefined--
0.143750   1472.909608   2361.052683   --undefined--   --undefined--
0.150000   1504.756393   2510.850005   --undefined--   --undefined--
0.156250   1637.920922   2662.460178   --undefined--   --undefined--
0.162500   1677.083081   2657.407839   --undefined--   --undefined--
0.168750   1619.781924   2390.153042   3542.959018   4569.571029
0.175000   1291.605471   2137.217234   3399.839964   4713.256353
0.181250   1374.572079   2424.132493   --undefined--   --undefined--
0.187500   1533.116572   2623.089150   --undefined--   --undefined--
0.193750   1609.069634   2603.000376   --undefined--   --undefined--
0.200000   1656.041603   2509.068312   --undefined--   --undefined--
0.206250   1625.395156   2581.134498   --undefined--   --undefined--
0.212500   1530.166439   2538.041776   --undefined--   --undefined--
0.218750   1549.645681   2600.042510   --undefined--   --undefined--
0.225000   553.946089   1849.697303   2596.386610   3632.023888
0.231250   636.868519   1857.755374   2645.468677   3510.635442
0.237500   1509.641657   2506.140816   --undefined--   --undefined--
0.243750   1557.931047   2606.658993   --undefined--   --undefined--
0.250000   1615.373459   2558.155036   --undefined--   --undefined--
0.256250   1651.540234   2516.302003   --undefined--   --undefined--
0.262500   1690.893047   2411.129096   --undefined--   --undefined--
0.268750   1413.339722   2257.163102   --undefined--   --undefined--
0.275000   1246.762737   2221.527147   --undefined--   --undefined--
0.281250   1520.739428   2555.041331   --undefined--   --undefined--
0.287500   1522.951223   2462.823003   --undefined--   --undefined--
0.293750   1649.799988   2155.644047   --undefined--   --undefined--
0.300000   1875.201273   2475.520431   --undefined--   --undefined--
0.306250   1540.811014   2365.113329   --undefined--   --undefined--
0.312500   1284.544246   2381.370174   --undefined--   --undefined--
0.318750   1415.154059   2326.696280   --undefined--   --undefined--
0.325000   1042.560303   2148.282988   3042.403874   4113.259472
0.331250   1012.650910   2137.109268   3074.915876   4179.919372
0.337500   1002.270476   2109.965724   3129.106847   4353.669638
0.343750   1085.232879   1941.229473   3126.951553   4151.321621
0.350000   1262.646042   2073.810874   3280.004455   4271.585043
0.356250   1114.149715   1713.847593   2298.047927   3327.735437
0.362500   1052.555942   1820.956009   2415.401255   3683.650428
0.368750   979.803940   1803.422522   2601.868209   3854.602450
0.375000   870.675190   1554.205381   2551.875668   3808.391885
0.381250   803.562768   1491.502203   2537.571339   3743.117118
0.387500   869.806326   1449.889613   2542.296619   3666.668426
0.393750   963.612965   1348.593106   2538.494787   3554.583703
0.400000   1049.921631   1974.414550   2844.905797   3875.158715
0.406250   975.730828   1898.474782   2860.901004   3904.610967
0.412500   903.543332   1806.603175   2893.600944   4041.246163
0.418750   756.097416   1750.565667   2887.389248   3995.135091
0.425000   818.588034   1861.896922   3150.302544   4023.847906
0.431250   1005.352778   1952.820683   3036.761561   3941.750660
0.437500   935.664627   1527.962471   2902.380929   3845.423018
0.443750   886.936188   1476.061619   2784.618702   3604.403588
0.450000   648.382831   1415.768897   2586.966350   3417.611765
0.456250   1296.582272   2264.895520   3139.323662   4302.873710
0.462500   1018.937903   1520.966810   2144.493807   3231.620529
0.468750   1193.463950   2151.335267   3259.189830   4542.931302
0.475000   753.696044   1559.510761   2859.444864   3577.433263
0.481250   909.830289   1834.208800   2972.898441   4127.288324
0.487500   1074.826622   1939.851369   3009.571664   4114.668895
0.493750   1113.457030   1941.868148   2895.281020   4047.819169
0.500000   1057.233434   1642.350928   2865.915316   3867.159910
0.506250   1115.045527   1938.460566   3102.830791   4013.114565
0.512500   1095.855359   1640.482260   2962.037206   4127.026635
