Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   850.050435   1549.268960   2278.770106   3329.380369
0.031250   675.703922   1559.705645   2265.995364   3394.822624
0.037500   689.679118   1558.980752   2214.293318   3374.308328
0.043750   659.747775   1509.561349   2184.789918   3304.043292
0.050000   657.531062   1322.340231   2198.797775   3257.623344
0.056250   773.013359   1508.144345   2230.968712   3363.575874
0.062500   730.467789   1469.310506   2196.482148   3485.165714
0.068750   633.093569   1399.218094   2261.846979   3464.356026
0.075000   370.706159   1299.100739   2209.663532   3087.296429
0.081250   214.038003   1383.049321   2145.609524   3157.838827
0.087500   1185.029833   1949.890494   3014.956342   4356.718314
0.093750   1097.231731   1924.648068   2956.365882   4146.961966
0.100000   1009.557585   2142.475189   3222.778336   4377.821458
0.106250   705.883888   1514.205720   2146.829662   3297.435276
0.112500   1028.347340   2163.339938   2737.565554   3964.731395
0.118750   628.240392   1229.719176   2233.714551   3357.263054
0.125000   702.110058   1340.236713   2320.903442   3491.834517
0.131250   234.370065   1133.714577   2258.933297   3574.021873
0.137500   961.135128   2248.960893   --undefined--   --undefined--
0.143750   909.054191   2264.072026   3184.796969   3433.947061
0.150000   910.701383   2140.251097   3098.033199   3433.202481
0.156250   970.034774   2072.196425   3116.022124   3349.512774
0.162500   236.023367   1118.087085   2244.202277   3374.098437
0.168750   374.239615   911.182782   2280.361647   3442.011253
0.175000   904.404164   1999.547282   2672.477175   3811.828712
0.181250   945.172219   1980.784384   2893.489937   3724.850146
0.187500   985.338876   1743.020703   2734.953299   3672.863235
0.193750   1378.945556   2301.393264   --undefined--   --undefined--
0.200000   509.104222   1388.601238   2387.975674   3335.656986
0.206250   473.105379   1392.973564   2532.449116   3557.444030
0.212500   355.818080   1215.119824   2523.744213   3541.559319
0.218750   770.279817   1972.143017   2768.238653   3901.161066
0.225000   442.829688   1390.180362   2509.974077   3535.370718
0.231250   413.691623   1338.587563   2693.995191   3945.002012
0.237500   454.731077   1506.866025   2701.735725   3985.823208
0.243750   1153.381144   2242.558506   2645.566150   3969.242540
0.250000   363.661778   1331.668354   2403.173429   3236.044533
0.256250   404.021344   1309.721796   2404.997094   3220.741564
0.262500   456.605193   1379.983017   2606.368107   3312.052416
0.268750   247.567426   1422.300440   2620.736055   3280.740575
0.275000   1453.533770   2719.506494   3277.694013   4139.271600
0.281250   1415.854371   2711.077569   3252.058231   4124.051529
0.287500   1350.330838   2697.676404   3280.545827   4164.361057
0.293750   229.657011   1298.012589   2705.176927   3426.231519
0.300000   648.450912   1489.300980   2658.912535   3447.521459
0.306250   747.474387   1483.067341   2657.537348   3360.412498
0.312500   720.351611   1448.376369   2612.963628   3446.223587
0.318750   597.080623   1441.022290   2556.463754   3505.046308
0.325000   605.392306   1363.577219   2610.405681   3516.445598
0.331250   1278.836617   2534.147623   3460.175184   4006.584432
0.337500   1298.882765   2031.378014   3542.801583   4009.851475
0.343750   1130.995054   1930.218330   3554.920432   4019.820830
0.350000   1309.272769   2091.812692   3583.580446   4610.620743
0.356250   1131.249556   2267.995783   3619.541507   4245.977436
0.362500   1113.364071   2307.471691   3689.972619   4248.597049
0.368750   1037.531175   2124.234094   3368.713109   3659.637736
0.375000   976.562261   2087.233656   3233.844513   3688.908887
0.381250   1088.799133   2025.110271   3120.015874   3674.342257
0.387500   1215.045591   2364.336165   2406.858862   3637.577402
0.393750   956.433943   2013.581011   2268.101609   3617.384544
0.400000   976.359552   2183.435254   2458.582049   3601.825143
0.406250   1156.002617   2192.653319   3466.739669   4533.464816
0.412500   872.945138   2132.224338   3312.646650   4546.486751
0.418750   826.637713   2078.003210   3284.582293   4549.280666
0.425000   1060.297325   2050.251706   3353.942937   4598.842599
0.431250   1036.584591   2111.675210   3299.703856   4481.004294
0.437500   986.841309   2136.535191   3300.710763   4534.528307
0.443750   901.464461   2103.849092   3031.153137   4293.239084
0.450000   950.611916   2071.551700   3032.960724   4327.552618
0.456250   1051.866041   2124.434203   3073.363999   4352.667247
0.462500   1088.612065   2036.682397   2790.447574   3896.595087
0.468750   753.004025   1071.308004   2687.861478   4016.871134
0.475000   838.392889   2228.994151   3343.496845   3515.445459
0.481250   952.104165   2144.517394   3325.993589   4799.906696
0.487500   996.038619   1788.248426   2898.666437   3983.785959
0.493750   1058.523260   1804.003998   2952.107335   3790.226264
0.500000   911.782033   1978.087495   2965.235906   3827.411517
0.506250   967.083815   1995.916104   2924.699195   3859.535956
0.512500   1185.580505   1384.974868   2801.536939   3725.839913
0.518750   1187.052848   1561.262631   2701.012084   3609.057347
0.525000   1057.359738   1826.824396   2809.947923   3689.501333
0.531250   1219.301508   1905.571594   2942.581951   4217.151162
0.537500   1152.567551   1684.846411   2960.374584   3913.287013
0.543750   1184.652413   1537.216959   2889.414501   3902.219567
0.550000   1135.824066   1749.955467   2908.695927   3853.958417
0.556250   1144.855924   1741.824861   2886.527697   3675.099998
0.562500   1136.489425   1763.135496   2887.467655   3657.702528
0.568750   1168.456400   1466.765038   2857.655607   3634.804846
0.575000   1203.075367   2271.452433   2693.229348   3543.924849
0.581250   1161.965799   2393.325096   2578.922007   3508.338430
0.587500   1214.516551   1263.166356   2578.499301   3543.543896
0.593750   1324.130671   1368.363718   2642.171639   3729.963978
0.600000   1305.599804   2446.258261   --undefined--   --undefined--
0.606250   1017.524710   2078.474526   2399.000676   3534.448775
0.612500   688.339798   2117.282431   2840.757217   3489.717119
0.618750   776.479849   1903.002008   2747.887418   3691.654489
0.625000   860.142604   1931.188446   2743.548995   3808.996170
0.631250   1223.690025   2261.561437   --undefined--   --undefined--
0.637500   772.506072   1761.602896   2457.086783   3583.751599
0.643750   800.570213   1921.913899   2674.823292   3676.555673
0.650000   560.048102   1869.883149   2660.720077   3730.466102
0.656250   424.505862   1741.288500   2700.884230   3720.959165
0.662500   355.976488   1756.570113   2656.955084   3631.269100
0.668750   592.048172   1962.436680   2686.675138   3513.191374
0.675000   388.353675   1844.039681   2768.165002   3537.670559
0.681250   314.014016   1781.176924   2587.241339   3614.395040
0.687500   369.539702   1611.865863   2451.676298   3554.642161
0.693750   363.932529   1652.827558   2451.006460   3514.338240
0.700000   386.799907   1752.860982   2505.181306   3554.268869
0.706250   420.003609   1915.440786   2555.784097   3564.958191
0.712500   385.273509   1880.964761   2584.122143   3544.850815
0.718750   357.737406   1783.303017   2540.924473   3488.790090
0.725000   373.679033   1820.443171   2550.202331   3500.142283
0.731250   390.884302   1919.138356   2541.881226   3456.125951
0.737500   384.779874   1949.417564   2537.230202   3473.293770
0.743750   392.684048   2026.623230   2643.042739   3524.525163
0.750000   400.941793   2057.416694   2743.914321   3530.888676
0.756250   412.991971   2104.244112   2790.763171   3531.088182
0.762500   416.727129   2126.650252   2773.895197   3606.288948
0.768750   418.710761   2160.739956   2863.103154   3576.745930
0.775000   420.654157   2195.938848   2926.378165   3610.565993
0.781250   427.410547   2180.909014   2736.183703   3620.987435
0.787500   431.733111   2127.949709   2658.452139   3567.350182
0.793750   440.508528   2102.494979   2612.998294   3514.058390
0.800000   439.337120   2089.373516   2601.476341   3507.053348
0.806250   427.245723   2056.214997   2610.820126   3696.652764
0.812500   419.352823   2031.048913   2622.290255   4317.425502
0.818750   414.044852   2006.603488   2590.792475   4283.896671
0.825000   402.728082   1903.754948   2562.115794   4389.817088
0.831250   406.549727   1960.232223   2608.065344   4400.437582
0.837500   618.164765   2230.578901   3338.391335   4477.970837
0.843750   724.704277   2255.543228   2577.580158   4253.069474
0.850000   646.672558   2166.425958   2941.621270   4183.717736
0.856250   624.447955   2093.108117   3615.279368   4124.024532
0.862500   1202.542384   2125.564268   4055.082760   4513.042863
0.868750   1148.554342   2154.634248   4037.478196   4421.964502
0.875000   1098.569671   2113.202790   4177.951160   4442.044064
0.881250   637.514444   1820.256795   2473.005847   4191.613305
0.887500   558.608168   1387.540527   2966.683445   3919.617073
0.893750   1145.876060   2609.240736   3916.828526   4395.185791
0.900000   431.641323   1291.496499   2520.420975   3967.501583
0.906250   435.182351   1296.335350   2483.730057   3957.906836
0.912500   804.599934   1165.641562   2274.915422   3957.383821
0.918750   678.872460   1346.432603   2207.264128   3966.697726
0.925000   810.566402   940.888016   2092.295514   4074.285386
0.931250   894.525384   1078.298779   2152.792870   4001.611110
0.937500   600.559626   1254.951250   2424.220798   4093.395988
0.943750   561.486066   1156.601350   2376.440733   3655.672998
0.950000   531.281709   1065.587838   2397.039350   3463.284087
0.956250   574.517147   979.677968   2386.877891   3422.957170
0.962500   608.053777   868.606346   2380.265737   3386.973954
0.968750   628.673369   831.713539   2343.770963   3341.231700
0.975000   611.809716   932.804889   2287.730737   3221.503709
0.981250   610.313338   943.695605   2277.084639   3187.444636
0.987500   611.908930   946.375517   2321.716587   3192.135213
0.993750   620.405489   967.155987   2402.485137   3207.225799
1.000000   622.192448   981.377122   2463.765593   3230.775516
1.006250   623.957969   996.297273   2453.128020   3231.995684
1.012500   626.604978   1020.790413   2449.663960   3219.364899
1.018750   625.686572   1062.347411   2434.005645   3211.315434
1.025000   622.624179   1102.688898   2408.979319   3199.369739
1.031250   626.061692   1164.681566   2408.515606   3239.474025
1.037500   628.881659   1189.412997   2433.405479   3273.024620
1.043750   596.216593   1174.016228   2457.860979   3329.844268
1.050000   543.360840   1173.027883   2438.128983   3287.200086
1.056250   528.798374   1147.313893   2412.703494   3278.295033
1.062500   535.350921   1065.074133   2429.134761   3316.314965
1.068750   524.473633   1145.627192   2431.816637   3380.324808
1.075000   540.673260   1222.966931   2425.312288   3589.318953
1.081250   710.772819   934.557486   2467.731396   3623.578964
1.087500   787.350720   2403.767860   3226.219701   4542.349238
1.093750   740.821037   2673.770806   4140.810625   4555.708375
1.100000   773.231814   2611.859827   3972.660956   4549.772515
1.106250   692.718744   2472.393402   3577.228054   4461.866448
1.112500   566.909343   2249.781317   3687.306054   4550.309737
1.118750   678.437034   1945.464425   3551.698966   4366.396528
1.125000   698.944242   1834.749370   3423.516310   4257.166702
1.131250   451.359706   2211.180706   3323.874198   4194.694012
1.137500   1098.145755   2915.296328   3890.612056   4533.154824
1.143750   1106.858646   2992.561736   3893.246261   4475.345061
1.150000   607.070330   1688.493242   3098.034819   3913.263580
1.156250   569.698502   1997.158481   3128.775413   4021.251087
1.162500   914.528472   2081.819130   3115.733593   4156.076868
1.168750   925.413769   2168.411897   3342.169248   4067.154127
1.175000   637.345288   2143.081376   3289.036045   4027.006263
