Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   577.431402   1704.391062   2369.184179   3646.484761
0.031250   541.532078   1602.724751   2356.444063   3361.538342
0.037500   588.354704   1735.043454   2287.171429   3337.890371
0.043750   572.576508   1643.657267   2346.617229   3459.603135
0.050000   613.687813   1547.253232   2482.035839   3473.205915
0.056250   644.016077   1886.281180   3125.696192   3175.726604
0.062500   701.231690   1765.475441   2882.131784   3692.334002
0.068750   695.734959   1580.179831   2757.134671   3775.641311
0.075000   626.314327   1739.967530   2456.202818   3427.771303
0.081250   595.561787   1593.685969   2559.588463   3361.794663
0.087500   595.472287   1536.750811   2492.387533   3370.977042
0.093750   662.813650   1700.727757   2347.794221   3367.805356
0.100000   658.062789   1933.002313   2936.199207   4013.672211
0.106250   624.076779   1923.834066   2864.808342   4056.733373
0.112500   833.904389   1051.326989   2277.889115   3113.301952
0.118750   686.955108   1773.925326   2743.823659   3553.496556
0.125000   528.519370   1890.481624   2873.884515   3903.295992
0.131250   611.631878   1722.415910   2550.184691   3463.376242
0.137500   600.149736   1876.302120   2744.058845   3421.438254
0.143750   620.578318   2109.062948   2925.770833   4363.346967
0.150000   670.692619   2140.049975   2958.021371   4105.018422
0.156250   840.249037   2181.443497   3249.442634   3789.300686
0.162500   1050.420116   2333.386230   2995.329550   4074.636991
0.168750   844.856499   2381.314071   2598.653083   3910.275666
0.175000   716.789362   1827.453536   2591.958969   3889.724591
0.181250   686.907509   1758.420470   2562.085765   3842.660233
0.187500   671.586472   2002.768162   3029.131081   4561.830043
0.193750   919.266776   2219.611335   3392.654293   4436.701800
0.200000   721.719252   1467.581839   2432.886004   3425.325706
0.206250   754.670345   1486.819879   2459.376764   3428.326263
0.212500   595.356068   1820.284585   2289.603317   3475.244457
0.218750   622.913357   1664.726717   2302.009697   3329.654014
0.225000   464.863837   1597.856609   2431.798482   3201.832094
0.231250   538.166289   1371.279332   2655.349463   3532.702469
0.237500   601.548936   1119.087990   2505.229140   3564.830362
0.243750   643.225483   1541.142654   2504.897246   3622.992569
