Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   438.242212   1532.212937   2474.282668   3729.907513
0.034375   1196.158896   2292.501170   3416.038525   4562.686468
0.040625   1290.108292   2166.059446   3418.569530   4410.217586
0.046875   1454.754073   2137.779901   3488.687200   4513.470673
0.053125   1507.424528   2071.962080   3184.903135   4625.127058
0.059375   1568.967826   2165.698006   3255.516368   4727.340379
0.065625   1621.581712   2293.804317   --undefined--   --undefined--
0.071875   1582.731014   2168.344942   --undefined--   --undefined--
0.078125   1527.792317   2226.149927   --undefined--   --undefined--
0.084375   1537.502316   2728.527561   --undefined--   --undefined--
0.090625   1558.325199   2927.808926   --undefined--   --undefined--
0.096875   1590.474109   2764.048252   --undefined--   --undefined--
0.103125   1592.564567   2762.168693   --undefined--   --undefined--
0.109375   1588.116936   2943.643208   --undefined--   --undefined--
0.115625   1561.724735   2842.231466   --undefined--   --undefined--
0.121875   1592.305864   2810.016716   --undefined--   --undefined--
0.128125   1756.249780   3017.961563   --undefined--   --undefined--
0.134375   1727.601279   2894.714922   --undefined--   --undefined--
0.140625   1766.204894   2833.603857   --undefined--   --undefined--
0.146875   1635.821691   2666.559739   --undefined--   --undefined--
0.153125   1708.628064   2774.093338   --undefined--   --undefined--
0.159375   1759.877176   2968.830084   --undefined--   --undefined--
0.165625   1824.948693   3120.044836   --undefined--   --undefined--
0.171875   1887.226937   3116.508702   --undefined--   --undefined--
0.178125   2198.211204   2390.327995   --undefined--   --undefined--
0.184375   769.585399   2250.597726   --undefined--   --undefined--
0.190625   736.078915   2273.892870   3754.518894   5004.434665
0.196875   826.068750   2258.111226   3750.732370   5006.731893
0.203125   874.354494   2254.582512   3746.753101   5066.651608
0.209375   756.295296   2281.300605   3755.646528   4773.133020
0.215625   671.139193   2282.523036   3752.917105   4504.697414
0.221875   647.688973   2281.713869   3759.358301   4485.839997
0.228125   626.217827   2335.360050   2835.086689   3898.321215
0.234375   627.596301   2403.838018   2705.520898   3853.107125
0.240625   580.803905   2403.469165   3639.825545   4295.567620
0.246875   2412.493360   3569.652936   --undefined--   --undefined--
0.253125   2454.877007   3592.008837   --undefined--   --undefined--
0.259375   2621.497745   3536.026416   --undefined--   --undefined--
0.265625   2254.817048   3493.465288   --undefined--   --undefined--
0.271875   2103.168126   3375.682192   --undefined--   --undefined--
0.278125   2087.558361   3402.252047   --undefined--   --undefined--
0.284375   2143.227704   3500.146803   --undefined--   --undefined--
0.290625   113.629265   2174.474645   3565.096493   3993.369409
0.296875   197.047137   2163.664498   3637.547228   4039.382304
0.303125   333.629649   2170.099700   3596.076767   4012.527928
0.309375   573.803178   2156.908253   3562.742525   3920.623654
0.315625   1233.318366   2086.645917   3565.259330   3695.561380
0.321875   1180.291254   2086.773989   3517.523987   3758.234591
0.328125   993.768991   2082.383639   3499.242066   3802.702806
0.334375   1399.415077   2101.659177   3485.141780   3846.099147
0.340625   1872.667727   2123.843670   3472.806988   3875.015868
0.346875   1866.636508   2240.187359   3402.106689   3873.832989
0.353125   1899.216020   2191.124552   3403.501936   3865.421415
0.359375   1905.523532   2038.424113   3335.802766   3825.006626
0.365625   1858.656865   2134.219369   3353.557621   3863.508978
0.371875   1673.379517   2036.057090   3379.119682   3934.622134
0.378125   1374.197232   1992.728968   3419.767129   3881.380658
0.384375   1324.734413   1841.412983   3307.213171   3780.434033
0.390625   1776.695977   2363.861717   3350.374140   3825.454182
0.396875   1791.417297   2269.019495   3387.187548   3821.033985
0.403125   1812.733771   2160.025417   3440.938632   3873.924984
0.409375   1758.914199   1977.315257   3456.287166   3909.515331
0.415625   1376.609627   1935.847975   3363.866588   3830.774693
0.421875   1328.452038   2009.189001   3230.832095   3838.938868
0.428125   1708.335288   1983.460382   3202.592308   3895.035056
0.434375   1738.050400   2359.176180   3247.426156   3879.096827
0.440625   1727.628874   2114.144691   3197.627236   3939.559580
0.446875   1762.461865   2207.802593   3137.092907   3918.522339
0.453125   1799.575236   2404.869125   3228.049981   3920.899728
0.459375   1792.016566   2474.862787   3346.590529   3930.539139
0.465625   1925.385727   2331.866123   3404.629955   3815.522320
0.471875   1295.829009   2015.545772   3300.793172   3730.815720
0.478125   1100.859321   2049.815673   3262.894146   3745.112038
0.484375   1061.190838   1960.191850   3249.324885   3823.423102
0.490625   1187.874727   2026.833167   3291.358067   3911.695078
0.496875   1184.445263   2026.427602   3379.607457   3795.232146
0.503125   1076.137671   2010.395006   3347.923968   3629.438889
0.509375   1074.664792   1983.756081   3328.394380   3683.910188
0.515625   1127.210281   1999.154587   3332.918411   3626.244297
0.521875   1243.623281   2049.174674   3325.759977   3828.335427
0.528125   964.055129   2000.751457   3345.466243   3925.815970
0.534375   862.560712   1948.558133   3178.117709   3783.436661
0.540625   886.701823   1913.656215   3006.033302   3486.464321
0.546875   877.265298   1878.999112   2938.356012   3494.708467
0.553125   881.730941   1895.904230   3211.861560   3640.095243
0.559375   344.281749   1825.066745   2891.936071   3641.146073
0.565625   1859.419210   2517.895810   --undefined--   --undefined--
0.571875   1604.828872   2422.684988   --undefined--   --undefined--
0.578125   1917.130895   2085.845114   --undefined--   --undefined--
0.584375   1941.318158   2411.612414   --undefined--   --undefined--
0.590625   1564.163132   2252.805851   --undefined--   --undefined--
0.596875   1973.628577   2026.487857   --undefined--   --undefined--
0.603125   1853.172209   2632.384725   --undefined--   --undefined--
0.609375   1766.586536   2782.288941   --undefined--   --undefined--
0.615625   1754.060825   2650.937442   --undefined--   --undefined--
0.621875   1820.301182   2968.181712   --undefined--   --undefined--
0.628125   1888.562817   2952.721616   --undefined--   --undefined--
0.634375   1915.251042   3034.956995   --undefined--   --undefined--
0.640625   2072.600417   2784.301755   --undefined--   --undefined--
0.646875   2338.419056   2772.346511   --undefined--   --undefined--
