Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   915.227199   1869.685838   3017.213775   3746.961148
0.034375   856.332971   1875.911491   2803.975601   3612.064853
0.040625   802.060607   1886.394373   2610.278261   3817.984887
0.046875   853.117104   2093.270978   2446.071558   3908.441509
0.053125   937.666163   2231.149533   2294.157796   3921.350449
0.059375   813.673118   1788.109818   2853.408568   3993.014416
0.065625   914.346988   1979.031557   3018.555316   4071.582604
0.071875   876.889142   1616.157909   3032.758612   3856.378344
0.078125   778.077381   1577.589395   2769.845224   3761.040603
0.084375   819.332459   954.044147   2431.006751   3758.885012
0.090625   713.501372   2260.808174   3808.656598   4128.447726
0.096875   499.357716   1881.912715   2976.131178   3476.852691
0.103125   432.555789   1434.109051   2709.842629   3722.414134
0.109375   399.806184   1350.182763   2696.628463   3836.821511
0.115625   420.102883   1401.919200   2803.882332   3898.517443
0.121875   420.913726   1388.005429   2716.081318   3789.953040
0.128125   428.290964   1299.185382   2778.818728   3699.775745
0.134375   404.408590   1406.217663   2865.363727   3868.168250
0.140625   374.953445   1547.529802   2919.239627   4068.360957
0.146875   390.360134   1579.549778   2846.071469   3916.222804
0.153125   401.037440   1485.612835   2752.185693   4028.655850
0.159375   473.392696   1499.339243   2771.735047   4194.829639
0.165625   581.583374   1272.724649   2719.392443   4085.586644
0.171875   516.218247   1495.194931   2711.093570   4066.874043
0.178125   547.534375   1972.186332   2563.083652   4080.329624
0.184375   616.833989   2247.991068   3004.626863   4041.794230
0.190625   702.509088   2152.103928   2937.408419   3990.746148
0.196875   833.840127   2101.569482   2903.014997   3545.544643
0.203125   759.518915   2174.533029   2907.394885   4343.059164
0.209375   1633.004336   2183.419473   --undefined--   --undefined--
0.215625   1575.253713   2456.715632   --undefined--   --undefined--
0.221875   1489.302633   2290.720903   3263.149088   5209.203193
0.228125   1472.930276   2426.972890   --undefined--   --undefined--
0.234375   1506.295150   2308.416171   --undefined--   --undefined--
0.240625   1463.185724   2368.863361   3356.904832   5097.370361
0.246875   1272.039599   2423.117699   3067.621114   5156.856511
0.253125   747.271825   1691.643304   2735.750075   4129.081110
0.259375   847.175229   1674.829913   2725.938069   4356.880398
0.265625   543.548203   1696.293160   2691.743491   4199.800425
0.271875   522.278406   1649.039446   2690.168308   3926.295339
0.278125   495.069203   1522.699967   2727.932418   3770.475959
