Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1448.695931   2028.896558   2710.227109   4057.656879
0.034375   1582.444172   2023.915327   2598.063261   3862.788567
0.040625   1841.537267   2021.585934   2445.648777   3967.385976
0.046875   1989.557691   2043.993036   3737.510776   4241.155457
0.053125   1989.466333   2065.488785   3626.316357   4707.736787
0.059375   2000.595378   2095.349132   3623.363626   4762.525378
0.065625   2028.497729   2110.537394   3626.679815   4396.052886
0.071875   2062.981836   2104.447535   3634.367588   4171.921413
0.078125   2077.453559   2111.275148   3649.002964   3988.495202
0.084375   2056.282479   2068.104883   3666.197373   3906.097265
0.090625   2056.178978   2095.794700   3665.079191   3881.794381
0.096875   2054.066456   2113.075232   3654.864083   3899.303188
0.103125   2062.809134   2070.749202   3660.560851   3928.322297
0.109375   1868.441999   2077.539463   3670.121944   4112.342738
0.115625   1855.724409   2075.175336   3677.677618   4099.355647
0.121875   1698.825755   2082.673077   3687.629209   4009.678256
0.128125   1840.207064   2067.841318   3696.056564   4072.982675
0.134375   1591.663054   2052.670683   3667.867598   4092.522576
0.140625   1347.850029   2033.522834   3661.488077   4497.547942
0.146875   1177.499176   2019.626874   3661.642573   4303.023372
0.153125   1024.149231   2023.211633   3657.759427   4427.403834
0.159375   1133.109955   2062.647915   3653.918402   4586.654001
0.165625   1197.334945   2092.648740   3676.792778   4467.591870
0.171875   1171.108295   2084.054866   3709.007220   4070.717495
0.178125   1119.538835   2079.028631   3704.147739   3974.673888
0.184375   1056.289767   2105.862696   3700.460509   4221.774726
0.190625   1750.380123   2078.577630   3675.663804   4631.391682
0.196875   2072.999004   2076.620010   3661.169390   4650.093761
0.203125   1303.699481   2127.487820   3664.558016   4602.965858
0.209375   1277.739771   2100.480311   3704.551007   4545.697694
0.215625   1236.377762   2084.904655   3697.825328   4296.813339
0.221875   979.042263   2093.856312   3570.603678   4065.994481
0.228125   1130.250740   2161.838306   3515.128675   4083.569021
0.234375   1080.755302   2219.314186   3517.812659   3924.410462
0.240625   1068.167093   2210.884979   3569.764288   4057.332331
0.246875   1109.823092   2300.361180   3485.235098   4450.395809
0.253125   1244.304716   2409.212182   3505.128602   4495.420241
0.259375   1409.699778   2614.677891   3568.632115   4437.145878
0.265625   1375.574343   2654.695552   3609.244749   4421.393303
0.271875   1081.281333   2335.326471   3301.635985   4072.300502
0.278125   1226.026239   2199.379657   3264.795489   4119.922168
0.284375   1472.256066   2213.484083   3332.376003   4470.519666
0.290625   1377.146684   2468.823187   3415.585539   4614.056728
0.296875   1080.203133   2283.997086   3496.656039   4551.337149
0.303125   1043.297098   2172.278269   3481.178880   4473.567968
0.309375   1066.559067   2151.693732   3325.907822   4353.643649
0.315625   1084.240691   2224.640658   3250.096419   4271.904264
0.321875   1066.967840   2234.978509   3246.855530   4475.884688
0.328125   1280.019625   1924.819309   3164.851587   4168.991332
0.334375   1522.802439   2600.126893   3359.972524   4312.575701
0.340625   1563.649720   2539.391269   3519.567127   4467.411005
0.346875   1493.817314   2696.365269   3247.714625   4358.372064
0.353125   1231.323316   2115.122085   3100.300002   4165.894993
0.359375   1274.119260   2275.996444   3094.379240   4088.281204
0.365625   1196.130206   2322.694401   3340.150224   4478.352204
0.371875   1181.702368   2341.162375   3291.613453   4584.449977
0.378125   1425.681909   2596.401111   3527.172530   4416.438070
0.384375   1048.089876   2101.831389   3098.902370   4024.862331
0.390625   1020.327024   2084.433435   3332.979566   4087.112623
0.396875   1165.345251   2367.878170   3493.199884   4171.778972
0.403125   1300.878982   2574.996948   3511.479219   4343.288180
0.409375   1274.576848   2395.069371   3227.183595   4414.004981
0.415625   1340.949722   2385.611294   3198.668154   4323.470741
0.421875   1272.016846   2208.867293   3188.263737   4320.265949
0.428125   1162.930813   2059.442954   3186.103564   4329.404817
0.434375   1189.250774   2135.059434   3238.224699   4463.458766
0.440625   1115.004300   2215.705376   3310.032989   4380.768936
0.446875   1119.861230   2025.641580   3199.704795   3986.484037
0.453125   1227.975239   2297.329268   3554.396230   4246.318965
0.459375   1024.600549   2309.896524   3476.765406   4349.832862
0.465625   1130.633706   2215.832796   3465.731895   4548.071159
0.471875   1284.150779   1949.283241   3128.461050   4307.140352
0.478125   1166.222711   2015.773295   3181.405799   4271.035326
0.484375   1224.044514   1822.388851   3262.761789   4122.699210
