Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1197.969555   2252.654325   3366.150200   4391.428841
0.034375   1173.783833   2271.820804   3210.243994   4224.419515
0.040625   1253.167971   2091.246428   3002.482739   4092.656859
0.046875   1524.854882   1982.847705   2973.162078   4146.455991
0.053125   1309.966955   2428.331526   3006.344731   4103.061795
0.059375   1355.944471   2194.499059   3113.410979   4312.586604
0.065625   1113.389615   2023.740289   3126.117801   4109.717883
0.071875   1149.459664   2162.742794   3077.855547   3941.619786
0.078125   1101.776601   2318.998310   2923.536383   4041.013379
0.084375   1126.112498   2223.297005   2972.643075   4254.300810
0.090625   1157.449392   2232.768041   3131.214820   4516.427949
0.096875   1025.722659   2207.156008   3080.923732   4370.501305
0.103125   1061.922829   2050.862232   3144.342636   4279.241135
0.109375   1468.264973   1717.475969   3143.869487   4304.185528
0.115625   1249.164853   2148.948607   3253.569497   4492.833518
0.121875   1218.232609   2107.154398   3526.893581   4415.827811
0.128125   1229.075863   2251.000184   3789.138166   4143.948293
0.134375   1187.855313   2465.252752   2698.624803   4094.423862
0.140625   1192.190482   2457.776185   3387.730710   3909.578325
0.146875   1135.625990   2369.093591   3310.466175   4087.921190
0.153125   1176.019559   2390.824945   3271.993684   4520.963928
0.159375   1391.709402   2487.156518   3504.582780   4621.058955
0.165625   1625.855173   2696.086040   3455.987755   4629.927736
0.171875   1308.295424   1919.715099   3089.839112   4506.507295
0.178125   1117.312542   2172.126104   3324.552714   4498.169822
0.184375   1193.722495   2165.099579   3614.414675   3863.123705
0.190625   1321.387976   2295.616744   2978.825864   3934.321221
0.196875   1318.677725   2541.157249   2707.418025   3791.015634
0.203125   1088.153364   2535.275522   2661.855946   3804.404407
0.209375   1617.529947   2670.415929   3809.092010   4946.511147
0.215625   1509.151601   1601.355499   2778.633895   4120.570389
0.221875   1096.018338   2115.366398   2988.171850   4170.728423
0.228125   1075.918739   2149.170280   3125.196085   4112.573231
0.234375   1032.972701   2213.740444   3176.833344   4065.148624
0.240625   983.378994   2087.367799   3255.730855   4140.256363
0.246875   1267.219463   2207.237124   3424.640959   4393.304156
0.253125   1206.155566   2209.129397   3287.102104   3780.946784
0.259375   1225.878291   2083.030869   3120.827528   4107.606834
0.265625   1395.867120   2038.259598   3200.854396   4319.640799
0.271875   1110.303068   2000.430707   3259.096812   4014.107266
0.278125   1112.038996   1985.413996   3213.230520   4387.944445
0.284375   1014.233344   2072.980052   3231.115030   4198.409928
0.290625   1052.928744   2082.005475   3158.917413   4034.864832
0.296875   888.883442   1999.944637   3031.401855   3855.342893
0.303125   1338.021735   1978.864346   2878.988558   3834.209857
0.309375   1195.412596   2105.778496   3198.333917   3964.968569
0.315625   1176.439046   2124.152635   3219.937969   4163.744291
0.321875   1362.963227   2526.299910   3050.020188   4218.943464
0.328125   1154.671913   2195.551170   3347.873841   4448.305596
