Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   535.429218   1542.807600   2400.379311   4097.135647
0.034375   526.916000   1558.852112   2449.699268   4262.229719
0.040625   574.255319   1539.093062   2972.290223   4223.169237
0.046875   543.955490   1475.998098   3182.525875   4295.697209
0.053125   474.873766   1414.502355   2928.528567   4234.093015
0.059375   362.134612   1385.649528   2701.811008   3940.141725
0.065625   1140.983597   2741.043615   3731.483428   4962.635862
0.071875   203.167376   1722.253888   3043.128974   4182.442814
0.078125   231.759914   1826.808519   3144.795489   4290.090606
0.084375   100.577725   1762.486626   3241.494016   4512.076609
0.090625   956.886230   2158.102928   3455.920442   4851.718202
0.096875   760.653001   2431.404113   3555.919379   4719.363899
0.103125   520.199096   2492.986782   3835.536659   4597.540365
0.109375   448.321706   2495.788429   3419.873396   4346.296599
0.115625   352.652776   1908.987049   2885.517368   4259.333122
0.121875   293.883742   1921.273830   2970.981514   4232.368163
0.128125   323.909997   1767.828604   2908.544906   4054.868046
0.134375   272.980686   1853.040947   3111.737749   4192.369815
0.140625   641.373820   2303.731855   3267.029701   4401.625505
0.146875   2673.638171   3755.335478   --undefined--   --undefined--
0.153125   307.402249   2366.947232   3363.636895   4527.427937
0.159375   287.759240   1842.373023   2873.726233   4332.299509
0.165625   1343.369433   2806.053682   4252.422409   4767.391105
0.171875   228.673999   1748.781998   2972.675901   4217.967481
0.178125   1610.579887   2993.074173   --undefined--   --undefined--
0.184375   1483.474248   2570.917333   3107.630590   4523.568340
0.190625   1444.152844   3139.078683   --undefined--   --undefined--
0.196875   1760.519249   3143.252733   --undefined--   --undefined--
0.203125   1669.485661   2875.604941   3541.227377   4393.156053
0.209375   196.178013   1761.512400   2912.904793   4209.193688
0.215625   319.169523   1849.535792   3023.895474   4361.000761
0.221875   231.603825   1819.760207   2978.218097   4365.312744
0.228125   1540.674100   2931.555417   --undefined--   --undefined--
0.234375   1717.624912   3043.248691   --undefined--   --undefined--
0.240625   1622.794317   3006.728164   3982.506188   4840.042662
0.246875   1205.538574   2348.025292   3699.139946   4882.744756
0.253125   214.716498   1738.895005   3298.051854   3896.270235
0.259375   366.341468   1746.445379   3124.750301   4560.695344
0.265625   215.981555   1814.461003   2856.391496   4263.573417
0.271875   124.307321   1859.368943   3042.840923   4338.837144
0.278125   209.544555   2058.375619   3256.002361   3392.992457
0.284375   308.551340   2189.969104   3356.010966   4660.645677
0.290625   130.109638   1858.395004   3151.537051   4368.533504
0.296875   239.619903   1815.689433   3102.421316   3849.828583
0.303125   144.548040   1786.897366   2785.360087   3600.087828
0.309375   145.318731   1769.515404   2953.316491   3729.507396
0.315625   99.874639   1752.748715   2888.639787   4423.280316
0.321875   250.317163   1977.106087   3042.106979   3680.818185
0.328125   1698.484722   3093.029161   --undefined--   --undefined--
0.334375   670.878770   2006.828307   3353.941827   4371.857918
0.340625   301.454615   2099.913666   3541.176702   4223.587550
0.346875   198.557481   1598.355382   2972.201190   3790.801546
0.353125   177.406420   1655.059218   2855.960715   3719.807108
0.359375   311.139107   1991.595012   3111.032243   4746.497517
0.365625   289.953382   1955.907624   3091.742049   4218.928967
0.371875   267.525952   1948.261065   3165.501776   4364.663615
0.378125   285.623553   1841.069753   3034.820877   3823.293364
0.384375   216.061451   1572.738820   2847.073580   3820.443819
0.390625   269.954672   1372.175821   2794.519085   3911.255400
0.396875   51.192166   1300.864249   2833.440283   4160.363194
0.403125   1171.163490   3022.658254   3031.261516   4804.850839
0.409375   244.135671   1657.785934   2902.976808   3905.061912
0.415625   253.594102   1826.763317   2847.956023   4426.820242
0.421875   254.794177   1737.360321   2925.104744   4347.025619
0.428125   274.744242   1814.803698   3074.250832   4263.123346
0.434375   289.021574   1736.619510   3078.169586   4198.562254
0.440625   261.198362   1624.797043   2778.055036   4068.111339
0.446875   250.780185   1664.461890   2857.265191   4160.297271
0.453125   304.732282   1772.284574   2982.161315   4003.325777
0.459375   226.796768   1901.987213   3067.771470   4146.508587
0.465625   451.358732   1574.710093   2851.937787   4159.488816
0.471875   373.945361   1328.872238   2863.592331   4134.517641
0.478125   184.936192   1891.261034   3105.916048   4255.144283
0.484375   790.794423   2040.586380   3095.804962   4196.781932
0.490625   148.806881   1695.657554   2963.128221   4127.829353
0.496875   1789.052854   2997.620640   --undefined--   --undefined--
0.503125   260.991864   1593.113019   2906.145017   3825.997634
0.509375   255.543247   1641.107737   2992.607515   3968.484255
0.515625   313.507671   1486.310833   2983.525856   3934.239803
0.521875   312.074418   1532.046819   3006.199209   3947.692900
0.528125   231.790625   1531.158120   2874.318979   3997.256288
0.534375   189.904004   1756.647692   2770.530941   4161.329768
0.540625   242.832178   1999.006069   3045.153013   4328.666287
0.546875   262.176333   1758.923974   3168.524771   4207.978761
0.553125   323.936895   1666.199283   3130.841868   4125.600892
0.559375   367.433049   1848.347393   3071.371442   4128.179323
0.565625   2016.606723   2224.684305   --undefined--   --undefined--
0.571875   231.451443   1710.785059   2664.883647   4077.636181
0.578125   251.752429   2025.417943   3135.280264   4282.880339
0.584375   297.798214   1918.545032   3029.101521   4285.522997
0.590625   319.675610   1698.797350   2848.433594   4135.774532
0.596875   282.416476   1635.461654   2894.250155   3980.858720
0.603125   317.966223   1802.981855   2535.380467   4179.585111
0.609375   913.988659   2378.371594   --undefined--   --undefined--
0.615625   260.546648   1824.105761   3391.453620   3474.119781
0.621875   259.191316   1803.871386   3241.334599   4023.043647
0.628125   428.777274   2342.401737   3074.721053   4443.797389
0.634375   730.645969   2399.496940   3351.857368   4297.125105
0.640625   238.113560   1760.865666   3075.025934   4174.756879
0.646875   363.609336   1774.811306   3044.794322   4337.643861
0.653125   273.314476   1800.131720   3034.961588   4162.194463
0.659375   249.088149   1663.313253   2956.539691   4012.351034
0.665625   260.509945   1879.886908   3023.235894   4548.127367
0.671875   818.763317   2167.391144   3222.402813   4550.065906
0.678125   1663.058110   3175.035527   --undefined--   --undefined--
0.684375   273.181460   1579.259851   2802.960446   4200.378046
0.690625   273.268309   1732.394102   3010.076234   4236.943163
0.696875   436.678588   2162.717744   3035.242154   4284.619470
0.703125   325.087561   1994.091723   3001.337440   4108.835334
0.709375   169.409907   1925.681505   2962.028017   4133.287672
0.715625   370.047656   1795.180889   2743.368659   4297.174725
0.721875   202.731156   1829.996482   2896.788678   4374.898387
0.728125   918.700815   1789.586792   3114.690184   4299.585316
0.734375   424.947249   1701.117909   2935.864904   4272.438406
0.740625   321.888393   1729.454610   2787.854301   4368.773140
0.746875   336.037233   1843.405258   2867.851004   4199.439721
0.753125   683.608081   1813.723705   3253.659533   4333.409542
0.759375   209.651678   1822.484744   3257.439680   4350.897969
0.765625   204.921807   1690.706623   2886.251471   4209.713918
0.771875   241.171043   2077.096883   2990.742638   4491.428075
0.778125   2147.502367   2992.944950   4458.836546   5030.491198
0.784375   2084.379454   2938.794812   4483.424974   4954.928877
0.790625   2111.219200   3068.947462   4399.708328   4942.823368
0.796875   462.544899   2079.229252   3142.245794   3965.547856
0.803125   588.948973   1951.039843   3254.730414   3948.377376
0.809375   521.601113   2083.831840   3043.665980   4005.921178
0.815625   468.346080   2251.253527   3134.931034   4745.212336
0.821875   2287.134728   2900.390596   --undefined--   --undefined--
0.828125   2346.634255   2804.565077   4253.661727   5030.585352
0.834375   351.328869   2423.518564   2779.306810   4379.082797
0.840625   350.572191   2143.146328   2783.115157   4352.119069
0.846875   377.888833   1823.073346   2710.275819   4225.962793
0.853125   396.904023   1868.569874   2937.848675   4144.208238
0.859375   461.445275   1706.558630   2716.155791   4135.501293
0.865625   471.372243   1631.758332   2688.417604   4187.641295
0.871875   463.787016   1778.941719   2618.795695   4177.899729
0.878125   535.111871   2001.788284   2608.212550   4085.049621
0.884375   580.106726   1977.516322   2701.588418   4078.640022
0.890625   574.113280   1942.411539   2677.288148   4112.655805
0.896875   497.947690   1967.074629   2634.116661   4292.743984
0.903125   407.039167   1798.557330   2739.441450   3931.342858
0.909375   480.681427   1883.178019   2725.523559   3940.159355
0.915625   526.854052   1984.280030   2958.733989   3897.083371
0.921875   521.776599   1932.897149   2892.094366   3919.659766
0.928125   501.106315   1949.611675   2887.488788   3964.447296
0.934375   460.035920   1972.361354   2966.715866   3991.925588
0.940625   484.535515   1985.632474   2939.768425   4222.723400
0.946875   499.642459   1985.068286   2785.943457   4386.117978
0.953125   490.616234   2012.525024   2976.320066   4628.131433
0.959375   484.614906   1981.931526   3067.819174   3729.604713
0.965625   466.832665   1962.069748   2997.626920   3581.507143
0.971875   436.070794   1960.867963   2773.708011   3809.507111
0.978125   500.535305   1942.581842   2710.561061   4030.112398
0.984375   507.292868   1969.165951   2690.468004   3922.989801
0.990625   513.617588   1990.348645   2605.090804   3818.839432
0.996875   589.784165   2191.569385   2408.048058   3622.840950
1.003125   524.219085   2064.436564   3196.367114   3485.068364
1.009375   419.178624   2000.124151   3009.231363   4250.830058
1.015625   423.187951   2026.044609   2922.959947   3988.875010
1.021875   442.181940   2001.859532   2804.936168   4154.711463
1.028125   488.734738   1893.584714   3018.974883   4117.996144
1.034375   441.230255   1906.448204   2661.622229   4049.109043
1.040625   428.885329   1886.800409   2686.234045   3996.017986
1.046875   1344.624228   2305.604521   3516.889553   4863.112630
1.053125   367.857608   1936.943648   2459.488187   3976.088856
1.059375   376.925106   1913.617913   2724.510558   4085.539591
1.065625   371.163818   1794.507999   2786.166470   3803.810408
1.071875   431.534977   1870.992911   2557.233943   3483.314744
1.078125   429.338230   1988.934162   3304.782288   3879.710220
1.084375   449.886848   2141.508118   2323.174591   3761.111653
1.090625   516.563264   2034.022742   2707.991870   4291.408610
1.096875   652.488360   1977.782702   3096.495402   4400.483698
1.103125   847.694140   2113.616090   3371.322145   4486.047024
1.109375   536.326882   1766.520254   2730.021150   4207.064566
1.115625   401.549393   1844.136885   2914.148041   4331.839073
1.121875   1009.591832   2042.491758   3161.144635   4243.661722
1.128125   988.055067   2250.078152   3434.523354   4299.650010
1.134375   986.281130   2347.890162   3334.403102   4159.935334
1.140625   1034.465055   2286.237744   3201.131247   4613.942660
1.146875   1003.117247   2108.319270   3081.730847   4406.264099
1.153125   235.637624   1619.045995   2992.057976   4471.235547
1.159375   577.813961   1987.700501   3130.237271   4546.883234
1.165625   104.537211   2032.116771   3204.480107   4551.002310
1.171875   523.479370   2214.060051   3058.553321   4575.752489
