Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   556.793495   2540.827722   2709.858532   3913.376789
0.034375   312.600776   1776.911576   2594.798790   3792.118304
0.040625   327.398624   1823.711496   2644.039969   3634.434833
0.046875   189.064276   1606.923152   2712.129795   3641.923668
0.053125   221.050586   1637.901233   2634.169680   3714.579848
0.059375   319.603296   1786.189143   2651.136337   3698.478045
0.065625   309.733748   1778.025512   2721.481336   3682.978595
0.071875   314.344219   1711.016033   2657.329800   3628.548916
0.078125   365.588290   1763.913121   2630.419054   3672.719400
0.084375   138.960118   1860.009176   2653.886312   3730.433737
0.090625   242.038418   1904.691787   2749.312237   3692.452406
0.096875   436.026347   1939.562665   2597.303624   3575.370395
0.103125   462.692178   2084.345008   2493.123750   3622.654668
0.109375   812.429284   2404.329934   3346.246800   4566.461279
0.115625   1604.587433   2715.155180   3707.794851   4715.169941
0.121875   418.607305   1622.281174   2735.367292   3604.319923
0.128125   470.327381   1722.886834   2693.941955   3524.235200
0.134375   422.291294   2651.257962   2724.571847   3690.565428
0.140625   373.090486   2457.422240   3612.378103   4214.897963
0.146875   376.298381   1679.423470   2680.758471   3639.065085
0.153125   242.939612   1892.458226   2829.180444   3656.518339
0.159375   239.468224   1952.818152   2768.788279   3693.174984
0.165625   226.328534   1778.661736   2767.332415   3729.942035
0.171875   231.783927   1722.685789   2735.459302   3681.117606
0.178125   313.325124   1749.286989   2696.860118   3642.802656
0.184375   198.949216   1897.240474   2616.336570   3690.444466
0.190625   211.562569   2278.668649   2475.476722   3582.221396
0.196875   1518.196881   2385.022330   3484.127587   4850.641272
0.203125   105.639615   1752.833682   2683.685101   3605.947651
0.209375   206.917044   1781.652602   2609.029472   3725.723656
0.215625   168.796835   1625.212067   2539.567498   3712.972703
0.221875   244.778483   1507.049870   2494.318942   3625.451813
0.228125   280.866789   1926.972864   2480.101208   3619.308530
0.234375   961.879740   2460.581454   3535.311066   4514.705900
0.240625   1689.962489   2720.112872   3668.467731   4680.721684
0.246875   311.979069   1692.288550   2795.838639   3702.039690
0.253125   341.719737   1736.309463   2678.680072   3635.178898
0.259375   324.723940   1728.920893   2626.519677   3659.878067
0.265625   237.130470   1669.565140   2559.211891   3702.214860
0.271875   345.325117   1631.500508   2586.508054   3711.600977
0.278125   342.174670   1711.100582   2643.343730   3532.604429
0.284375   197.628389   2565.516910   3494.794656   4628.266570
0.290625   278.761490   2357.639959   3357.219269   4582.607707
0.296875   275.953812   1985.412827   2489.873562   3329.747040
0.303125   170.854862   1666.886090   2678.006196   3473.947819
0.309375   865.058585   2308.588230   3189.216839   4465.781284
0.315625   98.313036   1608.186490   2679.280817   3522.381959
0.321875   161.226505   1692.548255   2723.050057   3739.968169
0.328125   233.690890   1708.670598   2664.213165   3749.713412
0.334375   333.844831   1973.944658   2639.265582   3683.094318
0.340625   347.069601   2051.990903   2613.002275   3582.908206
0.346875   241.322743   1250.979094   2503.202739   3527.031306
0.353125   318.249492   1770.427466   2569.023424   3606.657339
0.359375   272.521610   1664.341857   2579.463108   3681.659941
0.365625   1605.858651   2611.224010   3771.521989   4893.095176
0.371875   241.398107   1830.457883   2662.356067   3735.947108
0.378125   206.438681   1971.733306   2500.674657   3657.090192
0.384375   176.981274   1866.987972   2593.510568   3620.879488
0.390625   318.625252   1790.733898   2757.574197   3665.338568
0.396875   488.316445   1739.840690   2619.290094   3610.972447
0.403125   262.022364   1684.164339   2478.167568   3619.477915
0.409375   246.012671   1975.352883   2793.751430   3841.142709
0.415625   243.453810   2128.001099   3114.792946   3374.191396
0.421875   422.697405   2429.702371   3422.658402   4450.643086
0.428125   437.508715   1874.816936   2612.183319   3590.262075
0.434375   440.711658   1789.122095   2641.903339   3681.728847
0.440625   518.903034   1675.916758   2627.456329   3762.774615
0.446875   251.601009   1696.266396   2719.268108   3787.442924
0.453125   234.050489   1768.766988   2700.493540   3689.003364
0.459375   341.429553   1832.601131   2660.701939   3763.809996
0.465625   233.963538   1724.550211   2642.653811   3736.453403
0.471875   313.950390   1807.197989   2585.742332   3666.415466
0.478125   265.169815   1670.782497   2676.827965   3712.318227
0.484375   268.331638   1771.925456   2557.037316   3676.718258
0.490625   248.055484   1876.318675   2396.422011   3602.016423
0.496875   626.306293   2411.905786   3315.593472   4481.926360
0.503125   328.583069   2146.018402   2511.043563   3785.241357
0.509375   299.896913   1860.422680   2609.866569   3771.834041
0.515625   244.419844   1738.218961   2676.688809   3643.238332
0.521875   221.193885   1712.571426   2662.561876   3641.177259
0.528125   297.345317   1796.047630   2541.738553   3653.199570
0.534375   833.634429   2460.653190   3532.448366   4914.887649
0.540625   1472.214366   2543.805447   3615.096466   4850.037885
0.546875   433.745624   1865.648657   2561.387392   3650.136592
0.553125   796.092472   2449.549316   3580.171244   4845.208492
0.559375   610.818890   2499.362460   3483.985301   4416.657132
0.565625   360.865798   1841.202864   2416.898152   3631.053989
0.571875   283.896787   1952.375470   2459.707994   3651.505070
0.578125   190.770227   1664.891647   2415.107160   3594.779734
0.584375   406.059764   2097.768143   2313.478685   3538.677730
0.590625   464.251579   1913.866811   2553.554038   3587.903516
0.596875   1542.804316   2584.124005   3607.605809   4875.259365
0.603125   1518.219358   2582.898998   3641.725690   4831.668594
0.609375   271.522953   1724.170345   2491.743087   3635.314188
0.615625   310.249898   1798.380509   2539.584212   3639.561912
0.621875   475.279038   1745.260739   2528.987359   3632.941747
0.628125   390.210506   1551.332289   2599.964576   3772.607012
0.634375   232.668855   1626.562868   2704.797695   3663.428470
0.640625   152.748246   1743.955806   2677.756717   3670.014481
0.646875   930.666694   2606.376994   2641.095115   4128.798471
0.653125   285.813162   1696.913080   2635.473456   3840.312887
0.659375   311.621468   1743.974912   2624.140123   3717.759512
0.665625   321.729527   2103.135948   2475.232429   3738.872462
0.671875   344.232969   2002.691769   2684.047489   3969.348284
0.678125   450.032741   1991.379154   2706.209126   3739.473874
0.684375   420.523639   1905.278206   2634.713465   3877.817426
0.690625   334.798098   1713.880363   2623.627345   3768.824757
0.696875   259.943982   1698.813586   2615.758355   3690.504800
0.703125   245.626931   1765.728348   2596.312203   3707.083705
0.709375   340.157418   1792.770842   2732.578983   3740.462674
0.715625   68.081391   1650.366597   2621.510151   3762.657237
0.721875   1541.347109   2614.359101   3716.764912   4923.038792
0.728125   86.711682   1692.563202   2467.181306   3653.133353
0.734375   287.899498   1672.073962   2604.054376   3740.144668
0.740625   293.569656   1558.390252   2595.744271   3636.567015
0.746875   238.634521   1701.658027   2711.624972   3642.403724
0.753125   217.432242   1547.402430   2658.531363   3607.915660
0.759375   383.274850   1490.737803   2601.360015   3600.919645
0.765625   458.233132   1916.889565   2655.441247   3705.397724
0.771875   1120.096142   2446.965773   3511.377112   4903.115685
0.778125   633.248129   2263.337709   2666.854456   3416.580963
0.784375   393.382681   2193.933040   3453.771347   4900.245542
0.790625   359.949167   2151.033681   2737.864614   3832.864140
0.796875   386.584082   2166.770801   2721.332055   3875.304927
0.803125   798.435846   2223.305779   3490.912303   4347.587708
0.809375   705.711089   2172.918869   3544.310313   4325.054857
0.815625   255.331191   2139.339030   2800.116846   3769.688866
0.821875   296.050428   2123.807054   3148.384136   4170.103495
0.828125   338.260028   2116.234986   2726.739380   3557.669083
0.834375   648.260335   2273.731382   3569.195793   3950.380689
0.840625   112.629352   2446.767791   3169.725264   4099.290695
0.846875   436.642446   2005.072708   2736.198242   3988.982359
0.853125   407.768377   1823.451091   2608.188543   3687.420851
0.859375   488.661504   2038.618071   2595.213380   3682.728287
0.865625   487.689650   2090.918839   2868.142631   3800.055414
0.871875   386.026562   2127.332370   2927.666845   3477.647212
0.878125   484.769208   2140.612893   2671.003252   3485.300480
0.884375   389.436275   1976.781320   2708.385297   3583.713089
0.890625   205.452596   1970.198870   2736.597876   3678.047902
0.896875   292.124424   1953.808846   2855.972316   3679.298522
0.903125   341.160352   1917.835365   2863.482556   3576.513762
0.909375   273.688770   1839.485699   2791.051832   3752.707949
0.915625   297.162953   1726.252344   2750.410952   3637.938850
0.921875   266.185632   1823.433901   2633.559081   3544.511953
0.928125   1216.016079   2037.928694   3144.677051   4376.399041
0.934375   1650.463129   2174.094116   3368.351772   4710.056739
0.940625   410.551052   1783.748734   2537.727368   3494.650933
0.946875   376.549287   1844.562395   2642.387520   3636.925013
0.953125   413.363816   1931.340683   2716.082149   3631.534078
0.959375   416.786091   1863.635791   2788.285487   3676.257823
0.965625   613.112266   1934.240481   2570.826689   3529.137101
0.971875   455.777507   1871.340291   2577.574676   3606.033094
0.978125   359.574052   1986.954476   2704.276535   3771.302828
0.984375   399.664814   1930.676959   2610.750638   3756.319711
0.990625   387.202917   1811.611322   2574.380063   3734.996059
0.996875   298.663982   1771.676976   2633.006302   3799.690865
1.003125   266.931185   1802.483031   2610.337092   3776.953682
1.009375   233.476515   1766.605609   2672.169363   3655.791612
1.015625   347.443909   1720.629425   2716.638550   3695.284623
1.021875   291.712739   1670.841005   2700.553789   3699.153516
1.028125   261.284128   1753.355315   2784.611885   3654.892409
1.034375   307.981928   1734.241883   2706.120370   3577.562324
1.040625   367.804938   1692.942709   2593.296763   3617.447875
1.046875   352.890208   1557.375436   2594.910225   3703.677178
1.053125   369.572603   1811.004632   2703.921974   3699.181033
1.059375   429.932141   1810.750176   2709.323739   3753.135106
1.065625   305.416591   1783.208389   2650.456886   3739.861879
1.071875   222.326881   1796.259005   2701.942232   3935.205800
1.078125   263.983176   1838.366663   2773.198080   3786.100419
1.084375   286.276355   1984.125457   2549.361924   3571.059255
1.090625   300.210188   1961.668891   2447.710878   3588.292537
1.096875   255.951887   1566.389538   2471.782754   3599.632144
1.103125   293.490767   1607.241634   2647.274620   3620.907532
1.109375   262.305059   1592.981513   2652.108725   3649.936969
1.115625   1668.205522   2559.468006   3714.044030   4813.299441
1.121875   191.351076   1743.753704   2698.625050   3861.087658
1.128125   292.666578   1746.707422   2649.839124   3700.181667
1.134375   206.809192   1800.876124   2622.622985   3664.557523
1.140625   264.777828   2309.341613   2453.610347   3525.062318
1.146875   300.718637   1939.676786   2603.592008   3598.727534
1.153125   374.874263   1902.801141   2775.312925   3623.483537
1.159375   586.374413   1922.627056   2786.207959   3885.354912
1.165625   357.862062   1702.372025   2688.884154   3691.996358
1.171875   382.556700   1522.415719   2678.624371   3682.852915
1.178125   588.225839   1540.751431   2589.866145   3674.168578
1.184375   534.404599   1540.279749   2582.897513   3707.787059
1.190625   284.477223   1432.592452   2577.327625   3572.870791
