Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1581.852030   1862.991510   2710.014804   3833.345343
0.031250   1302.128096   1784.853383   2745.722867   3956.229097
0.037500   1467.086423   1773.623657   2808.909742   3949.295138
0.043750   1634.574382   1759.870911   2970.402224   3879.840432
0.050000   1723.539261   1741.078911   3073.742081   4059.851375
0.056250   1710.487659   1753.050840   3277.874183   3933.844885
0.062500   1708.862164   1758.649301   3179.813452   4126.945261
0.068750   1711.257748   1759.777320   3221.310236   4127.959823
0.075000   1716.116665   1757.638048   3191.001123   4075.303273
0.081250   1708.814080   1751.483413   3006.642550   4000.374495
0.087500   1714.692499   1833.646806   2974.200504   4052.354184
0.093750   1734.283205   1843.974721   2840.965873   4040.325147
0.100000   1766.255467   1839.512074   2698.208319   4141.476201
0.106250   1799.633918   1852.010981   2861.648296   4112.088474
0.112500   1816.064959   1975.286509   2014.688762   3699.915639
0.118750   1840.389382   1982.553811   2002.975056   3766.507369
0.125000   1869.804305   1870.441914   2008.239406   3840.317194
0.131250   1891.738750   1904.885660   1998.231176   3783.247324
0.137500   1889.263802   1962.772676   1985.752193   3696.924641
0.143750   1869.009479   1909.463293   2094.093898   3806.862337
0.150000   1903.765014   1916.484451   2094.197325   4036.585899
0.156250   1916.525980   1982.662895   2086.080468   4305.117322
0.162500   1907.825429   1916.757080   2109.522962   4353.351679
0.168750   1864.388850   1922.917349   2136.380262   4352.809933
0.175000   1863.424729   1930.085854   2137.068837   4357.094939
0.181250   1831.742966   1930.721136   2159.391912   4345.412754
0.187500   1818.994279   1947.192006   2175.603780   4344.293447
0.193750   1825.582582   1985.805091   2180.531192   4300.387227
0.200000   1831.306800   2006.652148   2200.632283   4279.355101
0.206250   1832.267404   2003.665075   2215.842355   4287.736000
0.212500   1833.510393   2038.626135   2300.632025   4359.959853
0.218750   1836.365986   2047.385312   2393.575957   4320.313602
0.225000   1834.493425   2009.892471   2405.019819   4328.897466
0.231250   1827.848978   2003.449168   2384.049465   4333.239808
0.237500   1823.903088   2054.056865   2335.517090   4364.268712
0.243750   1849.276962   2053.619798   2290.014162   4382.378762
0.250000   1869.366750   2069.554990   2300.138687   4378.878574
0.256250   1876.239769   2075.578820   2346.565384   4366.212912
0.262500   1868.623112   2089.908711   2354.983373   4349.918054
0.268750   1874.409751   2235.367006   2353.869411   4315.693523
0.275000   1936.083979   2217.109101   2851.811910   4028.666554
0.281250   1917.236987   2145.862537   2949.077430   3903.878132
0.287500   1905.297372   2063.663367   2957.834674   3900.492225
0.293750   1906.174132   2054.682127   2958.163115   3897.832106
0.300000   1888.089530   2060.678999   2952.987763   3901.885222
0.306250   1871.863821   2125.749261   2971.886992   3905.254284
0.312500   1878.467428   2149.378719   2981.556096   3957.213762
