Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   655.526256   1574.141537   2370.527934   3747.442176
0.031250   455.299978   1586.437121   2284.398964   3604.947559
0.037500   454.633685   1757.982415   2503.302415   3199.333548
0.043750   427.800056   1886.045524   2516.569039   3139.218717
0.050000   346.776490   2063.063324   2672.175315   4311.937851
0.056250   292.303325   1878.851066   2577.366204   3501.672258
0.062500   371.757507   1951.329083   2356.650701   3512.414580
0.068750   474.864311   2045.514173   2346.324924   3519.101689
0.075000   414.587015   1929.079739   2479.940888   3572.951341
0.081250   161.510226   1866.911032   2397.160016   3387.307504
0.087500   471.326311   1860.142444   2483.056869   3503.971061
0.093750   1904.937192   2416.294889   3724.431717   4327.360104
0.100000   2026.588301   2259.917180   3415.231114   4341.067213
0.106250   1086.381045   2187.227458   2896.462881   4359.800499
0.112500   433.691044   2075.178427   2834.733965   3297.923689
0.118750   469.256541   1877.904224   2649.294686   3907.507560
0.125000   345.369859   1900.792987   2607.921849   4021.072827
0.131250   365.483289   1869.249665   2590.004763   3748.833064
0.137500   428.975678   1917.323270   2655.423984   3589.425567
0.143750   452.048679   1996.393253   2577.823115   3731.459393
0.150000   468.051205   1991.763507   2509.941042   3873.791472
0.156250   542.092364   1940.780423   2541.142258   4093.958628
0.162500   523.498477   1978.911959   2546.349183   4067.510731
0.168750   361.088983   1916.517170   2548.225964   3473.490820
0.175000   344.444254   1806.294664   2536.202122   3897.610093
0.181250   1889.762194   2510.707001   3681.332661   4324.990747
0.187500   1885.168535   2064.130543   2990.088474   4267.212903
0.193750   509.557000   1977.614572   2569.646461   3921.302884
0.200000   502.216257   2013.871044   2538.064557   3950.549557
0.206250   407.386849   2007.096410   2459.736031   3749.785340
0.212500   572.931167   1990.684585   2425.037388   3731.174656
0.218750   533.578465   1865.835147   2446.541367   3842.871111
0.225000   475.188769   1850.230809   2508.583444   3919.722937
0.231250   485.753896   1912.972047   2522.022708   3711.291593
0.237500   437.037594   1908.704083   2480.153603   3500.000352
0.243750   467.800822   1875.518598   2488.734857   3667.698049
0.250000   325.054005   1823.276477   2585.325497   3728.163052
0.256250   146.700005   1849.283564   2545.414320   3885.192464
0.262500   424.265502   1907.692695   2561.705499   3735.458117
0.268750   389.462561   1952.955090   2455.961440   4023.396506
0.275000   378.434952   1931.662016   2477.311264   3738.193779
0.281250   1959.496419   2683.888302   3880.332508   4314.977208
0.287500   253.675336   2110.115668   2799.475807   4038.276709
0.293750   459.984994   2076.083399   2530.211868   3746.056398
0.300000   420.553097   1883.206232   2503.823538   3793.148696
0.306250   1886.704235   2574.367586   --undefined--   --undefined--
0.312500   448.451357   1946.054523   2505.155812   3726.291478
0.318750   523.125605   2083.282049   2466.831154   3592.868844
0.325000   2207.108763   2454.362974   3063.156948   4323.105815
0.331250   1797.634623   2208.175798   3135.660501   4300.000948
0.337500   2134.244508   2332.412905   3316.090161   4321.048298
0.343750   1871.550982   2614.282707   3401.228268   4319.024333
0.350000   1858.334813   2690.564343   3453.221516   4304.062422
0.356250   307.744653   1926.407715   2591.765311   3629.529557
0.362500   239.723767   1966.419553   2588.403147   3935.102624
0.368750   1922.937873   2586.344355   4247.231400   4383.862134
0.375000   1904.242606   2648.587515   3751.418865   4336.549170
0.381250   1259.985994   2023.139689   2794.440583   4312.380784
0.387500   498.755043   2030.170352   2593.412394   4245.728613
0.393750   553.555784   1950.154928   2479.648735   3700.444407
0.400000   475.826780   1956.316145   2652.133170   3564.042713
0.406250   314.288814   1982.227804   2548.234970   3455.852004
0.412500   342.357003   1842.105736   2622.120760   3345.380751
0.418750   235.522143   1825.976809   2560.451172   3341.886864
0.425000   488.195435   1849.167013   2563.777125   3340.988881
0.431250   470.352419   1982.823924   2543.495570   3165.556418
0.437500   384.431924   2084.982971   2574.906476   3152.040172
0.443750   455.804790   1817.910748   2507.987523   3601.155251
0.450000   498.396095   1875.201828   2495.570447   3564.287424
0.456250   439.562075   1811.448281   2562.087816   3565.196552
0.462500   397.098756   1962.309405   2406.279286   3549.020194
0.468750   352.337041   2063.592324   2288.650694   3700.478020
0.475000   419.974117   1908.893535   2315.342430   3634.921410
0.481250   281.842509   1844.211053   2262.019606   3545.757787
0.487500   344.425701   1847.132135   2415.858778   3592.133218
0.493750   386.618358   1894.455438   2509.050461   3631.881003
0.500000   401.124056   1853.527080   2593.693021   3603.316120
0.506250   287.102368   1800.457989   2540.936224   3480.122020
0.512500   106.880479   1766.628245   2364.931319   3565.817895
0.518750   1757.291107   2226.019910   3409.969500   4334.396839
0.525000   243.056651   2003.978285   2625.384675   3545.589927
0.531250   234.605161   1863.245442   2438.710438   3767.025814
0.537500   79.532310   1874.622097   2518.134847   4101.460622
0.543750   1942.677090   2566.275744   --undefined--   --undefined--
0.550000   295.167584   1969.016536   2566.413160   4219.049448
0.556250   280.850969   1912.301353   2559.033139   4147.866843
0.562500   188.671248   1901.265031   2642.702780   4202.930658
0.568750   186.781272   2023.750409   2724.463947   3222.204311
0.575000   236.758383   1916.099250   2539.446262   3630.230825
0.581250   266.760489   1870.343839   2540.595284   3632.079340
0.587500   311.028915   1865.058092   2480.462858   3499.303188
0.593750   124.024159   1940.289842   2510.116846   3408.859808
0.600000   256.147320   2116.673640   2566.726242   3598.051164
0.606250   244.548886   1988.838495   2511.605194   3652.090000
0.612500   243.743428   1847.353088   2461.775364   3340.207779
0.618750   274.636719   1906.087992   2568.188410   3232.133119
0.625000   261.844342   1873.864563   2527.219341   3290.939088
0.631250   2024.710461   2267.558267   2715.910524   4335.978116
0.637500   100.510844   1905.968289   2440.569568   3332.053383
0.643750   269.121028   1779.510653   2552.219662   3390.982052
0.650000   320.428088   1765.957562   2545.248419   3450.499596
0.656250   321.642856   1940.589344   2483.269822   3484.771263
0.662500   294.036023   1908.646060   2351.505661   3248.477682
0.668750   145.125870   1787.164172   2419.496762   3366.743737
0.675000   240.679227   1853.011925   2425.457011   3551.595837
0.681250   299.045797   1824.198034   2486.337932   3442.456030
0.687500   261.181695   1808.318136   2499.012807   3368.403232
0.693750   234.872406   1759.843446   2517.647427   3441.900246
0.700000   236.954467   1732.991024   2381.657718   3624.346095
0.706250   257.418511   1756.119649   2448.711963   3351.516623
0.712500   234.964464   1702.363636   2428.163846   3236.361692
0.718750   237.344691   2128.850849   2168.350946   2995.588285
0.725000   299.586472   1904.065539   2477.538250   2859.560330
0.731250   274.400784   1695.491562   2487.693293   3228.819304
0.737500   269.128331   1610.067672   2304.002679   3394.272574
0.743750   293.598664   1669.304115   2372.311926   3358.986542
0.750000   349.061223   1733.640844   2398.342342   3603.446485
0.756250   260.978123   1645.734824   2356.958005   3404.199414
0.762500   244.428384   1517.989899   2430.698193   3450.144609
0.768750   264.176128   1459.987319   2346.919915   3485.463038
0.775000   263.601889   1507.893716   2425.350349   3624.715226
0.781250   306.535471   1900.007085   2775.137031   4083.559597
0.787500   494.541482   1847.708748   2836.049559   4127.104199
0.793750   284.622825   1464.809422   2708.515677   4355.950666
0.800000   276.603773   1449.379347   2595.690062   3913.186966
0.806250   299.140976   1633.202447   2316.568076   3490.990915
0.812500   303.979051   1582.030242   2248.967412   3269.028392
0.818750   268.304369   1071.747630   2136.701986   3298.577096
0.825000   396.878289   1877.125788   2996.887423   4154.408029
0.831250   351.798368   1687.058600   2757.604130   3945.450827
0.837500   684.003065   1804.909796   3030.342257   4467.247089
0.843750   842.422329   1982.372453   3161.872994   4462.782227
0.850000   538.717346   1796.123138   3027.353510   4256.734436
0.856250   256.420606   1939.399604   2833.848466   4022.439303
0.862500   279.513330   1856.453331   2846.899656   4025.676067
0.868750   384.417861   1976.534207   2734.934658   4163.599257
0.875000   304.494115   953.131115   2202.989691   3222.940685
0.881250   1105.613073   2071.463250   3192.856437   4330.184015
0.887500   1160.301451   2066.430885   3202.967866   4320.143990
0.893750   1212.766527   2053.205372   3221.869543   4324.532769
0.900000   1528.273426   2247.130472   3112.998420   4362.838303
0.906250   1466.564952   2315.446402   2916.799640   4347.018754
0.912500   1503.944166   2379.693278   3888.913566   4297.555752
0.918750   1546.140539   2402.030133   3405.609862   4339.286804
0.925000   1582.319195   2432.853715   3355.379651   4348.557256
0.931250   1778.457762   2527.476123   3507.297108   4521.753537
0.937500   1979.496625   2484.628867   --undefined--   --undefined--
0.943750   285.742462   2200.703557   2485.854655   3974.636052
0.950000   279.560039   2297.614733   2390.803233   3916.034708
0.956250   284.812761   1686.824767   2472.158186   3801.463582
0.962500   287.182106   1609.189582   2496.254610   3842.542690
0.968750   284.803908   1611.105025   2486.422845   3612.100831
0.975000   282.387812   1546.118906   2493.594707   3561.593474
0.981250   275.170827   1696.820923   2495.295806   3651.412861
0.987500   283.419379   1779.154438   2477.536187   3856.997931
0.993750   294.839027   1791.846261   2342.243691   3501.563091
1.000000   300.192767   1953.623880   2291.279621   3485.296678
1.006250   307.507423   2141.841329   2602.915466   4272.478346
1.012500   294.594428   2000.965793   2281.283294   3477.044165
1.018750   280.573949   1711.054346   2376.829021   3288.432570
1.025000   285.616351   2403.075060   2986.367487   4338.092891
1.031250   288.572346   2412.812846   2689.373386   4231.176365
1.037500   280.832724   2438.498924   2706.035468   4369.791936
1.043750   277.531178   2385.145005   3036.478165   4587.585896
1.050000   275.431258   2304.552168   2753.976092   4122.111244
1.056250   277.083636   2321.760399   2687.534243   4200.541106
1.062500   275.941353   2311.860099   2678.553374   4243.317054
1.068750   279.978060   2320.539111   2631.857928   4251.424948
1.075000   272.837026   2312.952334   2704.403352   4264.235065
1.081250   266.979536   2330.834992   2590.529031   4367.144012
1.087500   259.890143   2252.645928   2502.511279   4396.910408
1.093750   250.256621   2178.829652   2529.089290   4375.168600
1.100000   262.199270   2072.685538   2544.382064   4339.198729
1.106250   259.262054   2032.353251   2536.630711   4330.037906
1.112500   249.916962   2047.587308   2591.098530   4232.572114
1.118750   269.951390   2015.180329   2586.852210   4262.177905
1.125000   336.021431   1935.619108   2553.271303   4234.203007
1.131250   417.686420   1949.079814   2561.030585   4228.786862
1.137500   467.954535   1906.067376   2672.833522   4288.626656
1.143750   354.918614   1868.110353   2876.711511   4310.426459
1.150000   269.452480   1864.946786   2748.400524   4280.168628
1.156250   170.400288   1981.835437   2977.117561   4355.068471
1.162500   128.542218   1897.573987   3483.233356   4568.118498
1.168750   292.859893   1919.714140   3129.777044   4441.497810
1.175000   348.958325   1902.469847   2889.298611   4368.385000
1.181250   320.935102   1810.470973   2880.670578   4273.674763
1.187500   1831.221312   2988.238142   4259.079785   4537.383011
1.193750   1795.406207   2522.512985   4254.744569   4356.534384
1.200000   1790.470073   2308.709755   4198.486607   4417.187631
1.206250   1903.939526   2329.052986   4109.573612   4440.190578
1.212500   1801.156519   2126.090958   4106.802849   4432.661172
1.218750   1682.515049   2214.579756   3821.335204   4138.499313
