Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1153.768687   1780.862426   2787.680284   4068.574817
0.031250   1327.830136   1904.540246   2811.741494   4084.656591
0.037500   1707.689801   1717.107759   2766.222662   4019.692482
0.043750   437.863973   1605.427917   2577.655407   3490.294489
0.050000   956.928688   2047.877679   3300.186490   4107.694425
0.056250   1027.171790   2021.424043   3190.096638   4433.376987
0.062500   701.331873   1835.969849   2677.089580   3947.993999
0.068750   1044.478162   2100.235199   2793.079794   3970.265744
0.075000   1164.056007   2176.823120   2847.048549   4024.810221
0.081250   1214.365631   2396.368328   2950.451806   4056.424453
0.087500   1263.086236   2399.870720   3208.495651   4165.039932
0.093750   1234.276624   2392.510650   3349.921502   4325.040194
0.100000   1231.733727   2485.159403   3258.195801   3743.527520
0.106250   972.486301   1552.595196   2703.557973   3885.279344
0.112500   1327.595069   2095.396478   2745.448628   3982.848524
0.118750   1258.665646   2255.330278   2915.181150   3932.696515
0.125000   1231.920095   2539.906179   2616.781362   3879.594571
0.131250   1063.518156   2276.413539   2819.720010   4021.540346
0.137500   797.263643   1965.138896   2948.743057   4052.832366
0.143750   545.673819   1785.344452   2958.193856   3616.054725
0.150000   1586.291505   2473.346876   3423.858371   4632.523431
0.156250   182.636712   1534.459230   2566.510858   3527.573198
0.162500   1550.095802   2735.309804   --undefined--   --undefined--
0.168750   1857.471053   2809.520630   --undefined--   --undefined--
0.175000   437.030691   1855.333537   2577.236922   3794.787988
0.181250   543.375236   1925.551982   2562.406010   3716.759921
0.187500   302.884380   1868.489624   2950.695471   3842.469220
0.193750   946.576439   2706.738644   2830.005579   3928.838280
0.200000   672.042125   1863.273693   2939.847645   3160.853789
0.206250   1061.600808   1727.216411   3040.745501   4081.045679
0.212500   1329.108172   1911.281913   3231.971740   4120.172808
0.218750   1179.567226   2234.878482   3292.942550   4128.773441
0.225000   1233.195890   2281.309877   3061.690443   4040.713704
0.231250   1258.733801   2575.264803   3204.412989   4450.392632
0.237500   1108.404996   2063.495010   3093.896277   4039.058840
0.243750   1000.302075   1998.927808   3173.904139   4070.458921
0.250000   1176.698263   2316.097175   3370.418128   4416.183682
0.256250   1292.154893   2539.532686   3486.469120   4381.374826
0.262500   1262.078476   2194.665074   2966.846314   3900.001359
0.268750   1297.694422   2494.051298   --undefined--   --undefined--
0.275000   309.342119   1535.272544   2361.283388   3492.213184
0.281250   685.488958   2196.716709   3297.031115   4515.288750
0.287500   521.020050   1286.897400   2787.086934   3533.336581
0.293750   448.950284   1584.198650   2900.001909   4135.015351
0.300000   440.460211   1732.462684   3205.947544   4255.589873
0.306250   437.113489   1836.459830   3153.541468   3882.905603
