Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025694   623.944749   1618.791673   2515.217237   3570.441953
0.031944   1294.837413   1737.705720   3008.497177   3798.533477
0.038194   1485.276903   1555.224688   3062.883947   3908.526691
0.044444   1424.773154   2976.743653   3465.728916   4351.617751
0.050694   216.852142   1454.888016   2867.439745   3384.476132
0.056944   1435.335608   2644.063807   3492.523306   4467.704906
0.063194   1402.243341   2516.056401   3452.153166   4477.287667
0.069444   366.763218   1364.947333   2679.164611   3429.536256
0.075694   162.396912   1374.415969   2662.568760   3447.193456
0.081944   1364.402733   2549.657432   3372.248859   4384.509470
0.088194   358.588881   1359.049982   2609.611744   3422.575625
0.094444   1323.401179   2662.890888   --undefined--   --undefined--
0.100694   1397.461741   2684.147521   --undefined--   --undefined--
0.106944   1435.091794   2537.002771   --undefined--   --undefined--
0.113194   1390.967380   2448.623562   3536.569440   4690.061690
0.119444   175.178942   1422.785765   2555.375233   3363.099107
0.125694   171.126998   1438.564583   2587.596284   3373.383374
0.131944   1395.467863   2376.008214   3264.460088   4358.018443
0.138194   1408.297900   2340.738347   3334.683867   4427.405566
0.144444   363.707568   1431.613227   2473.255121   3382.458890
0.150694   420.085687   1444.339302   2484.643016   3253.779398
0.156944   1466.737476   2626.348341   3410.011632   4466.384709
0.163194   1446.340223   2382.090107   3402.239675   4486.782113
0.169444   1410.195194   2424.489848   3286.492245   4417.770769
0.175694   409.078420   1443.047252   2585.187184   3412.471256
0.181944   440.983979   1467.022826   2544.003423   3433.150261
0.188194   307.859267   1452.330009   2560.293739   3526.077215
0.194444   1457.689728   2702.047984   3492.957509   4633.519009
0.200694   1466.187190   2618.552211   --undefined--   --undefined--
0.206944   294.414359   1470.170280   2588.618994   3389.037446
0.213194   368.323955   1436.434072   2560.352684   3483.090081
0.219444   178.048849   1422.545881   2496.467473   3498.008996
0.225694   1397.850963   2365.411643   3386.818410   4474.400087
0.231944   1454.070956   2434.383868   3338.031417   4515.147861
0.238194   1429.263144   2535.343057   3347.535312   4433.942235
0.244444   1474.085232   2568.810464   3269.907807   4376.812846
0.250694   1474.252649   2550.769709   3412.742512   4415.732149
0.256944   1445.532717   2501.306988   3461.164998   4394.657299
0.263194   1445.278366   2385.559778   3373.931815   4335.793745
0.269444   1464.548691   2471.915560   3408.394094   4522.803198
0.275694   1522.568623   2491.601114   3341.836617   4417.362024
0.281944   1427.733887   2402.341210   3103.895495   4319.096835
0.288194   1536.829389   2396.376962   3021.713489   4334.463983
0.294444   1573.425588   2642.404174   3182.299864   4355.292095
0.300694   1462.703502   2500.584641   3321.297848   4414.179491
0.306944   1504.636655   2376.005018   3377.291518   4292.622319
0.313194   1513.443128   2577.697371   3382.506075   4305.206790
0.319444   145.615397   1526.934011   2569.827041   3313.769020
0.325694   1513.075744   2516.390727   3302.115479   4373.993563
0.331944   1393.256105   2378.844776   3260.927319   4414.812055
0.338194   1417.937934   2649.118679   2698.395318   3687.924526
0.344444   1540.724960   2340.212189   3477.135091   4289.829361
0.350694   1501.608612   2437.601097   3415.245044   4592.611938
0.356944   1568.522236   2485.467527   3079.397436   4588.369196
0.363194   1434.436305   2453.554887   3030.560380   4456.783830
0.369444   1456.539009   2814.225173   3805.018925   4744.192002
0.375694   1230.596111   2533.592857   3419.766878   4182.618489
0.381944   1468.550691   2570.455634   3398.636107   4267.204979
0.388194   1431.463746   2768.500216   3582.806454   4441.952625
0.394444   1374.362093   2809.653566   3643.111424   4701.237018
0.400694   1090.613936   2596.616068   --undefined--   --undefined--
0.406944   216.730190   1285.171926   2499.449985   3721.355997
0.413194   252.607241   2024.367507   2974.770405   4033.792547
0.419444   476.858865   1974.218148   2969.896922   4035.715056
0.425694   774.240965   2361.183316   3170.403523   3688.670591
0.431944   864.779847   2090.410018   3094.417754   3932.951726
0.438194   1305.274917   2465.406253   3562.074574   4442.771305
0.444444   1350.432352   2525.364134   4009.069028   4790.162213
0.450694   1040.659705   1947.069844   2867.865117   4190.043336
0.456944   1714.347204   2708.195423   3149.894979   4397.297507
0.463194   1713.666590   2688.679912   3207.893186   4464.764750
0.469444   1418.109669   2403.945396   3191.530943   4363.603566
0.475694   1431.516801   2381.925225   3274.781404   4360.555907
0.481944   1337.144413   2284.368443   3308.208457   4225.117286
0.488194   1466.422523   2294.694548   3244.760237   3934.436475
0.494444   1553.443405   2335.589917   3243.790728   3897.226381
0.500694   1516.952050   2277.222274   3217.921423   3824.421507
0.506944   199.969342   2206.857796   2955.338193   3749.364095
0.513194   214.638842   2252.947521   3122.015123   3667.552456
0.519444   228.415569   2001.560603   2722.840152   3377.037751
0.525694   276.030112   1725.346031   2529.201953   3366.553647
0.531944   300.632739   1741.592668   2557.165676   3317.433358
0.538194   309.438774   1795.469652   2616.906099   3287.768549
