Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   1320.301837   2112.757836   2238.864639   3515.698817
0.031250   1011.044486   1917.308275   2486.788703   3527.658284
0.037500   1126.775768   1889.459413   2780.696885   3751.020740
0.043750   1010.062339   1891.112537   2946.392447   3880.153245
0.050000   925.430978   1830.514573   3112.270415   3969.575085
0.056250   1016.328241   1760.120924   3026.024547   3845.273747
0.062500   1210.189320   1804.096055   2771.699288   3807.129364
0.068750   1460.559827   1990.223100   2645.018113   4015.907761
0.075000   1238.492925   2401.391936   3027.923746   4000.620881
0.081250   937.360537   1851.593532   3045.951451   3758.541102
0.087500   1119.846678   1970.285716   3089.156301   3890.848453
0.093750   1070.596700   2158.721912   3140.686187   4072.357859
0.100000   1098.966687   1933.364806   2998.258507   3947.624852
0.106250   1146.730341   1907.710053   2850.937231   3852.958177
0.112500   1158.818294   1930.296571   2929.415526   3671.169395
0.118750   1128.429994   1889.058302   2864.969633   3754.185345
0.125000   1350.885975   2117.372447   2929.731499   3773.414194
0.131250   1219.971088   2162.219168   2846.431124   3817.846986
0.137500   1188.564184   2239.298235   2964.784828   3810.947945
0.143750   1398.078461   2530.352003   3562.749115   3919.048146
0.150000   1126.253245   2191.089146   3088.764081   3997.465734
0.156250   1201.325871   2057.739945   3246.038034   3978.075580
0.162500   1419.983659   2104.997519   3570.544687   4030.233981
0.168750   1173.429658   2062.415775   3472.396167   4162.720777
0.175000   1252.748917   2110.730728   3260.154419   4112.809805
0.181250   1247.655741   2019.853892   3138.651434   4097.428688
0.187500   950.193944   2013.328237   2934.990056   4000.972842
0.193750   932.682269   2013.183568   2777.916524   3754.888152
0.200000   997.162499   1942.330689   2818.864708   3777.797018
0.206250   1111.649907   1963.030808   2959.566752   3866.994405
0.212500   1093.278659   2096.622386   2960.035508   3682.906714
0.218750   999.758525   2072.924295   3210.417827   4007.078113
0.225000   1067.861821   2130.439567   3124.371402   4002.981768
0.231250   1144.257739   2169.226064   3181.581313   3871.013522
0.237500   1024.474205   2265.226760   2696.681909   3800.892619
0.243750   1104.755999   2225.634695   3181.871481   4095.928104
0.250000   1099.584563   1918.441445   3150.505875   4107.892016
0.256250   1111.934876   1862.160498   3101.782336   4091.263192
0.262500   1157.258302   2277.257994   3254.869406   4046.223354
0.268750   1037.787497   2136.776269   3274.901296   3751.551564
0.275000   937.463377   2027.790505   3034.732918   3731.246321
0.281250   1003.533548   2015.670359   2868.919711   3833.118656
0.287500   942.842127   1981.948099   2830.528486   3800.025140
0.293750   1083.719498   2177.135353   3092.812937   3839.634515
0.300000   1140.032283   2187.283172   3165.552406   3905.389397
0.306250   1145.647047   1749.818027   2740.596888   3761.655587
0.312500   1124.584707   1742.449253   2808.193607   3669.442639
0.318750   900.309538   1608.734712   2722.002017   3685.538374
