Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   586.303861   1574.569132   2608.515774   3870.444311
0.031250   578.634756   1849.727278   2711.737357   3641.076648
0.037500   438.892625   1756.329426   2740.659718   3680.894361
0.043750   1438.569095   2612.518343   --undefined--   --undefined--
0.050000   1461.963500   2667.499532   --undefined--   --undefined--
0.056250   1515.946424   2663.026550   --undefined--   --undefined--
0.062500   1500.667777   2549.675286   --undefined--   --undefined--
0.068750   804.008805   1607.401835   2568.740679   3620.265427
0.075000   538.401999   1704.494354   2786.652418   3616.181539
0.081250   297.865788   1701.050300   2559.818631   3713.671544
0.087500   1431.999683   2282.266773   --undefined--   --undefined--
0.093750   1430.874664   2278.230105   --undefined--   --undefined--
0.100000   1726.529587   2499.101235   --undefined--   --undefined--
0.106250   1561.289509   2517.184908   --undefined--   --undefined--
0.112500   1582.772421   2696.472568   --undefined--   --undefined--
0.118750   1517.859451   2561.081103   --undefined--   --undefined--
0.125000   677.738626   1982.228810   2379.304177   3406.146708
0.131250   692.340759   1799.563337   2716.827448   3537.665597
0.137500   714.559655   1605.043308   2623.994022   3601.666909
0.143750   206.230697   1525.465239   2692.546123   3617.057008
0.150000   1421.177471   2687.875549   --undefined--   --undefined--
0.156250   784.412366   1575.438094   2534.603543   3608.755500
0.162500   1439.855205   2360.876340   --undefined--   --undefined--
0.168750   1524.580435   2614.578151   --undefined--   --undefined--
0.175000   1809.635606   2608.592374   --undefined--   --undefined--
0.181250   588.865116   1912.589461   2476.001989   3663.111600
0.187500   923.857173   1828.260498   2316.976725   3621.837219
0.193750   983.044459   1145.651020   2490.850276   3652.526174
0.200000   1490.181088   2463.754088   --undefined--   --undefined--
0.206250   125.536611   1548.619077   2680.267721   3589.851419
0.212500   1604.099377   2714.529024   --undefined--   --undefined--
0.218750   1790.106878   2649.199099   --undefined--   --undefined--
0.225000   751.358088   1788.252544   2649.594045   3586.283481
0.231250   805.948222   1827.817432   2695.156725   3634.956637
0.237500   706.487417   1823.816800   2692.263384   3816.693814
0.243750   770.936015   1153.146070   2394.406173   3669.247798
0.250000   1562.771207   2444.285148   --undefined--   --undefined--
0.256250   430.414587   1539.006626   2672.777646   3609.094151
0.262500   769.633821   1704.563841   2613.327409   3679.955043
0.268750   630.835101   1740.800613   2911.227698   3652.474699
0.275000   508.721777   1665.997632   2769.363173   3653.653817
0.281250   275.571769   1585.903065   2658.650433   3596.931884
0.287500   1264.420291   2500.320715   --undefined--   --undefined--
0.293750   192.609621   1496.983802   2650.807627   3606.124538
0.300000   1471.728219   2475.735927   --undefined--   --undefined--
0.306250   553.052188   1941.978819   2989.912151   3216.373636
0.312500   594.899304   1875.006280   2748.659895   3575.565272
0.318750   282.915057   1679.356049   2741.438380   3539.800232
0.325000   260.050791   1545.798699   2796.190599   3590.335906
0.331250   1462.228948   2759.295979   --undefined--   --undefined--
0.337500   1428.337167   2524.100981   --undefined--   --undefined--
0.343750   1440.077978   2449.925751   --undefined--   --undefined--
0.350000   1152.024651   2382.359666   --undefined--   --undefined--
0.356250   699.603745   1905.477902   2541.133764   3727.259505
0.362500   592.519282   1919.665281   2807.246378   3745.887585
0.368750   577.133067   2001.330535   2648.954225   3598.733648
0.375000   694.744072   1902.955443   2668.566260   3727.418555
0.381250   746.802049   1699.805910   2582.612547   3764.221353
0.387500   239.633576   1242.831613   2518.113794   3741.551461
0.393750   1401.976834   2488.754615   --undefined--   --undefined--
0.400000   1496.180835   2453.915416   --undefined--   --undefined--
0.406250   1555.223291   2485.151498   --undefined--   --undefined--
0.412500   1575.690776   2506.618342   --undefined--   --undefined--
0.418750   451.495569   1705.460403   2683.001518   3703.425305
0.425000   281.500552   1531.668510   2729.430179   3685.395243
0.431250   1548.608647   2659.007288   --undefined--   --undefined--
0.437500   1517.332294   2577.212265   --undefined--   --undefined--
0.443750   626.437426   1771.509957   2774.879387   3562.097109
0.450000   604.644553   1840.999098   2766.058502   3531.435417
0.456250   659.694015   1947.945743   2752.335726   3439.910165
0.462500   1516.749175   2626.046703   --undefined--   --undefined--
0.468750   1712.570433   2511.808188   --undefined--   --undefined--
0.475000   648.234984   1968.286985   2753.942260   3623.181429
0.481250   609.109161   1825.272662   2702.864751   3589.286497
0.487500   641.210362   1836.416339   2783.978748   3684.243252
0.493750   688.263097   1931.371136   2641.360651   3599.853339
0.500000   1550.345076   2521.596338   --undefined--   --undefined--
0.506250   1650.318683   2603.697782   --undefined--   --undefined--
0.512500   461.140446   1740.831113   2744.489539   3790.554993
0.518750   332.724245   1403.770469   2423.520642   3442.079207
0.525000   1059.897059   1985.108339   2903.280324   3846.350633
0.531250   1019.639606   1931.127852   2908.476339   3912.316812
0.537500   1054.826046   1976.938740   2968.914122   3931.887817
0.543750   1065.957704   2024.089095   3184.756592   3999.205028
0.550000   1030.802487   1957.891947   3035.292233   3932.368378
0.556250   823.072699   1822.689579   2806.581210   3794.061275
0.562500   412.546543   1416.894829   2418.527043   3478.616317
0.568750   1024.024418   1989.745132   2897.346372   3800.152771
0.575000   932.037908   2157.063312   2992.726166   3820.710696
0.581250   423.199942   2139.514155   2968.870935   3801.202472
0.587500   497.820118   1491.757775   2831.813825   3625.239491
0.593750   571.106202   1498.436226   2810.113789   3575.818761
0.600000   339.368938   1472.657237   2799.891902   3548.340259
0.606250   155.262727   1507.922626   2896.762847   3570.236377
