Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1089.784594   2222.052045   3509.010271   4524.692803
0.034375   1087.615283   2253.097751   3529.323586   4495.910311
0.040625   1271.277884   2261.786188   3464.752338   4489.767949
0.046875   1676.340644   2449.089450   3621.238871   4451.751293
0.053125   1630.951068   2568.710833   3492.315628   4381.428671
0.059375   1390.364564   2570.967660   3578.597875   4431.424185
0.065625   1518.439146   2426.474613   3570.793262   4479.770248
0.071875   1614.355880   2299.532315   3472.775290   4468.774478
0.078125   1563.411265   2709.299288   3455.800951   4497.859965
0.084375   1635.270272   2500.226674   3574.196360   4592.180695
0.090625   1543.011673   2478.318549   3544.456117   4516.684110
0.096875   1536.155814   2513.452459   3496.810673   4542.733254
0.103125   1877.455068   2279.282209   3487.024188   4488.896260
0.109375   1806.141926   2985.763294   4178.137959   4262.288745
0.115625   1892.877356   2858.020982   3603.350753   4337.001078
0.121875   1742.125061   2375.021479   3685.382487   4505.876387
0.128125   1426.723576   2399.716077   3592.250261   4517.574384
0.134375   1495.285365   2387.795562   3455.722916   4524.243887
0.140625   1615.681190   2541.220976   3507.258046   4496.826941
0.146875   1579.172348   2490.338935   3594.685834   4560.220078
0.153125   1624.392720   2388.646902   3516.451303   4626.665213
0.159375   1608.058402   2434.647995   3525.752076   4528.358794
0.165625   1498.821147   2662.065437   3677.005178   4426.295182
0.171875   1539.020054   2700.964628   3648.670470   4384.210199
0.178125   1430.128511   2681.816715   3570.563152   4504.927631
0.184375   1637.233900   2786.795258   3544.303970   4477.483480
0.190625   1507.807624   2609.183718   3443.301478   4608.257971
0.196875   1429.823640   2499.743128   3650.405622   4530.319465
0.203125   1534.888235   2422.446051   3481.746078   4540.863708
0.209375   1839.637791   2384.026443   3403.088633   4512.063717
0.215625   1816.622344   3109.122744   3156.674789   4433.151142
0.221875   1853.070072   2728.221337   3199.218090   4447.428231
0.228125   1616.099164   2906.256752   3129.766799   4386.052555
0.234375   1466.767453   2746.012655   3601.167081   4361.660915
0.240625   1579.050541   2614.297221   3528.514538   4573.076331
0.246875   1539.393188   2459.521337   3605.658785   4606.270042
0.253125   1608.856968   2575.830088   3605.083320   4548.219591
0.259375   1643.983198   2740.708396   3749.435551   4411.631968
0.265625   1635.142375   2508.515826   3571.987155   4559.280457
0.271875   1618.636035   2558.483065   3551.835630   4630.816533
0.278125   1606.776746   2598.852416   3536.654840   4656.053742
0.284375   1831.282316   2547.993006   3444.914923   4561.375699
0.290625   1803.984219   2655.376018   3892.647646   4418.002957
0.296875   1676.724870   2458.606148   3717.451910   4427.558340
0.303125   1526.475688   2477.138205   3539.476071   4586.957471
0.309375   1567.260640   2552.965045   3560.236655   4595.326640
0.315625   1566.343170   2594.162617   3751.198326   4466.221241
0.321875   1503.659169   2600.978192   3785.345863   4496.090507
0.328125   1648.308804   2653.134397   3830.268735   4728.190988
0.334375   1602.497382   2656.019160   3751.348981   4616.827146
0.340625   1418.549611   2771.356752   3915.245321   4537.730804
0.346875   1371.701565   2711.120757   3512.903923   4645.218927
0.353125   1512.773177   2629.645401   3676.283982   4639.941262
0.359375   1482.512838   2669.369575   3795.443670   4651.136965
0.365625   1378.054148   2557.737250   3789.129544   4739.070487
0.371875   1488.079038   2563.066906   3779.931625   4661.730253
0.378125   1553.539368   2472.873399   3777.297842   5202.142707
0.384375   2249.317333   2264.457036   --undefined--   --undefined--
0.390625   1653.108233   2311.162488   3612.438117   4746.114050
0.396875   1446.276217   2546.684220   3658.579045   4822.650062
0.403125   1672.101031   2585.208746   3674.866038   4832.294373
0.409375   1730.390601   2874.305143   --undefined--   --undefined--
0.415625   1559.961144   2893.957468   --undefined--   --undefined--
0.421875   1688.317432   2933.510384   --undefined--   --undefined--
0.428125   1590.864889   2917.817836   --undefined--   --undefined--
0.434375   1543.832340   2718.602914   3720.867353   5063.683968
0.440625   1696.206763   2651.878263   --undefined--   --undefined--
0.446875   1611.641514   2748.515059   --undefined--   --undefined--
0.453125   1601.385760   2646.311413   --undefined--   --undefined--
0.459375   1454.694263   2665.942650   3807.230269   4942.014916
0.465625   1496.661234   2860.946067   4012.587363   5001.810174
0.471875   1683.709342   2942.133281   --undefined--   --undefined--
0.478125   1930.116987   3264.202716   --undefined--   --undefined--
0.484375   1812.943723   3060.883278   --undefined--   --undefined--
0.490625   1701.843613   2929.453295   --undefined--   --undefined--
0.496875   1650.336918   2965.642815   --undefined--   --undefined--
0.503125   1600.409214   2855.505769   --undefined--   --undefined--
0.509375   1484.077686   2732.104047   --undefined--   --undefined--
0.515625   1602.048093   2886.324923   --undefined--   --undefined--
0.521875   1845.408312   2846.999220   --undefined--   --undefined--
0.528125   667.507330   1645.814671   2833.533588   4049.743924
0.534375   1566.510045   2810.463156   --undefined--   --undefined--
0.540625   1103.069089   2525.793414   3046.661323   4237.520000
0.546875   1381.866891   2487.414253   3480.934751   4238.246471
0.553125   1631.765806   2772.116892   --undefined--   --undefined--
0.559375   512.008087   1632.420490   2850.516833   4187.888123
0.565625   1486.782411   2781.819311   --undefined--   --undefined--
0.571875   210.572183   1747.064678   3131.437183   4126.774100
0.578125   449.820135   1845.839557   3104.533400   3935.442364
0.584375   448.366833   1865.601207   2953.152360   3832.982540
0.590625   355.328642   1806.647988   2551.209365   3651.166558
0.596875   687.930695   1791.629555   2433.583720   3581.950699
0.603125   810.133377   2006.323081   2418.131517   3675.538440
0.609375   872.323874   1983.921665   2452.527437   4152.263233
0.615625   1006.414558   1921.648491   2585.886415   4128.092536
0.621875   827.655558   2032.834820   2682.718045   3886.215866
0.628125   461.650237   2003.464168   2727.085941   3806.185382
0.634375   394.202580   2119.724701   3078.698060   4479.094160
0.640625   462.199135   2139.849911   3115.707827   4351.242813
0.646875   484.796784   2145.958646   3081.317966   4341.559096
0.653125   489.753361   2244.515971   3053.201253   4378.033867
0.659375   487.045606   2323.259507   2890.631795   4226.869583
0.665625   460.613195   2422.992489   2962.089697   4249.987525
0.671875   425.279778   2653.141206   3279.619481   4626.406814
0.678125   416.188601   2695.914593   3662.810941   4573.129695
0.684375   406.309857   2772.462922   4010.535056   4681.672519
0.690625   375.616703   2775.627688   3929.654530   4649.292562
0.696875   339.826967   2735.520760   3456.409245   4536.079862
0.703125   324.632062   2702.349307   3309.028765   4547.665324
0.709375   309.650498   2614.494109   3341.404520   4531.329307
0.715625   298.039371   2511.487246   3336.304396   4491.998598
0.721875   286.971106   2430.464274   3314.434837   4515.755875
0.728125   263.361829   2263.319162   3230.989935   4351.578957
0.734375   243.352785   2353.213582   3242.615500   4320.542053
0.740625   361.609982   2384.388634   3211.680372   4358.937463
0.746875   1255.810506   2232.074851   3057.322498   4346.934627
0.753125   1325.762678   2201.114595   3582.399096   4857.451062
0.759375   1360.413205   2294.324185   3599.996648   4282.248086
0.765625   1203.745374   2187.995368   3301.000477   4298.456077
0.771875   1182.967326   2091.314546   3361.859998   4398.553711
0.778125   1262.603122   1985.043245   3302.830354   4893.866091
0.784375   1513.221753   1975.944458   3260.600890   4952.804952
0.790625   1939.712453   2524.754670   3472.225936   4982.508245
0.796875   1667.478541   2013.942158   3296.769321   5076.490089
0.803125   1917.484388   1949.682788   3161.905517   4876.842956
0.809375   1882.181758   2683.799318   2711.882320   4354.623392
0.815625   1824.175604   2402.167393   3582.006405   4763.695979
0.821875   1810.237836   2292.348180   3613.342558   4782.468294
0.828125   1157.571306   1949.875570   3023.175425   4072.263054
0.834375   778.923774   1898.875773   2943.863816   3986.890396
0.840625   1660.673259   2144.972974   3279.905227   4419.489744
0.846875   1026.277485   1969.241916   3119.027268   4053.153778
0.853125   1066.288134   2072.670714   2502.323741   4531.091369
0.859375   1008.023462   1987.680827   2494.496526   4576.668805
0.865625   1002.275329   1868.849335   2542.881888   4528.609511
0.871875   896.514511   1713.986067   2653.756152   4276.327285
0.878125   881.452775   1683.446310   2682.769170   4172.656272
0.884375   1066.263519   1655.819567   3014.747764   4203.838400
0.890625   1207.465721   1637.560475   3360.218901   4150.280505
0.896875   1492.692461   1532.294971   3379.236497   4108.014156
0.903125   753.267451   1463.572526   3303.496134   4123.659228
0.909375   549.618475   1400.863181   3222.602926   4359.709832
0.915625   647.603555   1194.552828   3281.897790   4078.467123
0.921875   734.693171   1143.773395   3488.386175   4069.292677
0.928125   669.900132   1161.336118   3177.052363   3804.352235
0.934375   670.893802   1176.681615   3139.274323   3866.662731
0.940625   703.369949   1253.338081   3208.523029   3922.406786
0.946875   723.933491   1274.211766   3135.251367   3964.127414
0.953125   723.636818   1254.648773   2696.297923   3695.282650
0.959375   727.391853   1239.672062   2542.261030   3588.518880
0.965625   735.041731   1234.122398   2558.458061   3658.035773
0.971875   749.918424   1237.387942   2590.224035   3748.122368
0.978125   748.095490   1231.804891   2542.467390   3798.525812
0.984375   733.456448   1232.498131   2429.869901   3813.040106
0.990625   721.413335   1237.098791   2458.679315   3805.346498
0.996875   721.027893   1255.362791   2683.466183   3582.136154
1.003125   721.774258   1292.932738   2781.231912   3457.049630
1.009375   728.862637   1394.291329   3430.122931   4461.467217
1.015625   711.435939   1452.626252   3358.562917   4391.771160
1.021875   687.066210   1473.378186   3319.664018   4366.993753
1.028125   659.848161   1492.376973   3269.010839   4406.584012
1.034375   616.961753   1528.334391   3459.590553   4633.647685
1.040625   561.294511   1556.304847   3547.460060   4736.233879
1.046875   465.770588   1669.901373   3562.071543   4687.094713
1.053125   938.262178   2050.606387   3701.107770   4492.248905
1.059375   1665.321503   2818.785579   4263.112252   4693.245384
1.065625   1204.715677   1974.741484   3408.210796   4341.746113
1.071875   1756.532233   2057.932801   2646.812802   4281.216860
1.078125   1410.131436   2065.223566   3085.616897   4333.631634
1.084375   1246.788524   2246.821378   3390.957784   4323.620670
1.090625   1328.749253   2101.368793   3320.207215   4353.573670
1.096875   1315.205873   1908.888132   3169.737327   4415.862750
1.103125   1306.994999   1948.027787   3148.598120   4411.737765
1.109375   1199.056303   2008.036409   3272.322857   4420.209436
1.115625   1218.071369   2055.252331   3605.097843   4555.063114
1.121875   1184.352601   2222.162612   3405.314964   4395.969053
1.128125   1152.034948   2084.381707   3454.204091   4455.421299
1.134375   1372.805203   1961.281947   3533.313997   4411.825893
1.140625   1616.992002   1978.332573   3627.555554   4751.302933
1.146875   1382.466961   1946.084134   3458.782664   4663.212820
1.153125   1268.828473   1947.592984   3347.084570   4636.875180
1.159375   1381.004625   2342.916398   3650.926706   4850.851977
1.165625   1387.231276   2460.471125   3765.722006   4919.188088
1.171875   1621.867561   2528.152274   3880.094264   4508.471285
1.178125   1027.798640   2204.915963   3782.738449   3997.390711
1.184375   1173.548356   2184.864637   3350.712484   4496.592784
1.190625   1353.804787   2613.162512   3809.464664   4268.660113
1.196875   1134.050304   2442.009583   2537.816111   4004.452784
1.203125   997.024333   2108.632562   2820.028238   4041.481051
1.209375   898.539944   1995.015194   2851.368321   4057.472881
1.215625   824.253911   1940.398394   3208.390046   4499.166007
1.221875   542.009362   1877.571239   3356.175212   4530.815778
1.228125   569.120006   1908.208475   3368.345476   4558.281857
1.234375   603.350628   1971.499538   2386.044680   4223.165228
1.240625   664.388185   2019.534476   3916.035963   4482.788504
1.246875   702.529421   2033.250525   3607.005945   4565.764266
1.253125   716.526339   2040.505691   3495.834213   4536.523758
1.259375   730.732159   2055.159963   3328.972572   4473.091092
1.265625   746.566081   2063.901857   3254.483574   4385.425789
1.271875   754.994465   2069.431633   3298.256731   4287.009841
1.278125   764.847686   2088.230342   3380.960774   4318.772329
1.284375   772.702899   2084.586769   3288.714825   4325.535606
1.290625   774.932472   2091.118092   3401.577720   4445.856489
1.296875   778.050888   2079.349542   2223.200821   3520.732073
1.303125   786.519468   2040.870452   2304.621584   3454.597952
1.309375   797.179344   2008.362608   2685.073058   3348.763406
1.315625   806.409729   2021.738451   3419.293641   3823.272903
1.321875   814.081283   2030.104106   3525.326535   3595.234597
1.328125   812.163395   2041.110663   2476.908389   3484.893378
1.334375   808.809962   2056.938690   2312.936808   3414.830099
1.340625   801.579083   2101.845742   2204.579510   3441.757024
1.346875   780.801478   2076.808251   2368.744550   3554.816623
1.353125   742.288439   1897.380572   2302.966257   3816.794813
1.359375   735.032920   1821.923487   2454.593518   3706.237244
1.365625   741.328944   1737.625808   3538.674713   4434.021151
1.371875   730.130970   1648.211068   3556.265332   4511.258450
1.378125   720.118815   1570.384713   3298.705331   3472.165013
1.384375   732.449081   1531.228258   3203.036058   4040.984346
1.390625   758.018864   1520.930578   3268.997323   4367.970190
1.396875   785.880583   1530.852915   3511.260450   3797.681779
1.403125   816.815865   1552.387589   3436.656222   4630.645198
1.409375   814.452517   1521.273873   3430.238933   4248.013953
1.415625   799.276637   1469.087687   3487.007851   4182.038676
1.421875   835.392629   1454.153157   3496.857362   4178.328176
1.428125   819.954017   1378.284894   3446.541471   4048.033131
1.434375   810.638949   1330.216005   3377.136450   3921.409767
1.440625   851.866741   1326.930800   3370.619689   4009.568910
1.446875   867.431275   1302.204523   3292.106054   3999.097267
1.453125   862.318421   1308.212684   3329.626922   3989.771767
1.459375   868.184178   1318.950949   3355.505241   3916.578981
1.465625   876.823351   1323.243166   3168.227382   3850.090397
1.471875   880.359385   1348.168082   3097.226800   3796.643414
1.478125   880.064695   1360.473215   3135.119132   3882.451981
1.484375   847.749840   1337.402141   3145.191782   3916.427174
1.490625   845.217364   1311.656245   3129.896852   3913.421559
1.496875   840.390935   1313.767682   3142.085656   3972.866293
1.503125   848.510430   1333.287524   3089.930664   3998.997220
1.509375   842.438090   1310.447788   3079.091671   4031.742436
1.515625   835.136304   1312.143960   3074.035438   4014.659923
1.521875   848.289881   1306.555829   3121.829030   3966.850607
1.528125   860.850470   1356.343761   3101.385217   3954.885555
1.534375   903.366376   1427.333234   3101.341869   4013.970137
1.540625   919.290330   1433.520302   3103.705794   4049.564929
1.546875   964.822411   1473.981659   3128.738770   3954.539555
1.553125   947.793460   1349.899813   3162.864566   3866.701249
1.559375   1080.842996   1304.794134   3171.957432   3929.989659
1.565625   1220.611330   1278.264593   3188.316235   4050.392644
1.571875   986.962817   1284.663836   3237.317378   4015.624309
1.578125   941.113046   1341.612158   3319.226242   3818.162985
1.584375   951.065853   1437.725677   3289.344381   3735.801979
1.590625   1024.631842   1723.966298   3067.532079   3849.338472
1.596875   991.814295   1834.227620   3392.494399   3763.389510
1.603125   948.207081   1481.478915   3042.729794   3864.049021
1.609375   1162.362090   1243.087335   3027.454976   3951.955875
1.615625   433.007705   1242.268850   3021.097429   3916.125359
1.621875   429.543168   1296.001469   2914.852989   4002.798468
1.628125   622.466995   1266.653059   2934.929771   4082.126211
1.634375   1064.364735   1511.743382   3039.680523   4014.575649
1.640625   994.575572   1533.178290   3063.604075   4049.943756
1.646875   995.710984   1535.882269   2963.156182   4061.087093
1.653125   1003.596629   1545.075402   2879.185541   3981.984347
1.659375   963.314797   1587.981626   2870.112804   3985.874644
1.665625   906.821000   1588.692204   3307.498637   4063.612370
1.671875   861.581338   1597.455619   3318.633362   4045.808967
1.678125   1387.565141   1562.567268   3317.236329   4025.278501
1.684375   1537.345782   1612.889498   3316.852475   3979.972014
1.690625   1554.785206   1675.280484   3298.301327   3928.438334
1.696875   1331.384235   1717.977587   3543.858371   3944.287388
1.703125   1047.148957   1648.951621   3494.932239   3898.086681
1.709375   1253.752086   1626.922977   3746.426525   3816.972859
1.715625   1407.710577   1693.427106   3594.026237   3816.683479
1.721875   1596.991299   1681.718738   3624.195539   3887.574553
1.728125   1599.484407   1661.633200   3699.893251   3703.213628
1.734375   1554.236454   1669.641582   3651.359082   3883.902940
1.740625   1606.073411   1743.746268   3495.718188   4055.807185
1.746875   1496.793164   1956.803495   3434.731160   3935.301193
1.753125   1570.436076   1896.511113   3387.646494   4028.884953
1.759375   1230.278811   1666.080129   3412.886038   3913.669727
1.765625   1164.268656   1655.845395   3448.404678   3915.981012
1.771875   1120.484995   1659.053181   3425.029112   3835.291483
1.778125   1636.956696   1741.289116   3564.567070   3772.356988
1.784375   1188.642035   1693.216321   3443.249617   3808.481841
