Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   775.610291   2235.300184   3203.609617   4921.152888
0.034375   690.763201   2039.846789   3113.785301   3379.553554
0.040625   241.748612   1414.352989   2855.792680   3968.710077
0.046875   1298.431196   2694.455953   3387.061149   4116.374978
0.053125   1051.889876   2449.418053   3309.983589   4231.299831
0.059375   1217.767706   2390.152476   3486.273465   4230.836919
0.065625   1196.630258   2317.449622   3534.083254   4352.069593
0.071875   1126.867836   2319.344652   3309.241207   4446.655918
0.078125   885.912330   1941.929210   2643.625886   3610.473350
0.084375   817.933939   1723.451563   2765.183286   3671.761061
0.090625   1038.299228   1722.934984   2751.182429   3716.016070
0.096875   1133.956491   2440.636950   3658.375997   4811.837884
0.103125   1060.582067   1714.650898   2801.130206   3865.006640
0.109375   987.850341   1980.756247   2995.775746   4360.199519
0.115625   1054.294070   1873.197070   3323.553563   4508.020477
0.121875   1007.493927   1652.876448   2970.155593   3975.708872
0.128125   1060.032183   1615.558916   2984.750820   4322.847223
0.134375   1156.199584   1692.247840   3024.734932   4024.498303
0.140625   983.859736   1469.024597   2903.247196   3895.810915
0.146875   910.426761   2229.142817   3397.731693   4633.485806
0.153125   1043.700942   2197.533575   3373.751228   4529.755923
0.159375   1095.425934   2262.452958   3510.900784   4269.033998
0.165625   1147.754850   2190.053098   3507.604397   4329.946071
0.171875   1013.111785   2025.549485   3458.959148   4285.682001
0.178125   906.328485   1755.650606   2557.232616   3861.154976
0.184375   935.988350   1733.082936   2530.054321   3975.188470
0.190625   799.901001   1816.768673   2636.490550   4004.023962
0.196875   752.879392   1782.864310   2798.866681   4023.912763
0.203125   873.056671   1775.095921   2800.458142   4312.269665
0.209375   1386.573470   1909.415897   3037.593656   4437.522154
0.215625   885.361431   1745.929292   2490.682192   4010.920257
0.221875   1094.864633   1797.677323   2668.237513   4398.071624
0.228125   1048.299563   1727.538280   2627.366860   3997.042414
0.234375   1012.195322   1746.135703   2604.886363   4033.646390
0.240625   824.837003   1798.946326   2534.259038   4171.461672
0.246875   713.995592   1794.834235   2692.886801   4397.877335
0.253125   961.449415   1768.743288   2572.506724   3995.965888
0.259375   917.577015   1691.050323   2433.255488   3828.858631
0.265625   1726.709702   2293.379398   3699.973886   4574.470859
0.271875   817.720292   1782.451264   2574.267447   3837.860303
0.278125   915.068808   1820.338478   2524.367989   3639.316865
0.284375   916.799056   1841.927756   2567.569083   3829.030803
0.290625   381.665400   1812.491704   2491.215970   3859.215425
0.296875   784.005720   1819.552916   2495.307156   3870.323321
0.303125   811.817471   1710.370898   2502.992047   3837.943107
0.309375   746.311439   1752.278976   2508.820754   3797.416184
0.315625   767.683386   1869.443048   2507.019807   3973.043738
0.321875   430.761634   1784.274723   2449.981267   4062.548127
0.328125   1742.267024   2458.023897   --undefined--   --undefined--
0.334375   739.269667   1788.085493   2474.583919   4074.921064
0.340625   696.432347   1820.796127   2602.782131   3820.251329
0.346875   826.876030   1860.910237   2562.501470   3853.123427
0.353125   859.361064   1884.014216   2586.428296   3981.076490
0.359375   541.298263   1867.895435   2505.327636   4025.326059
0.365625   1742.985620   2383.774388   3847.324845   4546.403010
0.371875   746.769074   1847.387672   2458.404256   4206.595506
0.378125   835.272480   1898.130712   2746.114233   4216.768470
0.384375   928.867842   1844.057556   2616.323886   4146.288685
0.390625   872.060499   1833.653889   2564.564115   4064.922562
0.396875   808.218621   1781.090928   2547.482113   4122.189177
0.403125   714.583122   1796.149643   2543.519203   4164.482729
0.409375   680.771267   1836.284852   2604.722819   4195.009960
0.415625   750.910211   1864.294064   2645.837683   4141.077143
0.421875   997.954494   1827.924967   2697.260140   4158.293899
0.428125   952.358512   1775.451123   2565.961771   4151.319240
0.434375   909.863030   1810.403872   2583.913088   4199.734346
0.440625   765.904452   1743.557267   2607.631385   4191.739240
0.446875   926.615141   1733.069944   2972.380433   4248.296982
0.453125   978.462482   1731.968664   2813.439619   4206.343783
0.459375   802.334039   1743.210677   2561.285445   4184.374827
0.465625   646.455183   1814.267798   2480.707038   4233.927533
0.471875   666.238644   1712.518770   2608.146115   4375.048120
0.478125   682.980256   1711.626856   2645.037234   4255.836335
0.484375   619.887434   1733.548160   2898.811628   4264.322111
0.490625   681.037811   1616.990280   2889.574849   3947.592874
0.496875   1231.841741   2466.912938   2976.027878   4098.847809
0.503125   1054.402063   1710.867567   3022.307675   4133.485006
0.509375   621.204112   1886.081996   2940.337711   4191.092080
0.515625   474.025202   1774.578845   2875.833067   4208.954902
0.521875   456.573656   1884.155312   2958.918532   4310.255154
0.528125   496.727388   1896.852716   3036.123693   4345.225148
0.534375   889.371471   1996.821385   3220.131212   4386.853256
0.540625   519.064425   2112.179869   3251.636904   4280.478155
0.546875   958.093338   2280.903056   3167.242336   4249.055141
0.553125   845.548184   2000.127724   2934.777372   4122.585783
0.559375   379.460822   1789.056540   2882.426127   4049.761724
0.565625   454.042250   1886.923277   2721.575233   4022.428900
0.571875   587.087137   2092.726776   2892.166748   4103.111088
0.578125   705.274605   2095.778149   3123.436209   4202.350759
0.584375   597.816345   1768.850591   2936.390571   4306.125714
0.590625   625.045982   1848.150796   2851.051858   4332.494520
0.596875   673.717412   1874.137186   2974.002733   4203.257659
0.603125   921.676251   1971.439268   2919.149196   3942.671436
0.609375   1494.259292   2224.380040   3895.884068   4278.651104
0.615625   1436.054149   2180.148699   2211.584900   3935.961460
0.621875   1290.300325   2063.802494   2290.953202   3910.037864
0.628125   1232.144385   1241.221340   2102.658193   3977.813527
0.634375   995.803743   1256.133954   2228.877113   4107.528645
0.640625   1124.067656   1272.943152   2446.801784   4293.323145
0.646875   1431.291157   2817.673282   --undefined--   --undefined--
0.653125   428.959191   1483.089037   2742.757707   4426.343323
0.659375   461.192408   1262.495064   2652.391468   4407.005063
0.665625   491.168275   1306.641634   2639.427942   4388.951759
0.671875   501.293717   1333.431695   2660.934921   4346.864510
0.678125   499.371369   1409.161430   2674.283625   4254.310951
0.684375   498.467204   1532.976379   2674.184272   4221.309168
0.690625   496.955680   1626.966433   2698.700732   4239.233076
0.696875   491.961846   1716.488175   2789.007098   4344.220723
0.703125   489.864765   1866.551437   2823.279840   4406.744574
0.709375   485.755966   2215.056984   2805.548684   4414.614695
0.715625   482.778962   2338.599622   2824.167669   4404.089439
0.721875   484.627314   2310.524698   2839.847286   4419.412115
