Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1111.266738   2242.511535   3176.863776   3900.920503
0.034375   1102.728741   2099.632796   3155.342963   3894.965978
0.040625   1041.890279   2069.359962   3260.543803   3860.164363
0.046875   937.471307   2046.764143   3213.006501   3963.866292
0.053125   1037.842240   2210.414701   3081.610070   3891.277460
0.059375   1477.100419   2211.102080   3009.643240   3702.780449
0.065625   1118.976488   2111.689421   3487.736360   3958.598628
0.071875   1243.848643   1946.867773   2918.413432   4011.937214
0.078125   1175.313651   2334.438809   3110.589117   3944.988257
0.084375   1080.307063   2149.336496   3166.123105   4078.703367
0.090625   1149.924850   1951.577133   2975.493110   4078.887560
0.096875   978.687984   1967.047083   3003.473330   4074.356731
0.103125   1014.505666   2355.826812   3094.170857   3829.858647
0.109375   1187.496621   1948.232890   3037.892934   3978.415217
0.115625   1097.311427   1971.149289   3050.502392   3949.142956
0.121875   1079.703063   2266.531804   3352.265591   3814.935784
0.128125   1117.783570   2349.359934   3736.059305   5018.083231
0.134375   1067.370446   2225.111087   3641.277746   4695.548719
0.140625   987.635685   2101.741685   3445.395884   4079.721753
0.146875   1101.161354   2107.168907   3143.130023   4070.744469
0.153125   1274.155547   2013.890892   3021.878704   4170.293211
0.159375   1334.138323   2345.174763   2789.707104   4075.399510
0.165625   1126.094748   2279.258192   2896.401727   3980.107823
0.171875   1101.546786   2092.954286   3044.203735   4010.057571
0.178125   1112.744153   2054.887529   3142.777787   4077.456105
0.184375   1142.786041   2174.925220   3212.402842   4034.313415
0.190625   1585.196118   2094.458634   2978.233222   3876.182187
0.196875   1327.623670   2042.153301   3037.141832   4015.269565
0.203125   1275.128511   2306.018622   3042.612465   3953.171079
0.209375   1315.749384   2337.355065   3235.720452   4202.522403
0.215625   1255.155222   2241.829436   3436.325612   5037.148804
0.221875   1151.531373   2060.290937   3286.697651   4460.749584
0.228125   1224.866822   2117.447187   3003.329210   4156.111741
0.234375   1096.022896   2093.894140   2978.218043   4191.639399
0.240625   1241.028486   2402.498062   2937.892283   4074.666390
0.246875   1039.272980   2238.061474   2678.604438   4101.573139
0.253125   1016.881376   2059.665461   2902.088977   4145.668891
0.259375   1081.102298   2000.145712   2989.678153   4115.825615
0.265625   1065.686510   2069.717248   2928.862057   4138.047350
0.271875   1112.169450   2167.873275   3101.252878   4206.495653
0.278125   1244.386198   2200.215447   3166.144976   4218.022759
0.284375   1200.847112   2170.503309   3414.924428   4068.518591
0.290625   1144.627852   2099.270784   3426.663320   3837.098455
0.296875   1189.377121   2045.335813   2905.718918   3965.185528
0.303125   1112.725901   2193.942235   2879.838711   4020.804669
0.309375   1066.323062   2058.389526   2971.078754   4127.805015
0.315625   1109.512584   2079.399631   3005.816161   4137.241816
0.321875   1150.376674   2170.443348   3120.057625   3969.237008
0.328125   1210.761601   2269.328160   3070.122940   3957.166066
0.334375   1431.117072   2179.833107   2914.273967   3969.724050
0.340625   1190.094533   1981.447839   3024.796838   4171.185605
0.346875   1025.945495   2136.597491   3094.425828   4095.238894
0.353125   1220.932328   2330.802896   3090.731582   4063.308617
0.359375   1147.004210   2449.232930   2993.451851   4074.934539
0.365625   1482.437279   1879.012011   3027.358323   3902.500750
0.371875   1282.139912   1835.559672   3000.127067   3847.798843
0.378125   1082.537849   1920.175361   3110.232600   3968.528893
0.384375   1086.532293   2091.586506   3099.271040   4158.215736
0.390625   1026.353869   2108.112791   3085.610730   4205.048967
0.396875   1029.196321   2587.730609   2602.947236   4168.269943
0.403125   1201.314479   2092.257366   2731.579126   4129.388944
0.409375   1121.605531   2239.920559   2863.998380   4040.462405
0.415625   1023.249005   1959.892642   3008.416773   4212.581801
0.421875   1056.754501   2061.710945   2973.542996   4148.760971
0.428125   1134.091613   2232.350324   2895.945683   3995.967592
0.434375   1065.393203   2414.299911   2772.093080   4021.092771
0.440625   1155.268483   2333.277785   3323.667711   4003.600119
0.446875   1152.539179   2117.108723   3310.868124   4168.012336
0.453125   1257.530033   1730.824692   2898.255386   3947.354257
0.459375   950.660119   2531.858938   2588.161085   3975.791893
0.465625   1032.165635   2320.100701   2701.073837   4065.212055
0.471875   1061.167973   2080.871022   3041.078939   4117.805185
0.478125   1067.087635   2243.051541   3159.593594   4154.478346
0.484375   1006.414879   2218.141298   3235.761400   4255.322119
0.490625   1231.572258   2393.106103   3291.479909   4202.119931
0.496875   1324.258101   2496.860354   3000.853906   4059.137225
0.503125   1197.614055   2080.202428   2973.999639   4067.199821
0.509375   1119.114109   2077.211989   3007.346026   3937.418105
0.515625   1081.761364   2105.170616   3297.532400   4038.396324
0.521875   1088.385545   2123.567606   3228.509849   4214.257009
0.528125   940.171489   2137.080057   3115.182063   4154.319310
0.534375   976.142836   2108.258762   3184.381132   4131.492322
0.540625   1068.302372   2150.090083   3127.444561   4159.078883
0.546875   1054.690516   2121.286697   3087.929694   4169.934642
0.553125   1054.605049   2167.989959   3051.493577   4154.501878
0.559375   1066.046553   2134.615546   3028.149496   4036.266841
0.565625   1083.420937   2032.859146   3055.113696   4026.298133
