Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   721.751644   1730.640179   2848.081731   3795.579242
0.034375   512.310581   1869.776350   3034.469538   3936.597333
0.040625   324.964923   1915.045815   2996.705458   4204.726960
0.046875   1686.655985   2771.093318   --undefined--   --undefined--
0.053125   1514.267446   2660.777000   --undefined--   --undefined--
0.059375   1318.762638   2660.147180   --undefined--   --undefined--
0.065625   1643.685095   2619.025641   --undefined--   --undefined--
0.071875   2220.216363   2761.123535   --undefined--   --undefined--
0.078125   2160.901432   2785.877317   --undefined--   --undefined--
0.084375   2029.103871   2548.646206   --undefined--   --undefined--
0.090625   1752.547915   2454.042156   --undefined--   --undefined--
0.096875   1687.569881   2507.726142   --undefined--   --undefined--
0.103125   1529.750410   2469.291847   --undefined--   --undefined--
0.109375   1480.259801   2580.287413   --undefined--   --undefined--
0.115625   1474.434800   2632.774931   --undefined--   --undefined--
0.121875   1613.016010   2667.767262   --undefined--   --undefined--
0.128125   1572.083524   2585.744164   --undefined--   --undefined--
0.134375   1481.554442   2352.025452   --undefined--   --undefined--
0.140625   1618.122789   2508.920372   --undefined--   --undefined--
0.146875   1559.778034   2659.371216   --undefined--   --undefined--
0.153125   1585.043210   2704.912575   --undefined--   --undefined--
0.159375   1539.183029   2973.233606   --undefined--   --undefined--
0.165625   1540.854392   2914.676596   --undefined--   --undefined--
0.171875   1685.644052   2825.362769   --undefined--   --undefined--
0.178125   1647.766377   2808.158283   --undefined--   --undefined--
0.184375   1520.441471   2550.791523   --undefined--   --undefined--
0.190625   1451.804139   2602.064184   --undefined--   --undefined--
0.196875   1562.632317   2614.540516   --undefined--   --undefined--
0.203125   1811.285259   2591.468344   --undefined--   --undefined--
0.209375   1481.624405   2509.269386   --undefined--   --undefined--
0.215625   1435.465128   2508.247558   --undefined--   --undefined--
0.221875   1512.100574   2587.069544   --undefined--   --undefined--
0.228125   1493.813019   2605.778952   --undefined--   --undefined--
0.234375   1511.757707   2645.461777   --undefined--   --undefined--
0.240625   1595.405165   2809.140023   --undefined--   --undefined--
0.246875   1609.791520   2583.615155   --undefined--   --undefined--
0.253125   1666.639291   2519.880427   --undefined--   --undefined--
0.259375   1619.648321   2630.022040   --undefined--   --undefined--
0.265625   1529.509789   2478.424127   --undefined--   --undefined--
0.271875   1441.803533   2455.342961   --undefined--   --undefined--
0.278125   1508.844907   2403.978434   --undefined--   --undefined--
0.284375   1573.750897   2487.202194   --undefined--   --undefined--
0.290625   1501.515363   2773.364428   --undefined--   --undefined--
0.296875   731.735703   1747.201672   3204.292093   4031.916093
0.303125   442.047970   1638.682836   3056.229302   4060.277501
0.309375   538.024555   1563.300340   2944.798404   4102.353255
0.315625   635.365473   1571.193513   2915.434418   4168.652528
0.321875   611.198208   1711.049374   2927.487635   3892.677607
0.328125   682.542923   1855.152904   3084.957029   3528.801105
0.334375   712.309956   1787.026778   3189.520741   3411.409596
0.340625   695.733785   1766.909224   2771.978253   3838.201529
0.346875   794.931377   1878.414489   3311.561290   3426.824448
0.353125   778.098958   1951.701216   2066.569692   3650.557285
0.359375   726.935013   1739.593196   2179.180989   3798.098897
0.365625   673.214446   1916.795523   2312.683087   3890.987890
0.371875   699.804197   1894.704120   2976.240078   3995.557429
0.378125   835.292987   1897.540507   3223.798700   4526.530312
0.384375   823.782919   1819.213483   2919.655807   4588.633455
0.390625   729.438367   1754.534706   2589.346404   3680.686098
0.396875   806.551492   1719.123420   2560.924912   3711.997993
0.403125   722.698046   1642.921984   2426.501952   3690.540066
0.409375   830.961790   2109.736407   2551.418602   4427.345948
0.415625   902.592185   1879.555674   3132.811635   4630.561846
0.421875   841.318842   1864.927155   3192.903133   4470.148048
0.428125   734.867931   1737.038204   2982.329982   4405.032956
0.434375   638.028426   1648.933825   2887.072227   4021.991934
0.440625   685.465625   1693.203464   2683.166801   3776.094644
0.446875   835.427045   1715.887829   2617.433813   3776.234660
0.453125   797.676030   1587.661007   2578.711616   3713.084025
0.459375   805.415954   1653.145737   2454.300592   3653.619263
0.465625   935.165188   1744.404831   3137.851237   4000.535648
0.471875   836.893902   1708.042923   2445.479476   3587.030542
0.478125   812.012582   1557.234301   2623.929133   3851.432549
0.484375   1053.340899   1742.342331   2827.924436   4349.263746
0.490625   879.764522   1820.128856   2942.086058   4313.701483
0.496875   850.801287   1779.213535   2859.565784   4145.273661
0.503125   997.930530   1761.060839   2841.283166   4168.683813
0.509375   914.155867   1652.207989   3046.692119   4441.042130
0.515625   784.010581   1629.140769   2937.216097   3734.710668
0.521875   674.461339   1678.556654   2776.727746   3851.386433
0.528125   999.692796   1712.894810   2927.061924   4122.393547
0.534375   858.239668   1658.145565   2787.737999   4093.587437
0.540625   757.505577   1649.320282   2708.716870   3766.802534
0.546875   790.597454   1655.759313   2842.169914   3231.904450
0.553125   831.958951   1606.555179   2764.182310   3764.051808
0.559375   812.167548   1630.544049   2697.489233   3885.328911
0.565625   829.319681   1780.425960   2874.024675   4041.520148
0.571875   702.657327   1693.947366   2781.193467   3898.197912
0.578125   626.438287   1597.949200   2655.608823   3720.709142
0.584375   653.415076   1656.250747   2699.442401   3777.961559
0.590625   666.693339   1488.549551   2608.916013   3728.301807
0.596875   655.470135   1412.356751   2654.997861   3604.803957
0.603125   713.866480   1558.689016   2788.256891   3726.560642
0.609375   753.674313   1539.200482   2737.112856   3567.386744
0.615625   784.499998   1515.696317   2686.669721   3495.446461
0.621875   747.573802   1719.888861   2623.523669   3832.990592
0.628125   696.622468   1714.044696   2619.130429   4020.600024
0.634375   689.284256   1772.130443   2594.026499   3832.967822
0.640625   738.277284   1649.921637   2366.725324   3956.347050
0.646875   727.628914   1600.503399   2379.675275   3857.028445
0.653125   753.607110   1796.715383   2478.168394   3740.417294
0.659375   798.668377   1655.829263   2922.956114   4084.249733
0.665625   731.072730   1596.664205   3088.910736   4037.231515
0.671875   738.927618   1693.460219   2857.477962   4373.818008
0.678125   661.103757   1851.610466   2588.075401   3484.535623
0.684375   755.548527   1524.822845   2187.462397   3518.073443
0.690625   978.731240   1553.194137   2212.958462   3531.969379
0.696875   804.570643   1807.960347   2763.190687   3630.345336
0.703125   839.239492   1894.292994   2632.274126   3579.083929
0.709375   857.535745   1728.755097   2879.663914   4547.924944
0.715625   841.743874   1711.866107   2796.419875   4207.137728
0.721875   892.503446   1847.763897   2707.746122   4100.137231
0.728125   898.766897   1891.666400   1928.972859   3624.725035
0.734375   785.593685   1884.352748   3587.621480   4060.595475
0.740625   697.614303   1792.079117   2996.598753   4492.910442
0.746875   714.301964   1644.182132   2969.826018   3420.631102
0.753125   708.972517   1652.788603   2605.090208   3532.437068
0.759375   729.947075   1690.923738   2659.300919   4128.722906
0.765625   706.623033   1754.522283   2767.737733   4299.506420
0.771875   693.670938   1766.047598   2674.940097   4334.954723
0.778125   751.461176   1837.162895   2962.302576   3970.456106
0.784375   1084.368046   1423.223866   3080.387267   3635.750131
0.790625   1017.384764   1398.339568   3097.067024   3993.385431
0.796875   982.033364   1467.130455   3133.186853   4138.931826
0.803125   1012.379137   1341.665181   2883.888419   3483.114322
0.809375   1066.727887   1355.430151   2763.241475   3535.864800
0.815625   1029.246204   1324.445479   2779.264711   3506.599205
0.821875   1000.393691   1306.196257   2861.204276   3362.699767
0.828125   973.892617   1420.911817   2925.332834   4379.461655
0.834375   939.568767   1406.698202   2896.365443   3847.925632
0.840625   1045.574840   1258.120861   3019.256497   3572.389773
0.846875   186.346594   1268.142341   2980.488235   3057.704502
0.853125   285.225829   1298.829406   2798.593208   3295.173020
0.859375   293.814223   1318.194609   2922.903982   2962.214710
0.865625   331.691844   1322.915244   2838.959611   3263.107307
0.871875   364.299333   1350.151680   2547.106656   3032.198239
0.878125   405.118366   1417.402617   2918.757956   2952.698843
0.884375   429.735210   1498.461970   2838.009508   2867.273556
0.890625   426.857328   1473.746306   2278.942012   2964.977808
0.896875   420.357493   1476.920675   2285.165884   3072.998577
0.903125   414.163157   1438.211468   2298.908285   3217.046193
0.909375   422.021536   1539.060654   2236.745083   3237.332187
0.915625   414.614064   1576.069588   2298.351643   3230.416656
0.921875   404.473183   1517.330669   2408.660287   3272.434839
0.928125   402.081519   1596.323497   2447.906614   3507.833956
0.934375   400.226530   1608.704381   2440.654568   3917.836214
0.940625   370.685038   1314.332167   2436.489267   4075.416391
0.946875   766.113093   2446.946702   4081.885056   4106.050202
0.953125   828.492539   2471.011749   3484.580460   4133.218258
0.959375   908.097012   2565.906510   3425.387018   4208.998876
0.965625   924.118176   2611.827918   3350.053919   4255.505489
0.971875   845.111208   2560.583601   3275.218016   4245.483566
0.978125   556.949828   2502.830803   3270.014094   4239.002203
0.984375   459.305042   2523.177971   2742.426018   3227.067870
0.990625   479.196537   2072.247071   2698.504108   3308.905721
0.996875   553.495156   2742.376756   3358.175627   4345.794231
1.003125   512.195916   2694.952317   3313.336162   4362.782669
1.009375   504.521162   2653.730332   3289.191308   4370.491326
1.015625   569.458801   2665.277201   3285.446488   4317.324370
1.021875   598.361402   2664.751450   3271.650117   4286.779950
1.028125   565.905585   2628.537650   3233.863160   4303.896826
1.034375   501.309580   2563.613685   3201.002656   4286.039795
1.040625   478.333465   2496.685596   3171.600074   4372.610736
1.046875   441.452485   2450.623614   3135.318385   4426.809715
1.053125   448.979642   2408.091068   3099.745478   4454.646530
1.059375   486.264890   2433.151957   3129.990438   4527.729871
1.065625   462.145762   2403.633291   3106.148771   4507.271283
1.071875   437.827747   2377.358113   3106.103555   4513.681091
1.078125   435.045808   2525.908172   3190.399695   4521.748695
1.084375   405.125670   2295.025192   3156.269573   4613.038876
1.090625   391.194993   2033.631304   3139.151638   4613.224979
1.096875   431.412180   1483.487470   2991.086474   4279.087770
1.103125   407.169156   1579.851994   3028.750421   4389.944274
1.109375   543.572363   1952.170928   3013.570709   4404.747333
1.115625   575.759805   2064.303929   3155.568006   4534.243345
1.121875   604.208330   1781.001666   3161.636767   4515.844787
1.128125   546.963278   1793.525931   3099.684103   4433.999103
1.134375   475.545392   1945.582544   2777.376164   4381.965716
1.140625   921.737035   2489.983510   3877.293636   4784.207911
1.146875   656.301141   2393.910623   3832.585285   4848.456078
1.153125   697.728282   2388.947703   3955.566619   4988.703904
1.159375   720.554233   2102.454208   3588.929909   4834.065824
1.165625   664.585307   2343.570840   3025.089345   4563.666719
1.171875   666.544807   1974.721600   2750.131042   4324.020905
1.178125   717.269768   1687.028058   2994.922888   4364.937945
1.184375   612.753294   1790.203937   3169.638364   4665.481140
1.190625   544.642394   1775.592199   3129.565086   4676.939113
1.196875   1661.817108   2972.181946   4606.064984   4951.802174
1.203125   1536.382062   2702.568238   4452.761393   4658.572053
1.209375   1416.423993   1554.425490   3151.240867   4291.404221
1.215625   1513.880326   2937.577006   4259.541743   4721.244629
1.221875   1484.394215   2839.214466   4146.975123   4752.129934
1.228125   629.203123   1521.712979   2982.849515   4176.881349
1.234375   756.299845   1612.394349   2942.241079   4328.800383
1.240625   796.486421   1685.040653   3199.313001   4664.623108
1.246875   708.944383   1771.339503   3406.387418   4623.004827
1.253125   719.122149   1730.911332   3006.392166   4596.791998
1.259375   708.700014   1796.353709   2949.301560   4531.976625
1.265625   854.089175   1833.620402   3279.971700   4560.982345
1.271875   961.977915   1792.804363   3384.539400   4564.582529
1.278125   698.623404   1682.395828   3046.518315   4407.911523
1.284375   717.997708   1788.146103   3121.162192   4416.561320
1.290625   706.368166   1864.426274   3017.261460   4524.050448
1.296875   699.137939   1586.573371   2907.384581   4383.935109
1.303125   698.480700   1580.381398   2996.678596   4276.382945
1.309375   699.910342   1765.637197   2989.246368   4363.794449
1.315625   751.905387   1725.020519   3225.408967   4415.167650
1.321875   664.347748   1648.690820   3107.957407   4531.252106
1.328125   963.687304   1716.061563   3200.598672   4583.295404
1.334375   1001.860527   1361.523900   3196.033208   4232.851418
1.340625   1046.591700   1301.653857   3237.010095   4208.339251
1.346875   1114.153474   1285.878368   3103.394275   4112.919983
1.353125   1064.947288   1188.785831   2863.625840   4102.187546
1.359375   931.424004   1276.737519   2937.402039   4108.741022
1.365625   924.289142   1300.354833   3004.967603   4111.270278
1.371875   885.112569   1300.582537   2902.109141   4084.479994
1.378125   942.626663   1350.235315   2910.188320   4017.434210
1.384375   981.949659   1424.687658   2926.172189   4038.993812
1.390625   944.791301   1482.042174   3041.406301   4083.473186
1.396875   899.310799   1345.389567   3005.817980   3994.128666
1.403125   884.685239   1251.384473   3026.785330   3982.750990
1.409375   978.966029   1285.439212   2850.372217   3995.478295
1.415625   974.021958   1272.864775   2883.720881   4118.732750
1.421875   1028.522167   1265.849588   3011.069598   4048.972752
1.428125   671.442231   1120.238677   2991.033353   4016.672346
1.434375   306.588465   1117.021794   2772.680210   4035.171574
1.440625   387.741191   1114.460150   2966.813651   4224.336501
1.446875   653.175924   1043.464381   2946.098288   4253.142823
1.453125   755.019605   1019.811263   2963.354246   4168.764876
1.459375   752.808917   1051.297985   2945.468283   4074.851265
1.465625   618.296158   1138.940490   2954.367550   4105.180587
1.471875   586.362953   1196.111031   2994.369238   4174.443551
1.478125   614.209142   1208.181334   2959.197345   4358.706998
1.484375   597.352297   1199.903747   2982.283777   4468.880156
1.490625   587.305807   1191.386308   3083.575039   4455.894129
1.496875   601.569527   1190.965916   3060.161009   4362.308088
1.503125   625.104912   1178.874506   3057.485450   4359.644787
1.509375   643.407492   1157.767141   3057.171636   4426.459465
1.515625   643.107453   1084.661558   3028.701630   4464.469771
1.521875   620.826887   1001.874839   3005.323192   3751.600759
1.528125   632.132510   997.217351   2999.794432   3780.011424
1.534375   638.551136   1005.089703   3005.611659   4381.056829
1.540625   638.526742   1010.684311   3019.408613   4325.871155
1.546875   627.838187   1008.265630   3039.077667   4387.464094
1.553125   602.624992   993.881113   3034.959512   4213.128215
1.559375   582.451366   996.059453   3033.097585   3806.544612
1.565625   576.777047   998.444872   3033.895009   3808.363971
1.571875   589.763045   1029.002394   3045.012582   3572.905732
1.578125   598.136277   1060.441044   3044.616272   3166.021590
1.584375   605.996590   1079.652376   3014.798379   3347.226703
1.590625   616.309214   1104.839193   3039.757268   3645.339884
1.596875   626.469463   1116.198931   3082.481133   4015.316692
1.603125   636.180124   1161.791845   3088.955317   4464.630896
1.609375   625.652785   1200.929989   3085.126958   4412.478610
1.615625   611.411225   1207.466387   3067.526970   4335.547156
1.621875   587.055324   1200.405202   3040.566606   4326.383497
1.628125   543.594084   1195.566966   3007.186712   4262.701920
1.634375   526.113942   1201.056812   3010.270080   4341.121398
1.640625   528.137608   1204.903814   3028.437184   4207.273928
1.646875   482.354502   1218.575264   3068.377052   4246.456955
1.653125   409.041893   1205.240608   3097.722960   4373.031689
1.659375   434.568525   1190.439518   2977.087736   4431.353608
1.665625   654.853854   1190.899904   3048.706001   4392.297720
1.671875   846.429391   1326.704917   2991.016196   4328.904542
1.678125   800.715812   1339.658392   3031.852467   4295.081091
1.684375   729.263734   1333.577309   3250.129081   4175.398212
1.690625   604.199676   1383.326454   3410.816694   4441.398620
1.696875   603.091293   1542.684666   3067.358697   4350.123297
1.703125   605.061977   1896.026560   2977.518307   4319.504535
