Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   658.455491   1940.638232   2953.416077   4171.568661
0.034375   656.837341   1941.274707   3001.377269   4337.175069
0.040625   720.603811   1956.332247   2965.170109   4341.746125
0.046875   731.095570   2006.391196   2829.723055   4291.180635
0.053125   755.482467   2029.757589   2881.669254   4160.407911
0.059375   759.235039   1951.176762   2890.112297   3725.805880
0.065625   667.459363   1935.437287   2938.216138   3695.479339
0.071875   599.017737   1878.812696   2949.161054   3598.203133
0.078125   558.615809   1927.914037   2940.741969   3362.752159
0.084375   597.932524   2028.590777   2741.815772   3357.436942
0.090625   828.816517   2105.155044   3195.440576   4408.372089
0.096875   1038.077992   2099.878276   3045.253494   4248.112926
0.103125   988.677445   2009.272793   3133.548032   4028.654746
0.109375   1547.535934   2596.080253   3701.429324   4610.926465
0.115625   1652.917421   2580.042413   3502.043180   4630.976685
0.121875   1548.694069   2491.443592   3632.631223   4660.710255
0.128125   1481.931792   2529.000647   3671.616549   4433.664434
0.134375   1462.571044   2545.445819   3610.193058   4509.275697
0.140625   1521.004306   2595.291233   3651.381857   4434.124571
0.146875   1486.666580   2504.484106   3660.664068   4462.103543
0.153125   1535.256145   2553.002434   3690.588145   4416.973237
0.159375   1632.802306   2627.297590   3561.009716   4484.264141
0.165625   1614.124517   2809.436012   3523.696295   4453.706604
0.171875   1604.632274   2901.132830   3460.732319   4423.895136
0.178125   1641.545854   2881.225057   3203.038407   4480.880373
0.184375   1733.084871   2952.214436   3217.930077   4421.073206
0.190625   1717.727868   2835.822760   3511.668392   4462.055433
0.196875   1586.225686   2509.536669   3485.455289   4545.560488
0.203125   1493.431543   2554.237154   3499.355957   4493.727975
0.209375   1558.853039   2569.223528   3625.541541   4438.516866
0.215625   1586.240559   2618.249272   3610.365899   4433.707108
0.221875   1586.585915   2573.886513   3688.155908   4484.952863
0.228125   1568.162511   2679.131606   3772.521466   4381.996638
0.234375   1491.127195   2650.365718   3456.653874   4366.273928
0.240625   1460.262319   2789.970083   3392.334782   4375.384256
0.246875   1427.006178   2686.810376   3550.876611   4470.179491
0.253125   1517.620654   2566.031380   3551.446981   4527.209458
0.259375   1462.413623   2506.737796   3511.428376   4557.051307
0.265625   1450.631233   2394.911773   3363.725390   4487.170993
0.271875   1758.726943   2400.144586   3196.610911   4472.538691
0.278125   1912.614176   3120.155385   --undefined--   --undefined--
0.284375   1796.581539   2663.415256   3403.472617   4291.685099
0.290625   1496.697384   2420.776641   3537.679079   4516.011547
0.296875   1612.756569   2560.752807   3543.267452   4461.656448
0.303125   1704.605423   2574.746495   3481.085701   4392.144054
0.309375   1596.957289   2713.578954   3631.331429   4431.216097
0.315625   1452.579160   2695.251816   3775.826214   4344.731040
0.321875   1589.507962   2760.518878   3498.159264   4273.453555
0.328125   1610.053858   2847.385062   3634.085915   4276.029809
0.334375   1631.008459   2722.103153   4103.376952   4240.083018
0.340625   1662.933701   2641.859082   3894.917461   4578.887077
0.346875   1840.109630   2617.396748   3519.187818   4340.112747
0.353125   1795.025457   2840.570338   3953.624706   4148.938285
0.359375   1675.070297   2601.476148   3998.712274   4454.586603
0.365625   1900.242375   2176.377729   3151.806008   4288.998575
0.371875   1905.480427   3067.136049   --undefined--   --undefined--
0.378125   489.388242   1898.248679   3056.678519   3930.074618
0.384375   613.861301   1905.356001   3057.809610   3714.195464
0.390625   727.869151   1879.091653   2769.186576   3523.898077
0.396875   771.741512   1985.981642   3085.220893   3504.592798
0.403125   675.078427   1931.332660   2946.606939   4281.432335
0.409375   662.130181   1944.118846   2959.445899   4246.119837
0.415625   652.519563   1953.022627   3185.306529   3583.985250
0.421875   726.596304   1954.134768   3089.820226   3423.254967
0.428125   764.556838   1935.319856   2931.839261   3848.714252
0.434375   741.587107   1950.870242   2993.992488   3955.914520
0.440625   689.014686   1904.276744   2789.242923   4141.433183
0.446875   693.993980   1908.728718   2845.596942   4285.691195
0.453125   724.254482   1884.236044   3122.048105   3685.354441
0.459375   800.605786   1947.329576   3287.914193   3910.179050
0.465625   840.431001   2113.735329   3393.372214   4369.645552
0.471875   798.754349   2124.292413   3357.686731   4237.816618
0.478125   731.686656   2070.223832   3019.619048   4113.998202
0.484375   711.855668   2030.320122   2408.356039   3993.770796
0.490625   730.796695   1954.495121   2709.477922   3769.557357
0.496875   622.872068   1868.677636   3169.347563   3329.244176
0.503125   583.694694   2052.801095   3434.844201   4400.544619
0.509375   782.723321   2161.137528   3363.503696   4602.243083
0.515625   860.706818   1262.393879   2670.574804   3542.777100
0.521875   632.983803   1438.384480   2764.377921   3916.401716
0.528125   635.898945   1726.359067   2967.713708   4141.123323
0.534375   635.605578   2087.019036   3353.706606   4604.878253
0.540625   761.939390   2073.967714   3233.162501   4420.201426
0.546875   617.390009   1918.268234   3268.117961   4294.635366
0.553125   564.763757   2097.785775   3257.099257   4489.199305
0.559375   899.507753   2144.671257   3156.018837   4232.050736
0.565625   588.230336   1672.896109   2907.734282   4040.010412
0.571875   542.156783   1709.051533   2867.526905   3987.782184
0.578125   519.320508   1849.395155   2705.019661   4239.312292
0.584375   666.822896   2251.701025   3300.354745   4293.122747
0.590625   837.572266   2301.951884   3142.049407   4213.907439
0.596875   723.348925   1907.433571   3228.835744   4703.373386
0.603125   662.740935   1841.757397   3117.753358   3306.816547
0.609375   684.562700   1905.013285   3032.605568   3371.564932
0.615625   846.910729   2045.333243   2604.260970   3955.520266
0.621875   1455.209575   2262.227631   3504.325746   4770.711771
0.628125   977.802944   2217.199091   2824.844870   4376.404220
0.634375   861.662048   2112.515431   2786.394343   4127.732508
0.640625   792.435117   2194.254628   2835.106928   4070.774463
0.646875   807.730436   2345.815326   2722.099940   3933.152124
0.653125   875.236701   2440.735241   2747.033094   3721.670256
0.659375   765.657915   2236.279707   2950.019853   3624.656618
0.665625   643.376933   2228.636867   3060.731609   4547.676681
0.671875   722.717639   2303.382731   3207.976250   4567.573198
0.678125   703.351906   2248.435925   3267.976607   4153.374971
0.684375   516.383712   2213.230991   3124.607234   4464.784789
0.690625   422.564219   2278.390852   3126.161364   4431.945009
0.696875   438.605120   2572.850760   3129.442561   4491.342275
0.703125   429.560666   2607.996465   3088.231698   4470.011562
0.709375   422.155451   2652.103671   3203.552597   4562.819723
0.715625   419.645467   2703.635282   3345.864200   4515.284774
0.721875   437.827755   2767.043099   3332.932192   4532.162662
0.728125   423.660336   2802.222761   3211.593250   4522.799902
0.734375   425.474411   2808.325177   3064.929393   4495.334092
0.740625   404.938825   2820.865440   2990.613653   4641.690223
0.746875   385.140049   2829.176685   3229.203246   4859.811510
0.753125   391.508191   2839.739604   2921.077612   3970.141661
0.759375   368.036175   2398.867790   2826.533258   3676.900964
0.765625   355.218852   1786.423767   2857.723139   3472.364979
0.771875   372.615644   1678.253067   2879.348294   3468.220727
0.778125   414.021254   1524.763925   2858.040549   3466.932899
0.784375   466.846143   2791.283225   3440.826741   4655.309995
0.790625   494.596488   2768.543788   3416.951898   4465.547345
0.796875   480.285839   2763.640995   3420.104875   4460.776116
0.803125   474.329059   2724.059884   3440.374903   4465.421442
0.809375   478.179975   2716.041118   3464.641538   4442.692633
0.815625   472.523554   2732.132528   3487.217338   4395.271730
0.821875   463.144546   2735.828863   3494.605973   4147.990903
0.828125   448.934974   2723.341802   3420.536083   4133.822137
0.834375   448.932371   2647.382226   3405.168908   4312.411650
0.840625   438.353481   2677.830451   3470.690925   4717.416267
0.846875   436.705447   2663.958984   3489.176808   4761.548551
0.853125   438.464794   1590.837825   2676.600932   3478.244824
0.859375   440.939382   2540.777847   3086.739643   3778.833657
0.865625   449.942338   2270.642656   3316.423168   4571.337614
0.871875   486.633773   2205.953797   3054.152745   4532.944913
0.878125   525.809016   2227.190544   2881.745258   4520.987553
0.884375   552.552105   2141.098436   3176.367804   4560.440980
0.890625   607.766579   2072.234398   3196.980478   4591.852066
0.896875   724.259186   2048.119711   3183.167756   4609.022937
0.903125   663.655089   1974.565527   3197.808443   4609.289568
0.909375   569.285203   2017.611117   3199.094862   4658.752044
0.915625   576.103228   2121.704105   3350.371300   4690.070617
0.921875   714.737712   2214.192905   3535.033450   4687.837639
0.928125   975.638536   2290.929627   3617.326527   4609.281556
0.934375   793.494457   2025.559158   3203.777400   4294.067201
0.940625   813.037118   2001.553349   3205.597928   4592.285087
0.946875   820.871103   2039.381675   3302.919820   4633.420188
0.953125   1067.687882   2167.531573   3363.676728   4637.026434
0.959375   925.028939   2144.877269   3211.245136   4735.947983
0.965625   798.837310   2175.446839   3341.943741   4532.753890
0.971875   853.727353   2227.986129   3506.424241   4633.451219
0.978125   788.751670   1961.295929   3140.278962   4402.543759
0.984375   753.887023   1710.979103   2923.059530   4207.259867
0.990625   683.719071   1714.082837   2906.318866   4641.814445
0.996875   705.463242   2019.883236   2722.922542   4765.557417
1.003125   908.408388   2303.351895   3159.703987   4749.342835
1.009375   710.194879   1951.945780   3073.580244   4570.880091
1.015625   692.795488   1694.241086   2922.431167   4508.236384
1.021875   671.452905   1665.691031   3035.873956   4485.038170
1.028125   650.561223   1613.485551   3175.188872   4461.888386
1.034375   622.070239   1680.479322   3273.633698   4418.102929
1.040625   601.054665   1770.757306   3291.478281   4386.321618
1.046875   611.562280   1662.895875   3089.336409   4226.318469
1.053125   707.051420   1567.682471   3216.574906   4184.143722
1.059375   700.153107   1405.608906   3302.661220   3618.824971
1.065625   588.618040   1368.999920   3193.263135   3830.292863
1.071875   682.588333   1223.454690   3212.194155   4093.596022
1.078125   630.935010   1107.794847   3172.604616   3873.534755
1.084375   646.534847   1249.423570   3105.763929   3827.049224
1.090625   666.967541   1261.753945   3068.542047   3825.671631
1.096875   673.012676   1270.494001   3084.765208   3787.521433
1.103125   662.950114   1260.266115   3081.505511   3669.111061
1.109375   674.934448   1275.308060   3102.186557   3691.950619
1.115625   689.678887   1272.661660   3082.252738   3740.406492
1.121875   675.389560   1245.109176   3089.288734   3706.410658
1.128125   656.287034   1232.009988   3116.534337   3641.879924
1.134375   640.550001   1230.519460   3109.905079   3714.150628
1.140625   623.280452   1233.466149   3094.522493   3815.165557
1.146875   630.453235   1237.056660   3084.298883   3844.283749
1.153125   671.752201   1236.177114   3083.975218   3851.490360
1.159375   714.708948   1238.434477   3047.906097   3837.754275
1.165625   729.189158   1233.184496   3050.536583   3824.993471
1.171875   717.658781   1229.003221   3041.584922   3790.444563
1.178125   705.258202   1235.447256   3031.055240   3762.986639
1.184375   696.220434   1246.823412   3030.383775   3780.989271
1.190625   680.011060   1242.858180   3026.653086   3766.195600
1.196875   673.578077   1237.551727   3009.252439   3773.484586
1.203125   661.543711   1241.690389   3009.459768   3779.654242
1.209375   641.038465   1256.500413   3030.171462   3787.052285
1.215625   615.834320   1257.790650   3016.393851   3800.732345
1.221875   607.938511   1252.976822   3045.758905   3748.678140
1.228125   625.902674   1202.843022   3034.962718   4161.440971
1.234375   712.546080   1077.706647   3031.536466   4350.490985
1.240625   833.428582   1269.896275   3083.431833   4377.594544
1.246875   842.656969   1143.722947   3198.279032   4613.108513
1.253125   824.780330   1297.925586   3199.097325   4893.861997
1.259375   713.642806   1451.585586   3170.220924   4809.149751
1.265625   605.602682   1626.352650   3170.747276   4663.204224
1.271875   607.245017   1674.693763   3256.266666   4763.189852
1.278125   775.888269   2132.809222   3438.901568   4811.743700
1.284375   794.212933   1973.518126   3292.924079   4631.365958
1.290625   768.232903   1998.951142   3423.158270   4575.163728
1.296875   753.533806   2034.490031   3455.257654   4622.390516
1.303125   699.387421   2079.937563   3508.609877   4299.677447
1.309375   672.496583   2079.653655   3076.818263   4226.320146
