Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1101.728978   1966.780280   2970.625045   4100.474100
0.034375   1239.013952   1975.966111   3144.582226   4355.561197
0.040625   1327.368907   2300.338745   3239.924474   4507.778197
0.046875   1201.729321   2412.910133   3265.635634   4520.346035
0.053125   1479.813840   2493.183011   3461.650652   4510.856737
0.059375   1256.567961   2306.888310   3283.523635   4442.709380
0.065625   1023.131985   2162.177289   3227.886560   4344.827360
0.071875   1249.208983   2092.188039   3191.622985   4367.748456
0.078125   1330.635867   2266.117359   3182.059616   4304.192581
0.084375   1323.802991   2271.925557   3276.974161   4423.846617
0.090625   1145.537652   2201.415828   3318.534388   4398.584915
0.096875   1171.045595   2048.484816   3234.765208   4310.946756
0.103125   1165.119661   2268.448157   3121.006002   4320.339295
0.109375   1184.191118   2274.619575   3103.289889   4151.053138
0.115625   1170.694505   2260.558835   3200.779485   4162.718154
0.121875   1542.943820   2337.584493   3403.105226   4312.499238
0.128125   1206.272936   2242.530782   3178.807628   4113.458045
0.134375   1068.465302   2367.206070   3261.639380   4501.809231
0.140625   1196.640975   2177.671247   3256.280046   4427.375178
0.146875   1356.180787   2054.525408   3456.165455   4339.193286
0.153125   1293.171047   2317.471454   3499.980028   4622.684410
0.159375   1293.416382   2426.000911   3621.747314   4343.296464
0.165625   1310.198826   2421.082457   3433.080835   4342.612577
0.171875   1251.239928   2112.141906   3257.318364   4231.890497
0.178125   1357.203766   1943.086956   3040.114647   4226.289104
0.184375   1244.820322   2286.001937   3398.374647   4470.154525
0.190625   1280.947567   2312.814975   3311.440896   4105.021404
0.196875   1152.842520   2177.979019   3277.095894   4094.591104
0.203125   1284.914102   2137.862147   3188.575156   4291.105780
0.209375   1006.534008   1897.506224   3171.118334   4262.888260
0.215625   935.106684   2026.030993   3252.275780   4224.441357
0.221875   1193.781258   2309.031322   3713.152869   4482.435477
0.228125   1357.504320   2308.590787   3498.293194   4436.844538
0.234375   1224.978780   2230.087936   3345.983444   4454.803721
0.240625   1317.093274   2163.265080   3206.206636   4301.488474
0.246875   1283.012296   2081.865891   3119.351899   4260.294969
0.253125   1293.055460   2066.954725   3141.161097   4410.497325
0.259375   1625.991867   2887.892218   3015.890568   4497.723881
0.265625   1619.403189   2696.711157   3519.743862   4428.955163
0.271875   1525.364819   2639.784005   3541.456028   4600.605049
0.278125   1465.936533   2496.621568   3526.615290   4602.843427
0.284375   1309.563857   2201.026924   3466.620697   4310.332991
0.290625   1084.807785   2287.708002   3521.240553   4340.624835
0.296875   1142.448570   2141.545171   3389.686237   4331.168272
0.303125   1089.676267   2032.415442   3320.977997   4329.261570
0.309375   1126.594144   2211.616108   3476.719803   4504.259400
0.315625   1134.431024   2380.205405   3572.490137   4646.026963
0.321875   1384.544551   2407.620169   3511.285026   4372.489261
0.328125   1528.700285   2588.693330   3679.014677   4367.388277
0.334375   1141.562928   2451.535343   3463.001446   4331.592167
0.340625   1061.322264   2323.366269   3382.292228   4361.320144
0.346875   1077.470650   2289.673996   3443.243571   4398.850679
0.353125   979.106754   2149.174658   3417.882491   4413.335861
0.359375   1242.097862   2093.683830   3390.704758   4305.878060
0.365625   1373.451433   2487.239788   3541.549843   4396.724042
0.371875   1379.218443   2643.011611   3787.330596   4311.794380
0.378125   1387.790316   2400.285860   3578.853373   4364.150068
0.384375   1356.102306   2255.572151   3193.340260   4359.720895
