Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.028125   1219.429990   1781.330427   3100.390064   4001.279298
0.034375   1265.526874   2165.194716   3261.250152   4062.267596
0.040625   977.926797   2245.439239   3225.448588   4109.054924
0.046875   943.708116   2074.185028   3297.073519   4141.214602
0.053125   1139.018638   2108.617824   3387.743340   4137.258634
0.059375   1133.880776   2194.127586   3231.753327   4237.746050
0.065625   1147.185746   2200.321855   3226.637026   4288.247182
0.071875   1238.649179   2095.355261   3086.731858   4078.047731
0.078125   1144.020599   2022.711649   3112.866218   4160.341684
0.084375   1157.495028   2095.899595   3326.380532   4451.636171
0.090625   1279.780128   2155.482457   3165.737932   4089.788367
0.096875   1167.443596   2134.473272   3098.983642   4148.480452
0.103125   1115.408788   2114.416645   3157.557782   4072.798555
0.109375   1115.609212   2109.229619   3270.003327   4094.325870
0.115625   1148.009362   1942.446146   3118.472335   4103.727314
0.121875   1152.869619   1958.221598   3004.469629   4289.167152
0.128125   1162.861709   2216.847244   3075.526217   4325.130219
0.134375   1266.743810   2276.996253   3060.807958   4067.654535
0.140625   1243.684076   2123.955210   3007.195594   4076.317419
0.146875   1112.854901   2227.283021   2987.401512   4128.759548
0.153125   1159.380307   2234.945292   3162.264861   4213.143470
0.159375   1199.119335   2238.530080   3178.686101   4298.723770
0.165625   1310.349044   2262.623171   3151.433037   4451.760942
0.171875   1242.945933   2096.644006   3156.287097   4420.777038
0.178125   1143.242311   2093.641845   3088.891771   4127.048730
0.184375   1135.793297   2147.189822   3161.274770   4074.838037
0.190625   1216.073276   2255.991156   3141.154492   4116.343211
0.196875   1295.555692   2077.184090   3095.590303   4194.340450
0.203125   1225.866954   2129.199472   3154.562852   4209.908380
0.209375   1029.677983   2200.259203   3082.372793   4084.950529
0.215625   907.821372   2247.821156   3054.206291   4093.902723
0.221875   1031.953786   2220.913594   3106.923690   4000.853751
0.228125   1050.796863   2184.850027   3241.550732   4093.517424
0.234375   1118.177691   2301.164822   3327.999608   4304.693612
0.240625   1188.742312   2345.596018   3426.693212   4454.723556
0.246875   1192.355639   2561.887909   3468.528824   4746.732487
0.253125   1366.767696   2513.768337   3388.993269   4885.450068
0.259375   1060.934282   2140.815752   3118.413791   4040.021087
0.265625   1019.115987   2108.740739   2926.394992   4059.749714
