Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   613.908292   1538.883894   2788.599536   3821.001422
0.031250   801.255753   1666.240428   2920.714475   3696.533118
0.037500   677.053871   1642.248178   2996.459350   3527.484183
0.043750   525.646043   1518.674796   2775.751612   3403.191470
0.050000   539.875095   1559.184226   2618.049729   3451.941290
0.056250   578.835502   1605.245555   2541.809979   3515.854924
0.062500   621.093426   1808.788953   2817.946850   3798.045592
0.068750   740.750175   1098.771875   2040.229049   3527.543207
0.075000   659.569331   1287.766348   2154.772889   3519.393432
0.081250   475.496717   1379.087333   2242.393893   3514.919148
0.087500   422.783650   1305.852441   2408.916517   3437.100474
0.093750   584.738769   1682.017015   2298.030203   3007.896635
0.100000   598.360444   1709.949889   2608.791074   2908.903903
0.106250   626.915764   1651.280865   2607.976329   3031.294016
0.112500   660.436667   1625.379804   2788.926527   3591.400096
0.118750   622.697488   1556.503907   2520.432693   3701.048488
0.125000   632.693941   1600.463744   2458.499024   3389.008175
0.131250   630.559713   1677.018780   2450.760530   3391.664126
0.137500   627.413679   1710.583499   2854.313962   3469.620034
0.143750   572.463664   1627.891232   2539.791669   3540.736181
0.150000   617.249632   1533.151297   2314.019638   3486.449108
0.156250   660.509175   1524.770216   2483.052051   3445.791299
0.162500   624.688750   1523.525946   2599.316480   3405.656020
0.168750   608.496222   1473.168170   2618.078746   3755.824294
0.175000   660.851835   1495.162183   2294.474684   3637.141734
0.181250   597.578832   1601.831098   2484.776278   3644.223208
0.187500   627.156952   1557.036006   2465.441914   3673.560893
0.193750   576.892754   1427.671252   2458.469460   3059.592494
0.200000   678.847970   1683.612828   2758.850661   4245.217071
0.206250   734.066990   1741.361726   2801.032504   4045.399827
0.212500   818.536374   1868.157260   2679.760648   3931.809461
0.218750   736.983314   2023.464857   2824.804624   4165.597534
0.225000   675.860290   1448.633988   2084.624163   3565.778874
0.231250   761.474655   1833.680927   2452.520869   3810.057075
0.237500   687.517039   1619.535604   2671.983356   3955.283109
0.243750   570.031574   1605.764515   2603.968217   3698.429442
0.250000   519.152357   1605.145057   2473.765363   3560.790280
0.256250   686.675435   2181.817576   3502.401608   4671.376384
0.262500   550.397089   1485.487519   2369.229142   3393.997489
0.268750   466.677240   1480.610868   2427.885253   3252.725740
0.275000   484.647043   1471.890179   2441.532810   3096.406112
0.281250   608.852801   1714.674180   2875.719323   2978.954346
0.287500   609.930690   1797.160679   2431.311308   3478.177347
0.293750   580.785113   1862.449651   2261.365430   3528.276309
0.300000   615.433265   1723.795321   2130.073753   3416.914150
0.306250   720.303965   2113.501978   3153.952868   3555.123909
0.312500   610.104678   1761.786165   2675.903311   3814.944733
0.318750   547.429596   1824.262972   2612.464983   3788.380859
0.325000   533.026308   1986.390983   2654.635669   3827.325496
0.331250   601.068637   1716.401648   2659.919100   3689.061760
0.337500   600.112454   1650.502696   2412.679100   3766.717030
0.343750   407.497672   1649.140511   2706.473362   3837.180668
0.350000   501.772404   1532.390403   2527.776173   3499.857551
0.356250   617.672553   1776.928926   2334.421499   3867.486111
0.362500   600.170141   1686.509351   2395.585562   3848.238430
0.368750   577.334482   1703.432330   2525.146703   3466.457890
0.375000   667.333083   1151.217950   2497.229043   3046.402043
0.381250   597.814166   1340.070489   2513.827675   2974.191897
0.387500   501.114911   1703.901847   2800.456893   3268.582057
0.393750   1320.510507   2342.413050   2869.790826   3900.970908
0.400000   1423.898002   2722.799505   3183.361178   3902.966839
0.406250   590.261661   1610.315173   2821.272162   3785.093177
0.412500   419.787352   1575.342763   2798.438714   4004.791888
0.418750   366.568209   1709.757113   2784.782007   4063.774767
0.425000   361.177776   1698.934752   2633.803712   3992.768759
0.431250   357.664275   1716.643986   2599.849690   3867.715357
0.437500   356.378928   1792.413675   2661.353960   3604.762613
0.443750   345.364434   1868.842534   2725.966905   3190.540983
0.450000   328.144786   1910.122566   2769.969024   3261.474120
0.456250   318.531961   1936.402211   2761.372791   3395.610837
0.462500   318.774465   1963.146841   2754.772646   3484.764499
0.468750   324.266697   1991.816296   2765.121280   3567.810648
0.475000   328.006501   2006.808972   2764.124161   3720.671677
0.481250   318.366880   2036.451874   2750.515297   3723.784921
0.487500   303.533642   2086.705234   2714.999610   3820.494967
0.493750   296.075439   2091.711021   2623.554790   3798.695197
0.500000   278.698450   2087.843902   2553.153636   3688.775849
0.506250   231.176135   2027.228264   2569.209593   3463.789143
0.512500   273.736008   2005.963886   2683.718169   3400.192866
0.518750   289.951478   1989.772488   2792.684824   3453.761787
0.525000   345.869078   1933.459320   2677.101495   3406.843967
0.531250   1899.789612   2636.008360   3534.987990   4608.440843
0.537500   1800.386192   2249.307815   2710.416863   4465.073401
0.543750   1743.193753   2330.207381   2833.233090   4303.696152
0.550000   1748.444642   2841.385600   --undefined--   --undefined--
0.556250   1698.138508   2822.002996   --undefined--   --undefined--
0.562500   1673.993169   2823.665080   3238.875192   4142.697912
0.568750   1622.751918   2663.249582   2932.760813   4042.487465
0.575000   1568.249530   2151.527036   2879.764123   4086.679543
0.581250   1458.537509   2085.399096   2902.399744   4450.039396
0.587500   1403.542948   1715.560623   2946.411627   4487.344942
0.593750   427.646512   1764.060325   2732.197004   3905.734644
0.600000   405.871316   1776.186514   2795.876194   4195.667357
0.606250   382.846669   1805.624307   2547.782713   3994.936285
0.612500   392.480902   1798.294825   2702.118753   3877.674245
0.618750   362.502491   1744.397740   2839.827659   3337.215776
0.625000   361.621019   1681.079972   2790.763979   3740.722415
0.631250   370.085910   1675.887393   2476.692101   3770.631262
0.637500   403.010890   1733.201749   2473.338183   3645.892053
0.643750   690.614232   1535.315627   2607.694092   4042.462232
0.650000   747.375498   1527.843391   2395.480303   4003.976390
0.656250   769.102171   1537.614261   2489.650339   3922.045414
