Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   325.227552   1415.629282   2467.947781   3353.104087
0.031250   719.427224   1724.338461   2948.922718   3806.991621
0.037500   900.741391   1825.057854   2916.288930   3888.295194
0.043750   1048.244707   2097.357331   2842.762394   3921.864177
0.050000   1091.241448   2015.462102   2789.509126   3903.700231
0.056250   1006.356136   1856.619919   2909.566770   4030.331465
0.062500   905.349296   2031.868803   2871.829830   3992.229958
0.068750   721.848885   1370.193046   2819.115087   3989.227888
0.075000   736.595640   1372.791980   2797.535371   4026.119797
0.081250   828.752376   2178.670369   2988.195748   4096.665298
0.087500   775.289443   2319.735681   2963.850211   4023.718888
0.093750   785.433200   2451.728997   2949.862770   4067.322621
0.100000   887.747867   2440.467034   2957.701655   4204.420524
0.106250   959.763368   2427.251122   3180.176597   4269.800780
0.112500   1031.868467   2476.750537   3244.817200   4209.157226
0.118750   962.756045   2749.650231   2840.304087   4086.829063
0.125000   1193.900117   2725.520318   2984.748552   4264.445296
0.131250   1297.013312   2713.725421   2989.698452   4440.265662
0.137500   1137.241420   2625.291970   3007.995619   4351.208468
0.143750   1091.016808   2606.842507   3010.819332   4186.214967
0.150000   1155.480218   2449.785955   3052.026215   4242.620741
0.156250   1172.432751   2348.434613   3027.333803   4286.767543
0.162500   1011.527608   2258.138380   3047.351141   4318.537694
0.168750   1042.057040   2477.244517   2952.933663   4353.698520
0.175000   1208.074139   2427.142209   3071.525011   4275.482198
0.181250   1184.215325   2346.891143   3062.580761   4132.618952
0.187500   1209.349688   2443.758582   2914.480498   4202.272294
0.193750   1260.901258   2472.867345   2907.252023   4196.033071
0.200000   1240.712667   2331.997587   2851.106241   4152.676047
0.206250   1265.827677   2010.681891   2821.928572   4131.498320
0.212500   1270.361123   1951.258974   2799.907601   4056.500024
0.218750   1242.275780   1975.163992   2851.191984   4096.523372
0.225000   1363.635171   2018.943070   2850.893033   4072.361706
0.231250   1329.727215   1985.999165   2944.218886   3976.389363
0.237500   1020.316727   1801.371948   2864.744905   3944.554951
0.243750   889.539762   1720.278152   2759.552841   3973.285765
0.250000   905.804899   1978.974389   2808.354318   4232.292008
0.256250   1118.241917   2088.362883   2823.605178   4231.908268
0.262500   1471.314547   2162.201125   2837.256568   4182.102152
0.268750   1199.548349   2027.807216   2828.085563   4047.973299
0.275000   1031.678575   2057.882871   2827.515803   4076.190975
0.281250   1246.084332   2238.949921   2929.338046   4131.179553
0.287500   1281.211960   2204.663084   3005.222118   4127.291474
0.293750   1424.544148   2254.222661   2908.109086   4033.203397
0.300000   848.588154   1891.202836   2736.475110   4163.441651
0.306250   1037.819775   2123.793536   2806.101198   4125.224166
0.312500   1172.216405   2226.260224   3020.025525   4134.959220
0.318750   1461.262520   2108.237395   3121.280654   4144.910430
0.325000   1595.562732   2277.216259   3133.701720   4041.013936
0.331250   1619.851357   2228.952656   3143.158962   4112.694964
0.337500   1102.785233   1980.522548   3142.423427   4123.202500
0.343750   924.638556   1953.587025   2503.641561   3467.358287
0.350000   1084.992736   1989.657574   3349.695458   3668.394574
0.356250   1236.995997   2065.043212   3117.201912   3812.429583
0.362500   1173.460722   2117.977423   3073.261669   3831.161655
0.368750   949.837803   2083.251040   2722.651959   3524.325146
0.375000   863.919906   2089.202952   2627.981451   3473.550870
0.381250   929.866758   2058.139448   2656.548106   3406.287213
0.387500   1102.878827   2027.089381   3151.715521   3649.628404
0.393750   1195.109471   2006.815900   3183.595491   3744.934542
0.400000   1065.752611   1948.627165   2814.053591   3639.833638
0.406250   894.078981   1862.644979   2749.130431   3509.727180
0.412500   1005.497574   1866.813899   2734.700667   3528.658029
0.418750   1258.350874   1947.353857   2857.406810   3463.691250
0.425000   1752.463756   2202.021308   3431.481434   3770.137116
0.431250   892.396651   1860.948866   2573.924273   3494.208901
0.437500   835.007582   1915.420347   2721.973872   3472.756142
0.443750   1379.414243   1925.718696   3128.148700   3907.288882
0.450000   1722.018804   1897.919284   3080.125831   3878.487032
0.456250   1824.463459   1834.502000   2975.122289   3736.620851
0.462500   1595.581801   1981.644789   3026.081104   3750.326904
0.468750   1595.927821   1977.528089   2993.640567   3622.671169
0.475000   1273.649635   1988.898521   2897.303510   3507.046538
0.481250   1188.090824   1951.028748   3033.025349   3396.499720
0.487500   1180.781559   1953.930101   2973.374437   3658.416732
0.493750   1414.017581   2050.188466   3128.356795   3905.822039
0.500000   1633.791826   1999.286485   3011.424501   3826.581601
0.506250   1760.630837   1881.387858   2977.274811   3684.670550
0.512500   1105.344720   1859.023369   2745.681936   3493.863893
0.518750   838.299699   1914.989865   2961.025668   3190.080005
0.525000   852.675472   1937.015419   2805.306848   3363.154406
0.531250   1313.998829   1907.758819   2867.743196   3666.591187
0.537500   1480.189448   1950.891301   2928.354614   3728.394206
0.543750   890.822635   1890.650289   2691.203559   3628.311978
0.550000   894.808002   1907.849607   2737.532756   3598.106367
0.556250   939.330646   1833.969142   2894.203700   3682.837675
0.562500   559.194177   1735.389215   2868.416698   3481.983229
0.568750   1631.665270   1824.790627   2928.668037   3715.270048
0.575000   1647.333806   1669.626965   2903.313618   3719.315262
0.581250   1547.273369   1772.377276   2928.605175   3629.088086
0.587500   1507.676105   1837.817813   3003.245597   3593.636284
0.593750   1681.677883   1770.403090   2783.200745   3425.414892
0.600000   1643.884327   1779.709469   2840.941856   3481.697751
0.606250   1290.851262   1920.549482   2922.799017   3876.219047
0.612500   974.063474   1539.474922   2878.199410   3770.340004
0.618750   1536.309198   2548.464617   --undefined--   --undefined--
0.625000   1431.584854   2498.103797   --undefined--   --undefined--
0.631250   1508.965718   2546.486146   --undefined--   --undefined--
0.637500   1577.922430   2639.777832   --undefined--   --undefined--
0.643750   1547.530836   2886.975022   --undefined--   --undefined--
0.650000   1340.437440   2833.936029   --undefined--   --undefined--
0.656250   1373.807036   2725.282799   --undefined--   --undefined--
0.662500   1368.062723   2495.950813   --undefined--   --undefined--
0.668750   1384.025407   2509.442039   --undefined--   --undefined--
0.675000   1543.866837   2689.316692   --undefined--   --undefined--
0.681250   1370.753797   2581.734524   --undefined--   --undefined--
0.687500   1358.427418   2456.657984   --undefined--   --undefined--
0.693750   1638.791152   2526.823504   --undefined--   --undefined--
0.700000   217.532300   1669.766148   2593.202669   3869.786891
0.706250   1786.788020   2855.666642   --undefined--   --undefined--
0.712500   995.203077   1993.505091   3021.993293   4275.512290
0.718750   1776.935571   2958.107973   --undefined--   --undefined--
0.725000   1584.909565   2789.942961   --undefined--   --undefined--
0.731250   1341.028621   2681.397991   --undefined--   --undefined--
0.737500   1365.615538   2186.310804   3075.276517   3969.859976
0.743750   1211.613918   2109.000719   2965.119855   3991.761422
0.750000   1398.613275   2295.504765   3086.163807   4088.805429
0.756250   1542.815212   2603.423150   3575.250334   4595.158105
0.762500   440.644369   1532.656585   2746.236848   3589.673767
0.768750   612.170174   1493.087936   2425.035288   3883.034930
0.775000   637.909586   1376.908503   2475.566859   3965.595653
0.781250   992.570907   1496.445109   2578.608921   3937.072289
0.787500   321.933107   1583.445744   2534.743035   3463.817620
0.793750   263.460951   1582.464779   2572.598574   3730.442546
0.800000   341.835243   1592.809986   2484.489333   3764.569272
0.806250   371.756540   1650.813363   2569.907402   3734.547377
0.812500   400.834493   1665.118421   2571.843610   3662.182357
0.818750   419.565346   1680.559873   2523.487269   3629.005403
0.825000   413.614086   1709.500237   2505.155731   3533.303973
0.831250   428.896042   1799.539872   2537.374489   3503.546554
0.837500   421.873273   1848.944532   2551.062006   3403.170207
0.843750   402.471667   1921.839324   2556.651224   3382.757564
0.850000   365.939601   1974.604169   2619.186318   3299.822399
0.856250   341.887084   1989.173014   2636.158304   3231.941294
0.862500   329.057824   1979.733610   2672.822835   3200.711242
0.868750   316.478210   1996.944302   2750.342179   3408.172485
0.875000   295.910539   2015.381749   2773.951534   3789.052142
0.881250   301.574040   2031.229361   2793.860853   3893.620324
0.887500   286.870553   2075.559543   2803.600534   4003.913784
0.893750   281.830727   2098.497590   2812.911830   4116.839774
0.900000   280.706029   2116.896926   2832.351370   4287.571135
0.906250   277.510436   2134.078731   2837.173692   4332.730723
0.912500   280.853239   2131.877213   2822.941279   4355.423010
0.918750   286.385888   2137.982819   2859.153110   4229.223496
0.925000   274.403786   2123.112308   2909.490955   4281.043965
0.931250   241.745187   2105.807938   2786.266341   4240.230148
0.937500   344.478461   2061.333409   2778.785708   4212.338561
0.943750   396.604209   1971.542479   2847.804880   4234.576219
0.950000   384.347738   1741.493863   3032.670203   4190.390643
0.956250   413.629745   2001.499492   3323.592939   4172.524848
0.962500   445.414949   1982.799424   3444.334810   4203.553505
0.968750   292.421758   2061.145234   2819.192830   4084.754732
0.975000   158.739846   1785.190174   3032.211541   4172.536392
0.981250   310.003517   1765.647650   3028.764819   4171.683880
0.987500   419.031360   1764.753713   2765.700861   4072.309310
0.993750   1801.371155   2780.140599   4368.218881   4437.705025
1.000000   1632.981739   2170.835485   2686.148564   4380.519818
1.006250   1280.562044   1519.898556   2761.267312   4346.732276
1.012500   1134.412712   1616.875095   3024.907797   4383.731376
1.018750   1461.480695   1570.894690   2920.635415   4345.180748
1.025000   678.911692   1584.969961   2989.748549   4312.478957
1.031250   153.916647   1693.501866   2954.436739   4161.620629
1.037500   765.238446   2213.805770   --undefined--   --undefined--
1.043750   812.381191   2088.813210   3147.792260   4536.008677
1.050000   1378.305334   2275.537619   3322.074851   4225.765367
1.056250   1579.944340   2154.561495   2648.177372   4400.877457
1.062500   1549.897493   1951.940167   2541.799372   4416.505661
1.068750   1538.874889   1891.906996   2517.436938   4426.223678
1.075000   1073.712916   1430.845096   2357.092151   3925.434807
1.081250   1107.280020   1246.241966   2360.797028   3839.729670
1.087500   861.380422   1201.599323   2390.409848   3847.248073
1.093750   645.515791   1182.231896   2485.546166   3706.331279
1.100000   619.613231   1181.079506   2541.681370   3651.216176
1.106250   696.564992   1169.474571   2535.484424   3695.459384
1.112500   1133.488074   1794.020829   3160.875428   4184.287665
1.118750   1028.653208   1725.461913   2961.464570   3936.336493
1.125000   614.118545   1635.091899   2698.794958   3805.565907
1.131250   404.594171   1103.507432   2557.572921   3632.917191
1.137500   1026.233011   2664.765575   --undefined--   --undefined--
1.143750   150.733065   980.949735   2641.401296   3595.770927
1.150000   582.122642   937.384351   2576.426040   3595.034593
1.156250   926.064694   1477.038908   2488.226920   3591.044424
1.162500   924.548251   965.227953   2415.641210   3591.481994
1.168750   466.442024   935.460159   2415.914150   3622.894318
1.175000   471.996033   918.956248   2707.565346   3601.413448
1.181250   505.910452   900.913620   2718.460902   3596.681127
1.187500   506.936095   883.553531   2741.211875   3573.683736
1.193750   496.299105   875.431119   2840.755365   3560.980749
1.200000   482.241635   870.432524   2962.409857   3568.347535
1.206250   484.512915   874.467007   2990.734444   3604.372356
1.212500   485.311994   878.651872   3085.156691   3591.554890
1.218750   456.899666   879.521888   2915.337442   3563.857579
1.225000   443.393290   887.559784   2883.836850   3536.172530
1.231250   427.703916   891.887469   2910.662077   3564.459517
1.237500   408.986044   909.586949   2864.095019   3564.185300
1.243750   387.211919   922.875741   2835.708366   3577.710163
1.250000   363.142923   930.126045   2850.725364   3589.735094
1.256250   351.234203   941.023009   2708.990710   3564.389297
1.262500   362.710523   961.008990   2700.653850   3562.551212
1.268750   361.933943   986.081941   2783.265518   3488.327396
1.275000   358.284159   1050.741361   2772.263406   3491.761229
1.281250   337.726510   1113.230850   2682.032633   3562.990680
1.287500   309.068589   1146.317334   2717.180426   3616.496587
1.293750   296.790210   1113.915950   2748.126831   3445.498678
1.300000   693.907314   1165.767045   2840.196027   3825.410530
1.306250   787.251636   1563.991956   2775.983394   4115.046708
1.312500   618.435255   1761.896456   2787.547227   4174.176770
1.318750   400.806338   1716.345134   2567.298528   4125.037419
1.325000   1198.952362   1811.311827   3771.311668   4198.862797
1.331250   736.706446   1838.049265   3566.542895   4283.098584
1.337500   660.947696   1738.648098   3618.635263   4339.850777
1.343750   1176.211113   1995.280501   3775.211877   4503.652677
1.350000   456.315321   1746.400561   3170.353387   4433.012275
1.356250   281.978327   1740.364531   3018.510577   3972.953144
1.362500   1793.700353   3031.120167   4019.954689   4540.793505
1.368750   1932.343858   2481.981670   4074.839997   4523.612717
1.375000   1610.821484   2591.592250   4193.432844   4729.655663
1.381250   1313.835686   2927.237860   4113.719383   4716.062590
1.387500   451.520065   1560.404739   2985.366153   4004.595572
1.393750   481.077401   1447.615298   2811.831479   3940.922470
1.400000   490.235858   1654.385775   2820.471376   3927.281943
1.406250   411.350230   1851.023660   2729.074154   3955.982481
1.412500   488.559310   2121.117843   2313.321152   3950.389662
1.418750   503.347667   1901.740938   2930.571463   4116.995312
