Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   586.711951   1554.292017   2691.236422   3550.353523
0.031250   1427.737906   2447.201381   --undefined--   --undefined--
0.037500   1307.126544   2315.506589   3223.898582   4688.444885
0.043750   1152.036542   2135.107434   3143.380978   4261.372467
0.050000   866.215597   1988.170530   3033.798165   3717.853960
0.056250   1268.254580   2277.221197   --undefined--   --undefined--
0.062500   1317.550850   2201.154076   --undefined--   --undefined--
0.068750   1695.922063   2240.979972   --undefined--   --undefined--
0.075000   1694.162745   2278.466106   --undefined--   --undefined--
0.081250   1657.477571   2135.419263   --undefined--   --undefined--
0.087500   1673.743087   2303.112654   --undefined--   --undefined--
0.093750   1639.150791   2298.713539   --undefined--   --undefined--
0.100000   1353.769322   2366.548678   --undefined--   --undefined--
0.106250   1597.658216   2373.502796   --undefined--   --undefined--
0.112500   1971.624083   2039.257419   --undefined--   --undefined--
0.118750   1824.056788   2100.814994   --undefined--   --undefined--
0.125000   1720.589728   2235.595291   --undefined--   --undefined--
0.131250   1862.832872   2088.698527   --undefined--   --undefined--
0.137500   1952.640130   2126.407050   --undefined--   --undefined--
0.143750   1703.585878   2451.931748   --undefined--   --undefined--
0.150000   1569.072359   2464.510985   --undefined--   --undefined--
0.156250   1445.996414   2329.913916   --undefined--   --undefined--
0.162500   1385.101335   2450.255137   --undefined--   --undefined--
0.168750   1314.881076   2544.108997   --undefined--   --undefined--
0.175000   1414.538522   2521.087836   --undefined--   --undefined--
0.181250   1430.646361   2467.120081   --undefined--   --undefined--
0.187500   1484.422154   2520.091361   --undefined--   --undefined--
0.193750   1571.316105   2644.241058   --undefined--   --undefined--
0.200000   1506.035852   2380.749271   --undefined--   --undefined--
0.206250   1530.772101   2452.188302   --undefined--   --undefined--
0.212500   1499.996269   2406.400650   --undefined--   --undefined--
0.218750   1271.039950   2185.142721   --undefined--   --undefined--
0.225000   1524.416711   2338.385476   --undefined--   --undefined--
0.231250   1510.463788   2390.328024   --undefined--   --undefined--
0.237500   1410.112535   2189.405042   --undefined--   --undefined--
0.243750   1476.073737   2096.456813   --undefined--   --undefined--
0.250000   1495.613726   2150.458332   --undefined--   --undefined--
0.256250   1164.361931   2083.338568   --undefined--   --undefined--
0.262500   1810.336857   2279.778795   --undefined--   --undefined--
0.268750   1646.249982   2451.224189   --undefined--   --undefined--
0.275000   1543.197759   2400.798992   --undefined--   --undefined--
0.281250   1479.209321   2424.623056   --undefined--   --undefined--
0.287500   1647.746117   2455.987762   --undefined--   --undefined--
0.293750   1679.275856   2604.106579   --undefined--   --undefined--
0.300000   1596.262861   2391.487110   --undefined--   --undefined--
0.306250   1529.373031   2459.829259   --undefined--   --undefined--
0.312500   1896.957805   2090.765939   --undefined--   --undefined--
0.318750   1911.459767   1982.724134   --undefined--   --undefined--
0.325000   1755.472642   2169.078226   --undefined--   --undefined--
0.331250   1551.467464   2285.647257   --undefined--   --undefined--
0.337500   1543.834190   2235.513385   --undefined--   --undefined--
0.343750   1589.798658   2373.756318   --undefined--   --undefined--
0.350000   1609.665648   2444.482843   --undefined--   --undefined--
0.356250   1846.300502   2146.726241   --undefined--   --undefined--
0.362500   1679.056256   2381.577637   --undefined--   --undefined--
0.368750   1503.228576   2479.132091   --undefined--   --undefined--
0.375000   1516.891771   2304.420559   --undefined--   --undefined--
0.381250   1598.352714   2221.114228   --undefined--   --undefined--
0.387500   1531.803365   2313.628311   --undefined--   --undefined--
0.393750   1546.813806   2362.345026   --undefined--   --undefined--
0.400000   1622.945972   2390.593473   --undefined--   --undefined--
0.406250   1031.824844   2099.666954   3170.589191   4159.306915
0.412500   1353.463574   2208.518013   3303.356948   4472.160461
0.418750   314.361694   1224.207197   2135.455462   3316.462222
0.425000   1493.165091   1950.038120   --undefined--   --undefined--
0.431250   219.051080   1739.260664   2832.406370   3831.746484
0.437500   708.905237   1742.423002   2847.722067   3935.481655
0.443750   1139.516269   1949.663309   2897.875988   3957.576603
0.450000   1250.612414   2010.116318   2817.009153   3890.673957
0.456250   1281.192940   2307.599089   2534.758800   3969.004542
0.462500   1053.534913   2166.016790   2695.264425   4000.770196
0.468750   1043.428040   2145.755193   3300.587437   3766.003834
0.475000   1681.082539   3048.138133   --undefined--   --undefined--
0.481250   1067.991483   1955.451948   3001.291732   3868.958646
0.487500   1080.451440   2008.633704   2991.559021   4111.818374
0.493750   1095.796671   1954.242284   3056.548675   4036.001907
0.500000   1028.985607   1954.617139   2999.450434   3986.856069
0.506250   1059.199457   2016.513964   2937.032044   3967.221255
0.512500   1110.795219   1946.873349   2981.852129   3787.593538
0.518750   1036.125503   1738.086110   2887.023246   3983.381735
0.525000   1184.325490   1741.087109   2803.148141   3964.646648
0.531250   1059.130582   1938.880551   2872.011756   4040.944571
0.537500   1156.331449   1998.553285   2748.311867   4119.118285
0.543750   1095.578808   1944.848091   3043.254825   4109.426428
0.550000   1038.321414   2049.654324   2988.682850   4044.691224
0.556250   1130.765791   2231.708377   3071.827155   3789.494528
0.562500   1002.276949   2038.780975   3098.726842   3886.640614
0.568750   957.301462   2115.746956   2950.220886   3871.302973
0.575000   1128.428477   2049.192274   2774.133834   3863.621923
0.581250   1089.503318   1955.627617   3063.567267   4031.482188
0.587500   1044.817536   1996.795429   3028.356946   3977.847468
0.593750   1145.323357   1962.157050   2882.210221   3969.558871
0.600000   874.704753   1760.324433   2873.308247   3897.719026
0.606250   924.771077   1801.954816   2845.537832   3813.249145
0.612500   1001.831958   2213.982925   2509.820289   3794.901492
0.618750   1149.861534   2228.391428   3108.521053   3614.173805
0.625000   1119.821721   2069.553960   3069.891843   3991.854981
0.631250   987.649835   1962.064224   2963.097478   4019.426599
0.637500   980.291201   2063.799477   2950.454913   3968.371250
0.643750   851.054665   1967.145233   3011.212169   4034.318907
0.650000   905.040816   2179.352204   2833.210571   3963.246531
0.656250   820.866443   2155.364349   2808.820333   3932.738361
0.662500   656.692827   1678.125742   2633.211637   3990.174607
0.668750   1305.683182   1714.222323   3196.474367   4512.770303
0.675000   1442.485709   1983.688107   3301.733308   4515.626940
0.681250   1362.995323   2119.895179   3216.063773   4436.056024
0.687500   1195.985329   2039.093370   2943.087798   3977.949999
0.693750   1179.384960   1974.749330   2876.647065   4007.020057
0.700000   1192.967495   2391.985564   2832.053963   3870.461622
0.706250   1202.585436   2470.228125   3544.477065   4510.185936
0.712500   1279.312612   2436.616068   3544.420881   4530.820607
0.718750   110.965133   1338.135872   2444.138044   3555.597848
0.725000   277.876779   1260.009664   2469.557830   3505.453927
0.731250   338.768647   1286.566228   2519.998237   3458.336594
0.737500   340.560257   1328.739146   2406.181736   3376.615539
0.743750   306.294629   1402.727198   2294.930258   3245.495374
0.750000   278.258046   1543.741933   2274.621950   3249.626878
0.756250   263.432794   1638.348153   2157.162944   3431.201291
0.762500   249.473397   1694.570957   2375.560409   3502.176768
0.768750   250.148651   1600.242056   2539.546940   3576.122931
0.775000   255.056518   1618.441696   2550.919869   3253.238740
0.781250   263.534784   1767.594389   2788.780653   3201.042891
0.787500   292.967244   1886.892586   2646.066270   3213.427296
0.793750   303.146399   1909.895291   2498.425502   3456.137751
0.800000   296.170010   1956.881594   2518.453059   3637.423733
0.806250   291.663373   1992.229865   2529.831973   3649.467467
0.812500   295.719353   1996.888423   2541.710879   3642.181211
0.818750   299.961030   2009.464135   2538.123231   3638.507753
0.825000   309.145948   2063.937096   2567.619802   3893.356985
0.831250   317.700396   2106.573471   2596.558851   3897.340573
0.837500   317.163233   2131.458609   2608.268426   3874.592021
0.843750   317.778324   2106.215001   2671.135647   4008.353124
0.850000   321.650265   2003.855056   2705.380440   4164.593090
0.856250   322.054361   1905.087616   2526.344445   3935.941164
0.862500   326.273647   1796.016201   2588.422478   3760.649105
0.868750   314.821225   1752.247279   2667.562127   3982.916885
0.875000   293.126729   1709.575300   2786.410453   3916.005804
0.881250   1700.090589   2835.056822   3852.231960   4743.859837
0.887500   1675.929151   2596.175106   3910.796261   4660.946303
0.893750   1680.623347   2652.705631   3897.042851   4589.877661
0.900000   227.675461   1764.941378   2808.522096   3954.098659
0.906250   290.278406   1713.854344   2902.416123   3999.652129
0.912500   262.128822   1739.698096   2919.526544   4258.364728
0.918750   1746.588979   2920.669269   --undefined--   --undefined--
0.925000   1469.335234   1972.976673   3213.995954   4287.418980
0.931250   1498.206538   2258.782844   3152.694955   4295.133366
0.937500   1473.064285   2388.288778   3359.387515   4347.071753
0.943750   1497.002028   2250.014934   3651.838845   4551.052466
0.950000   1484.937066   2245.201042   3580.612688   4363.897487
0.956250   1477.380727   2330.098762   3394.625531   4359.647966
0.962500   1430.301367   2299.067194   3409.430870   4420.611685
0.968750   1304.597729   2111.941660   3247.768999   4479.802099
0.975000   1295.634893   1997.863217   3367.816250   4443.828636
0.981250   1306.847452   2041.321947   3391.847153   4265.706077
0.987500   1315.366609   2013.065109   3326.516411   4323.426070
0.993750   1342.627471   2109.375597   3307.242506   4398.194032
1.000000   1322.045294   2113.619271   3264.583305   4466.511203
1.006250   1339.824847   2244.062949   3233.724045   4316.138080
1.012500   1448.250776   2135.566706   3203.824158   4228.035538
1.018750   1419.107416   2038.983482   3243.634574   4247.848378
1.025000   1367.833007   2102.124619   3319.324591   4453.936979
1.031250   1369.424461   1998.898190   3428.932263   4458.489722
1.037500   1455.941283   2163.346007   2755.017647   4104.478202
1.043750   1279.173119   1647.123821   3010.018320   4327.990465
1.050000   1333.336885   2114.658537   3092.395788   4366.216937
1.056250   1211.697896   2047.879017   3335.769215   4219.431630
1.062500   1160.526487   1620.379272   2724.878699   3532.924910
1.068750   1139.891063   1442.999110   2687.042285   3670.481201
1.075000   891.171239   1199.792721   2550.014317   3999.354716
1.081250   621.436789   1199.683289   2595.573806   3945.758614
1.087500   677.924322   1221.164444   2604.866925   3811.305824
1.093750   1084.465356   1240.720661   2580.187372   3873.662922
1.100000   1184.424505   1244.398255   2633.838959   3856.324001
1.106250   1078.796491   1211.559700   2570.118896   3715.735816
1.112500   988.061022   1131.346099   2357.872576   3670.132008
1.118750   937.169692   1126.011217   2306.245035   3687.154284
1.125000   879.799415   1114.801829   2273.221144   3686.187780
1.131250   1076.056252   2347.477530   3695.562127   4296.906133
1.137500   279.423162   1044.217442   2570.924314   3667.648274
1.143750   353.555831   1013.795195   2688.359215   3678.399982
1.150000   367.623912   1000.118850   2652.334342   3648.568332
1.156250   356.020706   1004.781256   2642.330079   3641.842045
1.162500   349.758496   1006.482028   2624.031799   3645.026071
1.168750   342.686434   1001.945708   2589.655062   3622.604672
