Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   639.048470   1757.711534   3085.653177   3851.698029
0.031250   924.774802   1820.104913   2949.270973   3856.377728
0.037500   871.207371   1831.460004   3021.930246   3852.274301
0.043750   881.728218   1862.081767   3030.055735   3703.978465
0.050000   811.343189   1746.132559   2616.930929   3839.501258
0.056250   804.137143   1774.947378   2863.138828   3901.762158
0.062500   841.912833   1786.581703   2847.689962   3910.494281
0.068750   795.206262   1762.933398   2611.451570   3631.658734
0.075000   793.914407   1811.020118   2679.058005   3585.354707
0.081250   812.421305   1775.553311   2728.108343   3790.097214
0.087500   825.871094   1723.236279   2624.618892   3829.632305
0.093750   801.625611   1740.663179   2612.365849   3689.632825
0.100000   782.826846   1727.359445   2694.228641   3789.095547
0.106250   792.867270   1726.510817   2737.588352   3754.666234
0.112500   795.738062   1665.189874   2584.074657   3597.589824
0.118750   770.510064   1726.557445   2783.130324   3736.394232
0.125000   882.200416   1571.969765   2529.558858   3664.887844
0.131250   863.829119   1534.427095   2465.173061   3620.618975
0.137500   936.569367   1815.945234   3238.372705   3911.336909
0.143750   884.913859   1788.420380   2813.535515   3735.449828
0.150000   824.700686   1734.025260   2694.954981   3607.722457
0.156250   757.535521   1777.035371   2715.127349   3953.801570
0.162500   831.701059   1718.667051   2839.025906   3920.690331
0.168750   866.133920   1775.479755   2818.744274   3760.943188
0.175000   829.372689   1719.786788   2697.625382   3673.764474
0.181250   861.083017   1715.615866   2872.842442   3703.453412
0.187500   898.457869   1800.005035   2989.085256   3721.739268
0.193750   895.054786   1733.300311   2611.588801   3634.816211
0.200000   871.703854   1740.485773   2650.410509   3545.256836
0.206250   860.763780   1823.688839   2655.564903   3621.632590
0.212500   750.350589   1817.601574   2375.908646   3667.143653
0.218750   812.291737   1950.303597   2317.929905   3618.176490
0.225000   878.515637   1777.553300   2632.799680   3620.946834
0.231250   873.220889   1770.928792   2859.450384   4102.513651
0.237500   866.584919   1788.551478   2910.529232   4149.358546
0.243750   888.641699   1720.735079   2859.564927   4114.266443
0.250000   799.162839   1634.023588   2563.457986   3773.451857
0.256250   787.271629   1649.336304   2623.056099   3781.219210
0.262500   799.350623   1675.362259   2704.169927   3730.873390
0.268750   807.401134   1693.375120   2699.895225   3724.811038
0.275000   816.042569   1804.519119   2736.264015   3570.598132
0.281250   802.135297   1807.346595   2857.198955   3801.387572
0.287500   792.049045   1791.727849   2863.909602   3713.412811
0.293750   822.309995   1794.241836   2802.617580   3429.193918
0.300000   832.434206   1809.734439   2801.270615   3537.729960
0.306250   847.497183   1842.439109   2712.054590   3686.515211
0.312500   934.420536   1756.160061   2747.816631   3779.792364
0.318750   877.035794   1708.237903   2781.495315   3774.134902
0.325000   860.237586   1777.268414   2777.527957   3959.690515
0.331250   850.490801   1757.706053   2616.367920   3732.160412
0.337500   881.935923   1747.403705   2627.108420   3741.429697
0.343750   1005.142573   2149.387770   2720.839719   3713.037190
0.350000   1084.076467   1998.391961   3551.522758   4078.804531
0.356250   789.429001   1826.555650   2989.937543   3506.758412
0.362500   756.280450   1811.341397   3345.815569   3718.271027
0.368750   833.332181   1794.767608   3301.391392   3754.280567
0.375000   992.349198   1755.940012   3350.681168   3650.101635
0.381250   667.265699   1790.390466   2664.843894   3457.252890
0.387500   716.520754   1752.844063   2765.402198   3618.815649
0.393750   788.819411   1766.100065   2949.416149   3633.854953
0.400000   760.642533   1716.289284   2945.152992   3672.735574
0.406250   821.813605   1640.260298   2854.447460   3702.376208
0.412500   962.959595   1719.642568   2850.842387   3705.123138
0.418750   898.098414   1742.314146   2684.922714   3663.345410
0.425000   813.228519   1630.171571   2526.415059   3583.937235
0.431250   915.427737   1707.223196   2526.896550   3689.792803
0.437500   956.714081   1729.624948   2585.493268   3501.958532
0.443750   1030.752092   1665.768796   2611.228634   3845.824526
0.450000   906.149103   1534.615671   2726.470195   3970.347543
0.456250   825.168413   1501.318424   2638.423081   3765.505330
0.462500   704.035102   1557.479564   2555.777470   3727.612754
0.468750   665.345232   1555.225463   2507.572770   3619.798485
0.475000   699.411632   1583.162435   2493.397404   3527.770461
0.481250   714.216336   1576.502423   2488.192137   3760.247153
0.487500   668.908132   1465.361198   2466.328832   3744.443950
0.493750   875.772907   1622.419945   2450.475921   3744.771828
0.500000   823.864647   1609.247877   2519.626695   3729.618286
0.506250   945.524721   1614.907076   2643.272779   3721.488355
0.512500   930.161232   1746.540853   2607.392894   3717.525388
0.518750   816.795653   1661.932434   2381.054673   3739.177594
0.525000   979.270258   1784.095740   2836.013045   3821.644997
0.531250   888.777669   1632.125041   2798.151500   3690.380494
0.537500   861.181112   1668.574188   2737.090260   3689.747558
0.543750   794.603864   1750.586744   2814.384319   3723.496517
0.550000   792.204406   1704.654604   2611.807756   3472.050571
0.556250   793.119030   1682.884682   2548.556824   3441.275010
0.562500   918.877450   1905.205638   3068.327503   3881.503821
0.568750   996.348201   2031.724134   2986.212022   3927.777687
0.575000   928.766995   1874.021559   2995.792763   3981.289758
0.581250   935.499782   1816.543681   2850.567787   4047.392846
0.587500   853.406907   1765.284378   2835.791100   3841.674856
0.593750   888.194708   1749.909480   3223.567049   3675.164407
0.600000   777.452675   1815.191176   2912.041043   3611.889210
0.606250   801.614441   1751.038523   2849.193267   3720.325647
0.612500   788.907490   1670.228124   2848.066336   3761.444292
0.618750   834.341020   1691.555317   2903.969152   3826.323704
0.625000   872.264702   1759.598370   2805.384034   3760.701881
0.631250   865.834489   1637.625178   2670.405539   3673.824857
0.637500   883.013471   1628.653068   2736.428026   3651.802122
0.643750   892.158778   1725.147414   2543.861699   3565.028913
0.650000   931.066242   1697.838672   2442.804768   3562.572144
0.656250   845.676499   1640.980266   2540.147575   3594.378208
0.662500   891.511441   1551.470406   2505.107004   3620.688636
0.668750   954.308330   1489.174080   2319.773898   3666.198896
0.675000   834.418315   1759.756967   2448.517762   3745.356254
0.681250   804.244902   1789.368729   2809.804185   3859.357085
0.687500   815.683779   1735.799824   3014.926126   3964.583354
0.693750   845.525518   1685.116230   2939.823683   3961.614859
0.700000   871.844412   1651.621963   2784.318517   3840.566887
0.706250   871.494835   1723.476713   2592.034384   3905.074553
0.712500   878.685940   1748.100649   2839.154569   3933.298590
0.718750   917.987400   1658.786223   2844.820195   3781.781636
0.725000   920.561112   1615.315976   2905.362294   3838.388096
0.731250   1142.460743   1682.048288   2888.514556   3843.533586
0.737500   869.650283   1591.954208   2570.200514   3794.000028
0.743750   859.863523   1602.534960   2409.591385   3756.217578
0.750000   900.934378   1632.805844   2332.164906   3676.664928
0.756250   890.310427   1633.597997   2651.996445   3915.121130
0.762500   927.297135   1724.484147   2631.260322   3936.547803
0.768750   873.336695   1632.833863   2616.332857   3908.446462
0.775000   808.357666   1600.079456   2720.913317   4024.711714
0.781250   944.087553   1699.600077   2988.281749   3859.798720
0.787500   887.650259   1763.486014   3128.655883   3880.097936
0.793750   853.726256   1823.448628   3055.081972   3811.682258
0.800000   836.877764   1794.425910   2683.951734   3749.428983
0.806250   848.715889   1699.218265   2632.475302   3654.147125
0.812500   873.847242   1725.900564   2661.717103   3715.471827
0.818750   828.837809   1709.426193   2681.872425   3883.650425
0.825000   770.904995   1748.250260   2674.307984   3820.383886
0.831250   794.991911   1745.168422   2590.323434   3767.726728
0.837500   796.921295   1757.763150   2773.742976   3755.757924
0.843750   914.373338   1867.542504   2778.107262   3840.927317
0.850000   830.416873   1783.608555   2802.946351   3785.371151
0.856250   778.006231   1757.636030   3034.775336   3793.399277
0.862500   800.487589   1736.983705   2767.087367   4089.978544
0.868750   782.121231   1736.559624   2729.906077   3823.732163
