Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.025000   796.999436   2297.039178   3688.003518   4503.724927
0.031250   773.016289   2308.165003   3710.486909   4339.244136
0.037500   784.694051   2305.018066   3738.181409   4339.032352
0.043750   779.153672   2208.033199   3775.234080   4339.164055
0.050000   756.989905   2148.895650   3805.875229   4408.086700
0.056250   769.251011   2259.347276   3821.250219   4499.783975
0.062500   704.427321   2244.516688   3924.290122   4370.736772
0.068750   462.744048   1936.969574   3650.631009   4399.753254
0.075000   82.640215   1862.097775   3012.714611   4357.947007
0.081250   1804.364671   2250.327843   --undefined--   --undefined--
0.087500   1805.155532   2066.066681   --undefined--   --undefined--
0.093750   1819.957802   2034.498331   --undefined--   --undefined--
0.100000   1815.910568   2088.325476   --undefined--   --undefined--
0.106250   1934.933517   2152.670086   --undefined--   --undefined--
0.112500   2025.168433   2147.428893   --undefined--   --undefined--
0.118750   1778.253298   2052.108235   3051.280201   4565.068435
0.125000   1717.757352   2051.265213   3036.569709   4246.940235
0.131250   1748.884123   1999.982489   3032.870040   4024.106683
0.137500   1903.964229   1998.815822   3032.350543   3835.597060
0.143750   1925.794220   2013.530246   3041.898891   3777.279049
0.150000   1932.301226   2014.783127   3051.960202   3768.455052
0.156250   1895.397548   2077.748712   3057.042909   3812.216003
0.162500   1878.053552   2095.615061   2999.010247   3872.080691
0.168750   1920.442817   2088.930333   2808.698285   3959.536857
0.175000   1835.776702   2062.207473   2634.135370   3900.526145
0.181250   1818.439155   2046.964035   2651.291916   3838.970569
0.187500   1820.996852   2137.829867   2628.385309   3793.519142
0.193750   1815.092420   2183.595045   2620.618847   3405.261694
0.200000   1820.247549   2222.093774   2950.450020   4155.629988
0.206250   1844.975708   2191.494777   2988.049793   4117.777211
0.212500   1890.774835   2211.826683   3007.755752   4196.827852
0.218750   1902.119706   2238.527441   2998.358067   4255.964039
0.225000   1906.636563   2207.167458   2925.850962   4037.147763
0.231250   1884.792701   2228.795646   2646.191676   4201.514390
0.237500   1775.812936   1857.297921   2216.206905   4107.204073
0.243750   1805.933543   1899.583816   2236.451356   4084.756082
0.250000   1818.166885   2003.121103   2246.910527   3971.309128
0.256250   1856.150601   2016.662107   2254.230883   3859.716199
0.262500   1868.441472   2108.603843   2209.678191   3862.521353
0.268750   1859.468074   2121.685217   2428.979146   3867.910557
0.275000   1828.697301   2110.945765   2419.371718   3898.975258
0.281250   1786.829362   2034.765283   2449.536212   3893.357828
0.287500   1794.912877   1968.231276   2362.599887   3894.316435
0.293750   1813.406789   1938.695905   2366.813522   3894.988270
0.300000   1803.221730   2002.564602   2311.128742   3888.299252
0.306250   1796.220499   2272.006663   2341.405731   3885.645729
