Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
20.29992,,,453.020083,,,1920.18404,,,2735.84737,,,4042.072886
20.30617,,,444.440807,,,1934.605181,,,2706.033223,,,3964.91252
20.31242,,,435.565241,,,1895.034033,,,2746.2188,,,4045.099129
20.31867,,,418.637344,,,1894.970545,,,2725.919423,,,4084.43792
20.32492,,,396.508134,,,1925.961146,,,2738.22323,,,4113.631829
20.33117,,,384.313358,,,1928.358044,,,2722.075853,,,4132.49291
20.33742,,,374.327314,,,1887.967349,,,2699.127906,,,4155.7873
20.34367,,,370.835963,,,1872.523895,,,2687.708022,,,4144.459693
20.34992,,,371.670113,,,1831.569489,,,2671.78476,,,4144.290848
20.35617,,,366.52383,,,1829.244957,,,2663.435143,,,4155.59247
20.36242,,,354.69382,,,1859.318999,,,2694.657404,,,4326.748293
20.36867,,,347.090826,,,1819.725742,,,2699.648631,,,4362.58487
20.37492,,,344.618064,,,1824.547376,,,2664.051391,,,4335.190792
20.38117,,,335.660827,,,1866.914026,,,2675.139935,,,4376.114183
20.38742,,,339.576615,,,1863.157799,,,2684.577096,,,4365.265979
20.39367,,,344.810774,,,1830.628433,,,2681.9766,,,4341.38913
20.39992,,,351.821223,,,1769.620544,,,2678.988383,,,4322.478916
20.40617,,,353.409971,,,1621.174336,,,2712.194117,,,4293.198659
