Time_s,,,F1_Hz,,,F2_Hz,,,F3_Hz,,,F4_Hz
30.828008,,,452.649183,,,1837.843327,,,3067.076188,,,3748.954123
30.834258,,,452.044545,,,1819.515186,,,3316.583386,,,3428.78754
30.840508,,,484.552729,,,1517.227431,,,2854.518232,,,3485.566982
30.846758,,,495.349275,,,1504.213017,,,2863.178568,,,3496.4604
30.853008,,,497.671497,,,1536.195066,,,3175.807561,,,3834.611761
30.859258,,,486.995872,,,1405.082569,,,3193.318908,,,4236.346551
30.865508,,,494.354508,,,1596.886133,,,3213.336979,,,4841.307055
30.871758,,,499.397822,,,1523.964654,,,3245.568792,,,5013.524312
30.878008,,,497.444667,,,1539.802002,,,3198.602854,,,4539.162623
30.884258,,,456.257774,,,1405.35276,,,3128.337583,,,4522.770982
30.890508,,,436.169303,,,1396.415309,,,3106.198413,,,4477.750348
30.896758,,,428.684263,,,1443.294424,,,3127.095391,,,4470.392311
30.903008,,,440.533693,,,1567.840648,,,3138.006221,,,4565.121474
30.909258,,,475.731655,,,1731.021375,,,3166.347265,,,4578.031462
30.915508,,,434.847688,,,1647.25721,,,3259.252181,,,4628.862705
